REGIAO:;CO
UF:;DF
ESTACAO:;AGUAS EMENDADAS
CODIGO (WMO):;A045
LATITUDE:;-15,596491
LONGITUDE:;-47,625801
ALTITUDE:;1030,36
DATA DE FUNDACAO:;03/10/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;898,7;898,7;898,3;;20,5;18,3;21,6;20,5;18,7;18,2;88;83;87;35;1,4;,7;
2024/01/01;0100 UTC;0;899,8;899,8;898,7;;19,8;17,7;20,5;19,8;18,3;17,6;88;87;87;56;2,2;,9;
2024/01/01;0200 UTC;0;900,5;900,5;899,8;;19,6;17,9;19,8;19,4;17,9;17,5;90;87;90;56;2;1,4;
2024/01/01;0300 UTC;0;900,2;900,5;900,2;;20;18,3;20;19,6;18,4;17,9;90;89;90;49;2;,5;
2024/01/01;0400 UTC;0;899,6;900,2;899,6;;20;18,5;20;19,8;18,5;18,1;91;90;91;18;1,6;1;
2024/01/01;0500 UTC;0;899,3;899,6;899,2;;20,9;19,2;20,9;20;19,2;18,5;92;90;90;319;2,8;1,2;
2024/01/01;0600 UTC;0;898,7;899,3;898,7;;20,9;19,4;20,9;20,4;19,4;18,8;92;90;91;336;2,7;1,2;
2024/01/01;0700 UTC;0;898,4;898,7;898,4;;20,9;19,4;21;20,7;19,5;19,1;91;90;91;343;2,6;1;
2024/01/01;0800 UTC;0;898,4;898,4;898,3;;20,4;18,9;21;20,4;19,4;18,8;91;90;91;333;2;,6;
2024/01/01;0900 UTC;0;899;899;898,4;5,4;20;18,7;20,4;20;19;18,6;92;91;92;52;1,4;,3;
2024/01/01;1000 UTC;0;899,4;899,4;899;202,7;20,7;19,5;20,7;19,6;19,5;18,4;93;92;93;334;1,5;,7;
2024/01/01;1100 UTC;0;900,1;900,1;899,4;819,3;22,6;19,5;22,6;20,7;20,2;19,2;93;83;83;289;4,3;1,5;
2024/01/01;1200 UTC;0;900,5;900,5;900,1;1270,9;23,7;18,5;23,9;22,5;19,6;18,4;84;72;73;321;4,8;2,2;
2024/01/01;1300 UTC;0;900,5;900,6;900,5;1903,3;24,7;18,3;25,2;23,5;18,8;17,7;74;65;68;316;5;1,6;
2024/01/01;1400 UTC;0;899,8;900,5;899,8;2608,4;25,9;18,9;27;24,6;19,5;17,9;72;59;66;286;6,1;2,4;
2024/01/01;1500 UTC;0;898,8;899,8;898,8;3369,7;27,8;17,3;27,9;25,7;19,2;17,1;65;52;53;258;6,3;2,7;
2024/01/01;1600 UTC;0;897,8;898,8;897,8;3882,1;28;15,8;28,9;26,6;19,1;15,8;59;47;48;326;6,6;2,8;
2024/01/01;1700 UTC;0;897,1;897,8;897,1;3123,7;27,2;19,5;29;26,7;19,5;15,8;64;47;63;296;8,1;3,8;
2024/01/01;1800 UTC;0;896,3;897,1;896,3;1584,9;26,1;17,9;27,2;25,2;19,6;17,8;70;60;61;289;9;2,1;
2024/01/01;1900 UTC;0;895,6;896,3;895,6;2150,4;27,5;18,4;27,9;26,1;19,2;17,7;62;55;57;320;6,8;3;
2024/01/01;2000 UTC;0;895,8;895,8;895,5;960,3;26,7;18,2;27,5;26,7;18,9;17,6;61;57;60;296;6,8;1,3;
2024/01/01;2100 UTC;0;896,2;896,2;895,8;455,2;24,5;19;27,1;24,5;19,3;18;73;59;72;291;6,1;2;
2024/01/01;2200 UTC;0;897,1;897,1;896,2;98,1;23,2;18,8;24,5;23,2;19,4;18,6;76;71;76;82;5,3;1,4;
2024/01/01;2300 UTC;0;897,7;897,7;897;;22,5;18,7;23,5;22,5;19,3;18,6;79;76;79;75;4;,9;
2024/01/02;0000 UTC;0;898,5;898,5;897,6;;21,8;19;22,5;21,8;19,2;18,7;84;79;84;341;2,6;,6;
2024/01/02;0100 UTC;0;899,1;899,1;898,5;;21,5;19,3;21,9;21,5;19,5;19;88;84;87;284;1,1;,6;
2024/01/02;0200 UTC;,6;899,1;899,1;899,1;;21,3;19,5;21,6;21,3;19,6;19,3;90;87;90;302;2,5;1,1;
2024/01/02;0300 UTC;3;898,6;899,1;898,6;;20,9;19,7;21,3;20,7;19,7;19,2;93;90;93;356;3,2;1,3;
2024/01/02;0400 UTC;0;897,9;898,6;897,9;;20,2;19;20,9;20,1;19,7;18,9;93;92;93;305;5,3;1,5;
2024/01/02;0500 UTC;0;897,6;897,9;897,6;;20,4;19,3;20,4;20,2;19,3;19;94;93;94;313;3,5;,8;
2024/01/02;0600 UTC;0;897,3;897,6;897,3;;20,4;19,3;20,4;20,3;19,3;19,2;94;93;94;308;2;,9;
2024/01/02;0700 UTC;6,8;897,3;897,4;897,3;;19,9;18,9;20,4;19,9;19,3;18,9;94;94;94;290;3,4;1,7;
2024/01/02;0800 UTC;,6;897,7;897,7;897,3;;19,5;18,4;20;19,5;19;18,4;94;93;94;67;3,4;,9;
2024/01/02;0900 UTC;1,2;897,9;897,9;897,7;1,8;19;18;19,5;18,9;18,4;17,9;94;93;94;76;1,7;,6;
2024/01/02;1000 UTC;,2;898,2;898,2;897,9;86,9;19,7;18,7;19,7;19;18,7;18;94;94;94;53;1,6;,5;
2024/01/02;1100 UTC;0;898,3;898,3;898,1;469,8;20,6;19,4;20,6;19,7;19,5;18,7;94;93;93;35;3,5;1,8;
2024/01/02;1200 UTC;0;898,2;898,4;898,2;860,7;21,7;19,4;21,7;20,6;19,7;19,2;93;86;87;13;3,5;1,7;
2024/01/02;1300 UTC;0;898,6;898,6;898,2;1842,5;23,2;19,1;23,3;21,7;19,9;18,7;87;77;78;335;4,9;2;
2024/01/02;1400 UTC;1,2;898,5;898,7;898,5;639;21,4;20;23,3;20,9;20;18,8;92;77;92;302;6,6;1,5;
2024/01/02;1500 UTC;0;897,7;898,5;897,7;2073,9;24,8;20,6;24,8;21,4;21,4;19,7;92;77;77;293;5,3;2,4;
2024/01/02;1600 UTC;0;896,9;897,7;896,9;2918,2;24;19,7;26,8;24;20,9;19,2;77;65;77;318;7,7;2,9;
2024/01/02;1700 UTC;0;896;896,9;896;3002,6;26,9;19,9;26,9;23,3;21;19,2;85;66;66;300;7,7;2,5;
2024/01/02;1800 UTC;0;895,4;896;895,4;3073,4;26,9;20,6;27,7;25,4;20,6;18,6;71;59;69;308;7,9;3,3;
2024/01/02;1900 UTC;0;895,3;895,4;895,2;1910;24,1;19,1;27,1;24,1;20,8;18,5;77;63;73;322;6,9;2,2;
2024/01/02;2000 UTC;0;894,9;895,3;894,8;703,5;24,1;19,3;24,9;24,1;20,2;18,6;78;69;74;319;4,6;1,7;
