REGIAO:;CO
UF:;GO
ESTACAO:;GOIANIA
CODIGO (WMO):;A002
LATITUDE:;-16,64277777
LONGITUDE:;-49,22027777
ALTITUDE:;727,3
DATA DE FUNDACAO:;29/05/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;930,6;930,6;929,9;;23,6;19,5;24,4;23,6;20,2;19,5;79;77;78;297;2,5;,3;
2024/01/01;0100 UTC;0;931,7;931,7;930,6;;23,2;19,8;23,6;23,1;19,8;19,3;81;77;81;357;3,3;,2;
2024/01/01;0200 UTC;0;932,4;932,4;931,7;;23;20;23,2;22,9;20;19,8;83;81;83;346;2;,4;
2024/01/01;0300 UTC;0;932;932,5;932;;22,3;19,9;23;22,3;20;19,8;86;83;86;347;2;,1;
2024/01/01;0400 UTC;0;931,3;932;931,3;;22;19,5;22,4;22;19,9;19,5;86;85;86;281;1,3;0;
2024/01/01;0500 UTC;0;930,4;931,3;930,4;;22,2;19,8;22,3;21,9;20;19,5;87;86;87;112;,5;0;
2024/01/01;0600 UTC;0;929,9;930,4;929,9;;21,9;20;22,2;21,7;20;19,7;89;87;89;111;1,2;,1;
2024/01/01;0700 UTC;0;929,8;929,9;929,8;;21,6;19,8;21,9;21,5;20;19,6;90;88;90;30;,9;0;
2024/01/01;0800 UTC;0;930,4;930,4;929,8;;21,8;20;21,8;21,5;20,1;19,7;90;89;90;334;,8;0;
2024/01/01;0900 UTC;0;931,1;931,1;930,4;7,9;21,6;19,7;22;21,6;20,3;19,7;90;88;89;299;1,6;0;
2024/01/01;1000 UTC;0;931,5;931,6;931,1;298,6;22,5;20,1;22,5;21,5;20,2;19,7;90;86;86;326;1,1;,2;
2024/01/01;1100 UTC;0;931,7;931,7;931,5;1260,7;24,8;19,5;25,1;22,5;20,5;19,5;86;72;72;347;2,5;,9;
2024/01/01;1200 UTC;0;932,3;932,3;931,7;1657,8;26,1;19,9;26,5;25,3;20,8;19,1;74;66;69;316;3,8;1;
2024/01/01;1300 UTC;0;932,3;932,5;932,3;2228,9;28,2;20,5;28,2;26,1;20,7;18,9;70;58;63;323;4,2;2;
2024/01/01;1400 UTC;0;931,5;932,3;931,5;2714,8;28,8;19,1;28,8;27,5;21,4;17,7;65;53;56;282;5;1,1;
2024/01/01;1500 UTC;0;930,9;931,5;930,9;2040,7;28,6;19,3;28,8;27,9;20,5;18,3;62;54;57;244;5,6;1,3;
2024/01/01;1600 UTC;0;929,9;930,9;929,9;2006,9;29,3;17,8;29,7;28,2;20,3;17,6;60;49;50;259;4,2;,8;
2024/01/01;1700 UTC;0;928,6;929,9;928,6;3282;31,2;18,8;31,2;29,3;19,9;16,2;55;43;48;251;3,7;1,1;
2024/01/01;1800 UTC;0;927,4;928,6;927,4;2122;30;19,5;31,3;29,5;19,6;16,2;55;42;53;185;3,9;1,4;
2024/01/01;1900 UTC;0;927,2;927,4;927,2;1138,2;29;19,8;30,2;29;19,9;18,5;58;50;58;117;4,1;1,1;
2024/01/01;2000 UTC;0;926,7;927,2;926,7;483,3;28,8;18,7;29,1;28,5;19,9;18,6;59;54;55;103;2,6;1,1;
2024/01/01;2100 UTC;0;927,1;927,1;926,6;188,7;26,7;19,9;28,8;26,7;20,6;18,8;67;55;67;284;3,6;,6;
2024/01/01;2200 UTC;,2;928;928;927,1;38,9;23,8;21;26,7;23,8;21,1;19,8;85;67;84;270;4,8;,6;
2024/01/01;2300 UTC;1,4;929,3;929,3;928,1;;21,9;18,8;24,5;21,9;21,8;18,7;86;79;83;196;7,9;3,7;
2024/01/02;0000 UTC;10,2;930,4;930,4;929,3;;21,5;20,1;21,9;21,3;20,2;18,5;92;83;92;307;7,9;,4;
2024/01/02;0100 UTC;8,8;931,3;931,3;930,4;;21,6;20,3;21,8;21,5;20,5;20,1;92;92;92;54;2,3;,2;
2024/01/02;0200 UTC;4;931,9;931,9;931,3;;21,3;20;22;21,3;20,7;20;92;92;92;11;2,6;,4;
2024/01/02;0300 UTC;9,4;931,2;932;931,2;;20,6;19,3;21,4;20,6;20,1;19,3;92;92;92;158;5;,1;
2024/01/02;0400 UTC;1;929,8;931,2;929,8;;20,5;19,3;20,7;20,4;19,4;19,2;93;92;93;239;2,4;,7;
2024/01/02;0500 UTC;0;929,5;929,7;929,4;;20,6;19,4;20,9;20,5;19,7;19,2;93;93;93;88;1;,2;
2024/01/02;0600 UTC;0;929,1;929,5;929;;20,5;19,2;20,7;20,4;19,5;19,2;93;93;93;356;2;0;
2024/01/02;0700 UTC;0;929,2;929,2;929,1;;20,6;19,4;20,8;20,5;19,6;19,2;93;93;93;245;,8;0;
2024/01/02;0800 UTC;0;929,3;929,3;928,9;;20,7;19,5;20,7;20,5;19,5;19,3;93;93;93;327;1,5;,1;
2024/01/02;0900 UTC;0;930;930,1;929,3;5,8;20,9;19,7;20,9;20,6;19,8;19,5;93;93;93;268;1,4;,1;
2024/01/02;1000 UTC;0;930;930,2;930;173,8;21,2;20,1;21,3;20,8;20,1;19,7;93;93;93;347;2,2;,5;
2024/01/02;1100 UTC;0;930,2;930,2;929,9;883,5;22,8;20,6;23,1;21,2;21,5;20;93;87;87;330;2,4;,8;
2024/01/02;1200 UTC;0;930,3;930,4;930,2;1157,2;24,4;20,5;24,4;22,7;21,2;19,8;87;77;79;325;3,4;1,3;
2024/01/02;1300 UTC;0;930,4;930,5;930,3;1862,7;26,8;20,7;26,8;24,4;21,9;19,5;79;67;69;324;3,4;1,1;
2024/01/02;1400 UTC;0;930;930,4;930;1700,2;27,4;20,9;27,4;26,6;21,1;19,5;70;64;67;301;4;1;
2024/01/02;1500 UTC;0;929;930;929;2316,1;28,4;19,7;29,1;27,1;21,6;19,6;68;58;59;260;4,2;1,4;
2024/01/02;1600 UTC;0;928,2;929;928,2;2605,9;28,5;19,8;30,1;28,2;21,3;19,3;64;54;59;223;4,8;2,1;
2024/01/02;1700 UTC;0;927,2;928,2;927,2;2463,2;29,3;19,5;31,2;28,5;21,9;18,1;64;47;56;306;3,9;1,4;
2024/01/02;1800 UTC;0;926,4;927,3;926,4;2538,8;30,3;19;31,2;29,2;20,9;19;59;50;51;237;4,7;2,1;
2024/01/02;1900 UTC;0;925,9;926,4;925,8;2102,2;29,7;19,2;31,6;29,7;21;18,6;59;47;54;248;5,3;,8;
2024/01/02;2000 UTC;0;925,5;925,9;925,4;1563,7;30,8;19,3;31,7;29,2;20,6;17,7;59;46;50;262;4,3;1;
2024/01/02;2100 UTC;0;925,8;925,8;925,4;450,3;28,1;18,9;30,8;28,1;19,9;18,3;58;50;58;260;3,5;,3;
2024/01/02;2200 UTC;0;927,2;927,2;925,8;36,4;26,1;20,9;28,1;26,1;21;18,3;74;56;73;326;5;1,5;
2024/01/02;2300 UTC;0;928,3;928,3;927,3;;24,1;21,6;26;24;21,6;20,4;86;73;86;71;4,4;2,3;
2024/01/03;0000 UTC;0;928,8;928,9;928,3;;23,4;20,8;24,3;23,2;21,8;20,6;87;85;85;57;5,4;1;
