REGIAO:;CO
UF:;GO
ESTACAO:;PORANGATU
CODIGO (WMO):;A005
LATITUDE:;-13,30944444
LONGITUDE:;-49,11749999
ALTITUDE:;365
DATA DE FUNDACAO:;04/06/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;970;970;969;;26,4;23,4;27,3;26,4;23,6;22,2;84;74;84;345;2;0;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;971;971,3;971;;25,3;23,2;25,8;25,3;23,7;23;90;85;88;243;1,3;0;
2024/01/01;0400 UTC;0;970,6;971;970,6;;25,2;23,4;25,3;25,1;23,8;22,9;92;87;90;262;0;0;
2024/01/01;0500 UTC;0;969,9;970,6;969,9;;24,6;23,4;25,2;24,6;23,8;23,1;94;88;93;302;0;0;
2024/01/01;0600 UTC;0;969,1;969,9;969,1;;24,1;23,4;24,7;24,1;23,6;23,1;96;92;96;54;1,2;0;
2024/01/01;0700 UTC;0;968,7;969,1;968,7;;23,7;23,1;24,1;23,6;23,4;23;97;96;97;92;2,4;,2;
2024/01/01;0800 UTC;0;969;969;968,7;;23,7;23;23,7;23,6;23,1;22,9;97;96;96;94;2,1;,2;
2024/01/01;0900 UTC;0;969,3;969,3;969;;24,2;23;24,2;23,7;23;22,9;95;93;93;84;2,1;0;
2024/01/01;1000 UTC;0;969,9;969,9;969,3;91,3;24,6;23,6;24,6;24,2;23,6;23;95;93;94;75;2,1;0;
2024/01/01;1100 UTC;0;970,6;970,6;969,9;387,5;25,6;23,5;25,6;24,6;24,1;23,4;94;88;88;53;1,7;0;
2024/01/01;1200 UTC;0;971,2;971,2;970,6;614,6;26,3;23,4;26,3;25,6;24,2;23,1;90;83;84;355;1,4;,1;
2024/01/01;1300 UTC;0;971,5;971,5;971,2;1430,9;28,4;24,3;28,4;26,3;24,3;23,3;85;76;79;341;3,7;,8;
2024/01/01;1400 UTC;0;970,3;971,5;970,3;2375,6;29;23,4;29,6;27,8;24,6;23,1;81;70;72;353;5,5;2,5;
2024/01/01;1500 UTC;0;969,6;970,3;969,5;2290,7;29,5;23,2;30,4;28,8;24,7;22,8;75;65;69;312;7,9;2,4;
2024/01/01;1600 UTC;,2;968,6;969,7;968,6;2145,9;28,5;23,6;29,8;27,1;25,1;22,9;88;69;75;19;7,9;2,3;
2024/01/01;1700 UTC;16,4;969,6;969,8;968,3;357,9;22,2;21,9;28,6;22;23,8;21,2;98;73;98;216;14,3;4,2;
2024/01/01;1800 UTC;5,2;969;969,6;969;105,7;22,7;22,2;22,7;22,2;22,3;21,9;98;96;97;201;7,3;1,1;
2024/01/01;1900 UTC;1,6;967,8;969;967,8;189;23,1;22,4;23,1;22,7;22,5;22,1;97;96;96;145;3,1;1;
2024/01/01;2000 UTC;,6;967,2;967,8;967,2;231,1;23,5;22,7;23,5;23,1;22,9;22,4;97;95;95;38;2,6;0;
2024/01/01;2100 UTC;0;967,7;967,7;967,2;168,2;23,4;22,9;23,6;23,4;23;22,6;97;95;97;47;2,2;,5;
2024/01/01;2200 UTC;0;968,9;968,9;967,7;46,8;23,4;22,9;23,6;23,4;23,1;22,9;97;97;97;52;2,1;,1;
2024/01/01;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;0;970,4;970,5;969,9;;23,2;22,9;23,3;23,1;23;22,8;98;98;98;8;2,6;,1;
2024/01/02;0200 UTC;0;970,7;970,8;970,4;;23,1;22,8;23,2;23;22,9;22,7;98;98;98;11;2,2;,2;
