REGIAO:;CO
UF:;GO
ESTACAO:;SAO SIMAO
CODIGO (WMO):;A011
LATITUDE:;-18,96916666
LONGITUDE:;-50,63333333
ALTITUDE:;492,45
DATA DE FUNDACAO:;15/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;956,1;956,1;955,4;0;23,3;22,1;23,5;23,2;22,3;22;93;93;93;178;;;
2024/01/01;0100 UTC;0;957,3;957,3;956,1;0;23,2;22,1;23,3;23,2;22,2;22;94;93;93;138;;;
2024/01/01;0200 UTC;0;957,8;957,8;957,3;0;23,4;21,9;23,4;23,2;22,2;21,9;93;91;91;173;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;0;955,7;956,3;955,7;0;23;22;23,1;22,8;22,1;21,8;94;94;94;312;;;
2024/01/01;0600 UTC;,2;955;955,7;955;0;23;22;23;22,7;22,1;21,7;94;94;94;38;;;
2024/01/01;0700 UTC;0;955,1;955,2;955;0;23,1;22;23,3;23;22,2;22;94;94;94;331;;;
2024/01/01;0800 UTC;0;955;955,1;955;0;22,9;21,8;23,1;22,8;22;21,8;94;94;94;343;;;
2024/01/01;0900 UTC;0;955,7;955,7;955;2,6;23,2;22,1;23,2;22,7;22,1;21,7;94;94;94;69;;;
2024/01/01;1000 UTC;0;956,5;956,5;955,7;138,2;23,5;22,1;23,6;23;22,2;21,9;94;92;92;1;;;
2024/01/01;1100 UTC;0;956,9;956,9;956,5;348,7;23,9;22,1;24,1;23,4;22,3;21,9;92;89;90;159;;;
2024/01/01;1200 UTC;0;957,2;957,2;956,9;661,7;24,8;22,2;24,9;23,9;22,4;22;90;85;85;123;;;
2024/01/01;1300 UTC;0;957,6;957,6;957,2;414,1;24,8;22,1;24,9;24,6;22,4;22;86;85;85;127;;;
2024/01/01;1400 UTC;,4;957,4;957,6;957,4;968,5;25,8;22,8;25,8;24,8;22,9;22,1;86;82;84;55;;;
2024/01/01;1500 UTC;0;956,9;957,4;956,9;1599,4;26,6;22,1;26,9;25,6;22,9;21,8;84;75;76;185;;;
2024/01/01;1600 UTC;0;956;956,9;956;1153,3;25,8;22,4;27,2;25,7;22,9;21,8;82;74;81;165;;;
2024/01/01;1700 UTC;3,6;954,6;956;954,6;2009,1;27,6;22,6;27,8;25;22,9;21,7;85;71;74;70;;;
2024/01/01;1800 UTC;0;953,9;954,6;953,9;2646,4;27,7;22,4;29,1;27,3;22,8;21,2;75;64;73;161;;;
2024/01/01;1900 UTC;0;953,1;953,9;953,1;1979,1;28,3;21,9;28,7;27,7;23;21,8;75;68;68;98;;;
2024/01/01;2000 UTC;0;952,8;953,1;952,7;1459,6;27,1;22,4;29,7;27,1;22,5;21,2;76;62;76;141;;;
2024/01/01;2100 UTC;0;952,6;952,9;952,6;757,9;27,7;22,1;28;26,9;22,7;21,6;78;70;71;126;;;
2024/01/01;2200 UTC;0;953,4;953,4;952,6;256,8;26,2;22;28,2;26,2;22,5;21,6;77;68;77;110;;;
2024/01/01;2300 UTC;0;954,2;954,2;953,4;,6;25,3;22,3;26,2;25,2;22,4;21,8;84;77;84;66;;;
2024/01/02;0000 UTC;0;955;955;954,2;0;24,6;22,5;25,3;24,5;22,6;22,2;88;83;88;60;;;
2024/01/02;0100 UTC;0;955,6;955,6;955;0;24,5;22,4;24,6;24,3;22,7;22,3;89;88;89;55;;;
2024/01/02;0200 UTC;0;956;956;955,6;0;24,4;22,3;24,5;24,1;22,6;22,1;90;88;88;54;;;
2024/01/02;0300 UTC;0;955,6;956;955,6;0;23,9;22,2;24,4;23,8;22,4;22,1;90;88;90;44;;;
2024/01/02;0400 UTC;0;954,8;955,6;954,8;0;23,9;22,3;24,1;23,8;22,5;22,1;91;90;91;48;;;
2024/01/02;0500 UTC;0;954,1;954,8;954,1;0;24,1;22,1;24,1;23,9;22,6;22,1;91;89;89;46;;;
2024/01/02;0600 UTC;0;954;954,1;954;0;24,2;22,5;24,2;24;22,6;22,1;91;88;90;355;;;
2024/01/02;0700 UTC;0;953,9;954,1;953,9;0;24,1;22,7;24,3;24;22,7;22,5;92;90;92;317;;;
2024/01/02;0800 UTC;0;954,4;954,4;953,9;0;23,9;21,9;24,1;23,9;22,6;21,9;92;89;89;244;;;
2024/01/02;0900 UTC;0;954,6;954,6;954,4;3,3;23,7;21,7;24,1;23,7;22;21,7;89;88;88;275;;;
2024/01/02;1000 UTC;0;955;955;954,6;163,5;24;22,1;24;23,6;22,2;21,6;90;88;89;261;;;
2024/01/02;1100 UTC;0;955,3;955,3;955;635,3;24,9;22,5;24,9;24;22,6;22;89;86;87;326;;;
2024/01/02;1200 UTC;0;955;955,3;955;1239,1;26,5;22,6;27,5;24,9;23,6;22,3;86;76;79;304;;;
2024/01/02;1300 UTC;0;955,2;955,2;955;571,7;25,2;22,3;26,5;25,2;22,8;22,1;84;79;84;171;;;
2024/01/02;1400 UTC;0;954,7;955,2;954,7;981,8;26,7;22,2;26,7;24,8;23;21,8;87;76;76;197;;;
2024/01/02;1500 UTC;0;953,9;954,7;953,9;2402,7;29,2;20,9;30,1;26,7;22,8;20,9;78;61;61;121;;;
2024/01/02;1600 UTC;0;953,3;953,9;953,3;2770,6;31,3;20,5;31,9;29,2;21,9;19,2;65;49;53;56;;;
2024/01/02;1700 UTC;0;952,3;953,3;952,3;2180,8;31,4;20,8;31,6;30,6;20,8;19,3;54;50;53;31;;;
2024/01/02;1800 UTC;0;951,1;952,3;951,1;1734,7;31,6;19,9;33,3;30,8;20,8;19,2;54;46;50;312;;;
2024/01/02;1900 UTC;0;950,8;951,1;950,7;1196,7;29,3;20,5;31,7;29,3;21;18,9;59;47;59;324;;;
2024/01/02;2000 UTC;0;950,1;950,8;950,1;1425,2;30;21,1;31,1;28,9;21,8;20,2;63;53;59;322;;;
2024/01/02;2100 UTC;0;950,6;950,6;950,1;657,5;30,2;20,6;30,7;29,9;21,2;19,8;59;53;56;23;;;
2024/01/02;2200 UTC;0;951,3;951,3;950,6;133,5;29,5;21,8;30,2;29,4;22;20,8;64;57;63;62;;;
2024/01/02;2300 UTC;0;952,4;952,4;951,3;,3;26,4;21,4;29,5;26,4;22,1;20,9;74;60;74;109;;;
2024/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0300 UTC;0;953,2;953,2;952,9;0;25,8;21,3;26,4;25,6;21,5;21;77;72;76;135;;;
2024/01/03;0400 UTC;,2;952,8;953,2;952,7;0;24;21,8;25,8;24;21,8;21,3;87;76;87;227;;;
2024/01/03;0500 UTC;1,8;953;953;952,5;0;23,1;22;24;23;22,1;21,7;93;87;93;229;;;
2024/01/03;0600 UTC;30,6;953,2;953,2;952,7;0;22,6;21,7;23,1;22,5;22;21,6;95;93;95;197;;;
2024/01/03;0700 UTC;12,8;952,3;953,3;952,2;,9;21,7;21;22,6;21,6;21,8;20,9;96;95;96;161;;;
2024/01/03;0800 UTC;4,2;952,2;952,5;952,2;,1;22,4;21,6;22,4;21,7;21,6;20,9;96;95;95;77;;;
2024/01/03;0900 UTC;,6;953,2;953,2;952,2;2;22,5;21,4;22,8;22,3;22;21,3;95;93;93;69;;;
2024/01/03;1000 UTC;0;953,2;953,3;953,2;182,3;22,7;21;22,7;22,4;21,4;21;93;90;90;46;;;
2024/01/03;1100 UTC;0;953,3;953,4;953,2;712,9;23,4;21,4;23,5;22,7;21,5;20,7;90;86;88;31;;;
2024/01/03;1200 UTC;0;953,7;953,8;953,3;1573,8;25,4;21,7;25,5;23,4;21,7;21;88;79;80;36;;;
2024/01/03;1300 UTC;0;954;954,1;953,6;2545;27,7;22,5;28;25,4;23,1;21,3;81;72;73;38;;;
2024/01/03;1400 UTC;0;954;954,2;954;3349;28,6;22,6;28,6;27,3;23,6;21,9;78;70;70;50;;;
2024/01/03;1500 UTC;0;953,7;954,1;953,7;3502,5;29;22,4;29,8;28,2;23,5;21,8;72;64;67;72;;;
2024/01/03;1600 UTC;0;953,2;953,7;953,2;3488,6;31,4;22,5;31,7;29;24,3;21,7;71;59;59;37;;;
2024/01/03;1700 UTC;0;952,1;953,2;952,1;2307;30,8;22,6;31,7;30;23,2;21,3;64;57;61;86;;;
2024/01/03;1800 UTC;0;951,5;952,1;951,5;2143,4;31,2;22,4;32;30,2;23,6;22,2;66;58;60;86;;;
2024/01/03;1900 UTC;0;950,6;951,5;950,6;1676,7;31,1;22,2;32,2;30,8;23,5;21,5;62;56;59;97;;;
2024/01/03;2000 UTC;0;949,9;950,6;949,8;645,9;31,7;22,3;31,8;30,8;23,3;21,9;62;58;58;176;;;
2024/01/03;2100 UTC;0;950,4;950,4;949,9;1095,1;31,3;22,1;32,6;31,2;22,5;21,5;59;53;58;129;;;
2024/01/03;2200 UTC;0;951,7;951,7;950,4;195,1;29,5;23,6;31,4;29,5;23,7;21,8;71;57;71;61;;;
2024/01/03;2300 UTC;0;952,2;952,2;951,7;,3;27,3;22,7;29,7;27,1;23,9;22,7;77;69;76;3;;;
2024/01/04;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/04;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/04;0200 UTC;0;954,2;954,4;954,1;0;24,3;21,5;25,5;24;21,8;20,8;85;79;84;271;;;
