REGIAO:;CO
UF:;GO
ESTACAO:;JATAI
CODIGO (WMO):;A016
LATITUDE:;-17,9236111
LONGITUDE:;-51,71749999
ALTITUDE:;670,08
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;936,9;936,9;936,1;;23,9;22,6;24,2;23,8;23,1;22,6;94;92;93;147;3,3;1,6;
2024/01/01;0100 UTC;0;938;938;936,9;;23,5;22,5;23,9;23,5;22,7;22,5;94;93;94;159;3,3;,8;
2024/01/01;0200 UTC;0;938,8;938,8;938;;23,1;22,6;23,5;23,1;22,6;22,5;97;94;97;159;1,8;1;
2024/01/01;0300 UTC;0;938,5;938,9;938,5;;22,8;22,4;23,1;22,8;22,6;22,3;97;97;97;182;2,1;1;
2024/01/01;0400 UTC;0;937,7;938,5;937,7;;22,6;22,2;22,8;22,6;22,3;22,2;98;97;98;166;1,9;,1;
2024/01/01;0500 UTC;0;937;937,7;936,9;;22,3;21,9;22,6;22,2;22,2;21,9;98;98;98;171;3,3;2;
2024/01/01;0600 UTC;0;936,7;937,1;936,7;;22,2;21,8;22,4;22,2;22;21,8;98;98;98;135;3,3;,8;
2024/01/01;0700 UTC;0;936,5;936,7;936,3;;21,9;21,5;22,2;21,9;21,8;21,5;98;98;98;123;2;,2;
2024/01/01;0800 UTC;0;936,8;936,8;936,4;;21,9;21,5;21,9;21,8;21,5;21,4;98;98;98;179;1,2;,8;
2024/01/01;0900 UTC;0;937,4;937,4;936,8;;21,8;21,4;21,9;21,7;21,5;21,3;98;97;98;28;1,6;,1;
2024/01/01;1000 UTC;0;937,8;937,8;937,4;51,2;22,1;20,9;22,1;21,8;21,5;20,9;98;93;93;341;1,4;,4;
2024/01/01;1100 UTC;,8;938,1;938,1;937,8;146;22,2;21,1;22,2;22;21,4;20,9;96;93;94;2;2,5;,9;
2024/01/01;1200 UTC;,4;938,7;938,8;938,1;355,8;22,8;21,6;22,8;22,1;21,7;21,1;95;92;93;3;2,9;1,3;
2024/01/01;1300 UTC;0;938,8;939;938,8;908,5;24;22,1;24;22,8;22,2;21,3;93;88;89;17;2,8;1,3;
2024/01/01;1400 UTC;0;938,3;938,8;938,3;1484,6;24,7;21,2;24,8;23,9;22,3;21,1;89;80;81;335;3,9;1,3;
2024/01/01;1500 UTC;0;937,4;938,3;937,4;2027,7;25,9;20,8;26,5;24,7;21,8;20,8;82;73;74;325;3,2;1,4;
2024/01/01;1600 UTC;,2;936,8;937,4;936,8;2453,9;26,9;21,3;27,4;25,9;22,8;20,6;79;69;72;264;4,6;1,8;
2024/01/01;1700 UTC;0;935,7;936,8;935,7;3617,9;28,3;21,1;28,9;26,7;22,4;20,2;76;62;65;237;5,3;2;
2024/01/01;1800 UTC;0;934,8;935,7;934,8;2750,3;28,8;20,7;29,1;27,7;21,8;19,7;69;58;62;231;5,3;1,2;
2024/01/01;1900 UTC;0;934,1;934,8;934;2552,3;27,7;21,6;28,9;27,1;22,8;20,2;75;60;69;96;7,4;3,3;
2024/01/01;2000 UTC;0;933,9;934,2;933,9;1352,1;27,2;21,3;28,5;27,1;22,3;20,6;72;65;70;95;6,1;2;
2024/01/01;2100 UTC;0;934,1;934,1;933,7;295,3;26,6;21,1;27,2;26,5;21,2;20,1;73;68;72;44;3,8;,6;
2024/01/01;2200 UTC;0;935,1;935,1;934,1;82,5;25,8;21,8;26,6;25,8;21,9;21;79;72;79;322;2,2;,2;
2024/01/01;2300 UTC;0;935,7;935,7;935,1;;23,5;21,4;25,8;23,5;22,2;21,1;88;78;88;320;6,5;1,9;
2024/01/02;0000 UTC;,2;936,2;936,2;935,7;;23,2;21,4;23,5;23,1;21,6;21,1;90;88;90;358;3,6;1,5;
2024/01/02;0100 UTC;0;937,4;937,4;936,2;;22,6;21,5;23,3;22,5;21,5;21,3;94;89;93;230;4,1;1,4;
2024/01/02;0200 UTC;0;937,3;937,5;937,2;;22,7;21,1;22,9;22,6;21,5;21;93;90;91;258;3,8;,6;
2024/01/02;0300 UTC;0;937,1;937,3;937,1;;22,5;21,1;22,8;22,5;21,1;21;92;89;92;67;2;,5;
2024/01/02;0400 UTC;0;936,4;937,1;936,4;;22,3;21,3;22,7;22,3;21,3;21,1;94;91;94;154;2,8;1,4;
2024/01/02;0500 UTC;0;936;936,4;936;;22;21,4;22,6;22;21,4;21,3;96;93;96;229;2,2;,9;
2024/01/02;0600 UTC;0;935,8;936;935,7;;22,3;21,7;22,3;22;21,7;21,4;97;96;97;100;1,3;,5;
2024/01/02;0700 UTC;0;935,5;935,8;935,5;;22;21,5;22,5;22;21,8;21,5;97;95;97;151;3;1,2;
2024/01/02;0800 UTC;0;935,9;935,9;935,4;;21,3;20,2;22;21,1;21,4;20,2;97;94;94;238;2,4;,2;
2024/01/02;0900 UTC;0;936,2;936,2;935,9;;21,4;20;21,4;21,3;20,4;19,9;94;91;92;140;1,5;,3;
2024/01/02;1000 UTC;0;936,5;936,5;936,2;195;22,3;20,9;22,3;21,3;20,9;20;94;90;92;338;1,5;,2;
2024/01/02;1100 UTC;0;936,8;936,9;936,5;639,8;23,1;20,6;23,2;21,8;21,2;20,4;94;85;86;264;1,5;,5;
2024/01/02;1200 UTC;0;936,6;936,9;936,6;1323,7;25,7;19,9;25,7;23;21,1;19,3;86;70;70;34;2,4;,7;
2024/01/02;1300 UTC;0;936,4;936,6;936,4;2470,7;27;21,3;27,3;25,4;21,3;19,6;74;66;71;204;2,9;1,4;
2024/01/02;1400 UTC;0;936,1;936,5;936,1;2999;29;20;29;26,6;21;19,5;71;58;58;108;3;,9;
2024/01/02;1500 UTC;0;935,5;936,1;935,5;2032,1;28,7;21,8;29,1;27,7;21,9;19,5;69;58;66;133;3,7;,9;
2024/01/02;1600 UTC;0;934,6;935,5;934,6;2024;29,1;21,1;29,7;28,1;21,1;19,4;66;55;62;121;2,9;,7;
2024/01/02;1700 UTC;0;933,8;934,6;933,8;2039,9;29,3;22;29,4;28,6;22,2;19,9;67;58;65;228;3,7;2;
2024/01/02;1800 UTC;0;932,8;933,8;932,8;2886,2;29,9;20,7;30,2;29,1;22,3;20,2;66;57;58;233;4,5;1,7;
