REGIAO:;CO
UF:;GO
ESTACAO:;GOIANESIA
CODIGO (WMO):;A022
LATITUDE:;-15,22027777
LONGITUDE:;-48,98999999
ALTITUDE:;667,01
DATA DE FUNDACAO:;02/06/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;938,1;938,1;936,9;;24,3;20,2;24,4;23,9;20,3;20;80;77;78;319;4;,3;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;938,6;938,9;938,6;;23,8;20,3;24,2;23,8;20,4;20,1;81;78;81;274;3,3;,9;
2024/01/01;0400 UTC;0;937,6;938,6;937,6;;23,5;20,4;24;23,3;20,4;20,2;83;80;83;307;4,9;0;
2024/01/01;0500 UTC;0;936,9;937,6;936,9;;23,5;20,4;23,5;22,3;20,6;19,7;88;82;83;21;2,3;1;
2024/01/01;0600 UTC;0;936,6;936,9;936,5;;22,1;20,7;23,5;22;20,8;20,2;92;83;92;357;2,5;1,1;
2024/01/01;0700 UTC;0;936,3;936,6;936,3;;21,9;20,6;22,1;21,7;20,7;20,4;93;92;92;19;2,2;,2;
2024/01/01;0800 UTC;0;936,7;936,7;936,2;;21,5;20;22;21,5;20,7;19,9;92;91;91;330;1,4;0;
2024/01/01;0900 UTC;0;937,2;937,2;936,7;1,4;21,4;20;21,8;21,3;20,2;19,9;92;90;92;167;1,2;0;
2024/01/01;1000 UTC;0;937,5;937,5;937,2;354,4;21,9;20,5;21,9;21;20,5;19,6;93;91;92;167;1,6;,5;
2024/01/01;1100 UTC;0;938,1;938,1;937,5;1140,5;24,7;21,1;25,1;21,9;21,7;20,4;92;79;80;107;1,9;,1;
2024/01/01;1200 UTC;0;938,3;938,3;938,1;1710,4;26;20,5;26,1;24,7;22,2;20,3;81;72;72;342;3,3;,7;
2024/01/01;1300 UTC;0;938,4;938,6;938,3;2142;27,6;20;27,7;25,9;21,1;19,3;73;61;63;270;6;2,4;
