REGIAO:;CO
UF:;GO
ESTACAO:;MINEIROS
CODIGO (WMO):;A026
LATITUDE:;-17,45472222
LONGITUDE:;-52,60111111
ALTITUDE:;862
DATA DE FUNDACAO:;24/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;917,2;917,2;;;22,6;21,8;23;22,6;22,1;21,8;96;94;96;;;;
2024/01/01;0200 UTC;0;918;918;917,2;;22,4;21,8;22,6;22,3;21,9;21,6;96;96;96;203;1,6;1,2;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;916,9;917,6;916,9;;21,9;21,4;22,2;21,9;21,6;21,4;97;96;97;156;1,8;,5;
2024/01/01;0500 UTC;,2;916;916,9;915,9;;21,6;21,1;21,9;21,5;21,4;21;97;97;97;227;2;,5;
2024/01/01;0600 UTC;0;915,7;916,1;915,7;;21,6;21,1;21,6;21,5;21,2;21;97;97;97;198;2,3;,7;
2024/01/01;0700 UTC;0;915,4;915,7;915,4;;21,4;21,1;21,6;21,4;21,2;21,1;98;97;98;144;2,9;1;
2024/01/01;0800 UTC;0;915,8;915,8;915,4;;21,3;20,9;21,6;21,3;21,2;20,9;98;98;98;196;2,5;1,3;
2024/01/01;0900 UTC;0;916,3;916,3;915,8;,6;21,2;20,7;21,4;21,2;21,1;20,7;98;97;97;131;6,7;4;
2024/01/01;1000 UTC;0;916,5;916,5;916,2;79,7;21,1;20,7;21,2;20,9;20,7;20,3;97;97;97;159;6,7;1,6;
2024/01/01;1100 UTC;0;917,3;917,3;916,5;385,6;22,2;21,3;22,2;21,1;21,4;20,7;97;95;95;38;4;1,5;
2024/01/01;1200 UTC;0;917,9;917,9;917,3;276,1;22,4;21,4;22,5;22,2;21,6;21,2;95;93;94;17;4,6;2,7;
2024/01/01;1300 UTC;0;918,3;918,3;917,9;477,6;23;22;23;22,3;22;21,3;95;93;94;360;5;2,3;
2024/01/01;1400 UTC;0;917,8;918,3;917,8;1580,1;24,7;22,2;24,7;23;23,2;21,7;94;86;86;351;7;3,4;
2024/01/01;1500 UTC;0;917,2;917,8;917,2;2504;25,8;21,7;26,5;24,3;22,9;21,2;87;76;79;346;7,2;3,3;
2024/01/01;1600 UTC;0;916,4;917,2;916,4;2581,5;25,1;21,2;27,9;25,1;23,4;21;82;72;79;332;6,5;2,6;
2024/01/01;1700 UTC;0;915,5;916,4;915,5;674,8;22,6;21,4;25,1;22,4;21,5;20,5;93;79;93;294;5,4;2,3;
2024/01/01;1800 UTC;,2;914,5;915,5;914,5;2013,4;26;21,8;26,3;22,4;23,2;20,8;93;75;78;318;5,1;2,1;
2024/01/01;1900 UTC;0;913,8;914,5;913,8;1894,2;26,4;20,6;27,1;25,8;22,4;20,6;78;70;70;310;4,3;1,2;
2024/01/01;2000 UTC;0;913,7;913,9;913,6;915,7;25,9;21,9;26,4;25,6;21,9;20,1;79;70;79;310;2,6;1,1;
2024/01/01;2100 UTC;0;913,9;913,9;913,5;422,6;24,9;22,2;26;24,8;22,5;21,5;85;78;85;302;3,5;1,2;
2024/01/01;2200 UTC;0;914,6;914,6;913,9;125,8;23,5;21;24,9;23,5;22,2;21;86;84;86;248;3,4;,9;
2024/01/01;2300 UTC;0;914,9;914,9;914,6;;22,6;21,4;23,5;22,5;21,4;21;93;86;93;305;2,2;,6;
2024/01/02;0000 UTC;0;915,7;915,7;914,9;;22,3;21,2;22,8;22,3;21,5;21,1;94;92;94;139;1,9;1,1;
2024/01/02;0100 UTC;0;916,1;916,1;915,6;;22,1;21;22,4;22,1;21,4;21;94;93;94;215;2,2;,9;
