REGIAO:;CO
UF:;GO
ESTACAO:;PARAUNA
CODIGO (WMO):;A027
LATITUDE:;-16,9625
LONGITUDE:;-50,42555554
ALTITUDE:;678,74
DATA DE FUNDACAO:;29/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;935,8;935,8;935,2;;23,8;21;24;23,8;21,3;20,9;86;83;84;314;2,4;,5;
2024/01/01;0100 UTC;;936,7;936,7;935,8;;23,7;21,1;23,9;23,7;21,2;20,9;85;84;85;290;1,6;0;
2024/01/01;0200 UTC;;937,5;937,5;936,7;;23,9;21,4;23,9;23,4;21,6;21;89;85;86;285;1,6;0;
2024/01/01;0300 UTC;;937,2;937,6;937,2;;23,4;21,7;23,9;23,4;21,9;21,2;91;85;90;127;1,5;0;
2024/01/01;0400 UTC;;936,3;937,2;936,3;;23,1;21,9;23,5;23,1;22,1;21,6;93;90;93;88;1,4;,4;
2024/01/01;0500 UTC;;935,5;936,3;935,5;;22,1;21,1;23,2;22;22,1;20,8;94;91;94;139;2,4;,4;
2024/01/01;0600 UTC;;935,2;935,5;935,2;;22,3;21,6;22,3;22;21,6;21,1;96;94;96;40;2,4;0;
2024/01/01;0700 UTC;;935,1;935,2;935,1;;22,4;21,7;22,4;22,2;21,7;21,5;96;96;96;89;1,9;,4;
2024/01/01;0800 UTC;;935,7;935,7;935,1;;22,3;21,5;22,4;22,2;21,7;21,4;96;95;95;63;1,6;0;
2024/01/01;0900 UTC;;936,3;936,3;935,7;,7;22,4;21,6;22,5;22,2;21,7;21,4;96;95;96;165;,8;0;
