REGIAO:;CO
UF:;GO
ESTACAO:;EDEIA
CODIGO (WMO):;A029
LATITUDE:;-17,33694444
LONGITUDE:;-49,91472222
ALTITUDE:;608
DATA DE FUNDACAO:;26/08/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;942,9;942,9;942,4;;24,4;21,7;24,9;24,4;21,9;21,6;85;82;85;263;4,2;1,6;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;944,6;944,8;944,6;;23,9;22,1;24,3;23,9;22,2;21,6;90;85;90;164;2,1;0;
2024/01/01;0400 UTC;0;943,7;944,6;943,7;;23,3;22,4;23,9;23,3;22,4;21,8;95;88;95;339;1,4;0;
2024/01/01;0500 UTC;0;942,8;943,7;942,8;;23,1;22,1;23,3;23;22,5;22,1;97;94;94;332;1,8;,3;
2024/01/01;0600 UTC;0;942,3;942,9;942,3;;22,8;21,9;23,1;22,8;22,3;21,9;95;94;95;334;1,8;0;
2024/01/01;0700 UTC;0;942,2;942,4;942,2;;23;22;23,1;22,7;22,1;21,8;96;94;94;210;0;0;
2024/01/01;0800 UTC;0;942,6;942,6;942,2;;23,1;22,3;23,1;23;22,4;22;96;94;96;273;0;0;
2024/01/01;0900 UTC;0;943,4;943,4;942,6;3,5;22,8;22,2;23,1;22,8;22,5;22,2;96;95;96;262;2,9;,4;
2024/01/01;1000 UTC;0;943,8;943,8;943,4;400,2;24,1;21,5;24,1;22,8;22,2;21,4;96;85;85;277;3,5;1,1;
2024/01/01;1100 UTC;0;944,6;944,6;943,8;1086,7;25;21,9;25,2;23,9;22,5;21,4;87;81;83;239;4,1;1,9;
2024/01/01;1200 UTC;0;944,7;944,7;944,6;483,5;24,6;22,1;25;24,5;22,3;21,6;86;83;86;237;4,5;1,1;
2024/01/01;1300 UTC;0;944,8;944,9;944,7;428,4;24,1;22,2;24,7;24,1;22,5;21,9;90;85;89;194;4,4;2,5;
2024/01/01;1400 UTC;0;944,5;944,9;944,5;638,1;24,2;22,2;24,2;23,7;22,5;22;92;88;89;194;4,3;,8;
2024/01/01;1500 UTC;0;944;944,5;944;1758,2;26;22,3;26,2;24,1;22,9;21,7;90;78;80;275;3,5;,3;
2024/01/01;1600 UTC;0;943;944;943;2850,4;28,4;22,5;28,4;25,9;22,6;21,4;80;67;70;334;2,9;0;
2024/01/01;1700 UTC;0;941,5;943;941,5;3672,9;28,9;22,5;29,2;28;23;21,2;73;65;68;135;5,1;1,1;
2024/01/01;1800 UTC;0;940,6;941,5;940,6;3024,5;29,1;22,1;30,1;28,2;23,2;21,2;71;62;66;232;5;1,9;
2024/01/01;1900 UTC;0;939,9;940,6;939,9;3139,4;30,4;22,5;30,6;28,8;23,3;21,2;68;59;63;156;5,3;,9;
2024/01/01;2000 UTC;0;939,6;939,9;939,6;2018,2;29,8;21,8;30,7;29,5;23,1;20,9;66;58;62;214;4,2;1,3;
2024/01/01;2100 UTC;0;939,7;939,7;939,4;821,9;28,3;21,3;30,5;28,3;22,3;20,7;66;59;66;149;4,2;1,3;
2024/01/01;2200 UTC;0;940,7;940,7;939,7;103,1;26,3;21,5;28,3;26,2;22,1;21,2;77;66;75;315;4,4;0;
2024/01/01;2300 UTC;0;941,5;941,5;940,7;;24,8;22,1;26,6;24,8;23,1;21,5;85;75;85;53;4,9;2,2;
2024/01/02;0000 UTC;0;942,5;942,5;941,5;;23,8;22,1;24,8;23,8;22,5;22;91;85;90;8;4,3;2,7;
2024/01/02;0100 UTC;0;943,3;943,3;942,5;;23,8;21,8;23,9;23,5;22,2;21,8;92;89;89;353;4,3;1,4;
2024/01/02;0200 UTC;0;943,6;943,7;943,3;;23,6;20,9;23,8;23,6;21,8;20,9;89;85;85;340;4,8;2,1;
2024/01/02;0300 UTC;0;943,3;943,7;943,3;;23,5;20,8;23,7;23,3;20,9;20,8;86;84;85;320;7,4;1,1;
2024/01/02;0400 UTC;0;942,3;943,3;942,3;;23;20,8;23,6;22,9;21,1;20,7;89;84;87;315;3,5;,8;
2024/01/02;0500 UTC;0;941,6;942,3;941,6;;23;20,8;23,1;22,9;20,8;20,2;88;84;87;312;2,9;,1;
2024/01/02;0600 UTC;0;941,4;941,6;941,3;;22,5;21,4;23,1;22,3;21,5;20,7;95;86;94;216;1,8;0;
2024/01/02;0700 UTC;0;941,3;941,4;941,2;;22,7;21,3;22,7;22,5;21,6;21,2;94;92;92;276;1,5;0;
2024/01/02;0800 UTC;,2;941,7;941,7;941,3;;22,5;20,9;22,9;22,5;21,5;20,9;93;88;91;227;2,3;,6;
2024/01/02;0900 UTC;,6;942,1;942,1;941,7;,4;22,1;21;22,5;22,1;21,1;20,8;94;90;93;247;2,3;0;
2024/01/02;1000 UTC;0;942,4;942,4;942,1;155,1;22,7;21,1;22,7;22,1;21,4;20,4;94;88;91;38;1,6;0;
2024/01/02;1100 UTC;0;942,8;942,8;942,4;868,9;25;21,8;25,2;22,7;22,5;21,1;93;80;82;212;0;0;
2024/01/02;1200 UTC;0;943,1;943,2;942,8;1328,1;24,5;21,3;25;23,6;22,3;20,6;89;81;82;241;3,5;,9;
2024/01/02;1300 UTC;0;942,9;943,2;942,9;1598,7;25;21,3;25,4;24,2;22;20,8;84;77;80;236;3,6;1,8;
2024/01/02;1400 UTC;0;942,7;943;942,7;1244,8;25,5;22,1;25,6;25;22,1;21,5;83;79;81;228;4,6;1,7;
2024/01/02;1500 UTC;0;942;942,7;942;3389,9;27,5;22,9;27,9;25,5;23,1;21,3;81;70;76;249;5,8;2,2;
2024/01/02;1600 UTC;0;941,2;942;941,2;3627,1;28,8;21,7;28,9;26,8;23,2;21,5;76;66;66;235;5,7;2,2;
2024/01/02;1700 UTC;0;940,3;941,2;940,3;3289,8;29,5;21,8;29,9;28,2;22,9;21,1;70;61;63;265;5,5;1,7;
2024/01/02;1800 UTC;0;939,4;940,3;939,4;3078,3;29,1;21,6;30,3;29,1;23;21;68;60;64;238;5,2;2;
2024/01/02;1900 UTC;0;938,4;939,4;938,4;1600,4;29,7;21,5;29,8;28,7;22,3;20,4;68;60;62;253;5;1,6;
2024/01/02;2000 UTC;0;938,1;938,4;938,1;1641,8;29;21,5;30,1;28,9;22;20,2;66;57;64;228;4,6;1,9;
2024/01/02;2100 UTC;0;938,5;938,5;938;525;28,2;21,7;29;28,2;21,9;20,9;68;63;68;239;4,4;1,7;
2024/01/02;2200 UTC;0;939,4;939,4;938,5;127,2;27,5;21,8;28,2;27,5;22,4;21,6;73;68;71;226;3,3;,9;
2024/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0100 UTC;0;940,9;941,2;940,9;;24,9;22,2;25,6;24,9;22,6;22,2;85;82;85;245;3,9;1,6;
2024/01/03;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0300 UTC;0;940,8;941,1;940,8;;24,3;21,6;24,5;24,3;21,6;21,4;85;83;85;245;3,1;,9;
2024/01/03;0400 UTC;0;940,3;940,8;940,2;;23,5;21,6;24,3;23,5;21,7;21,5;89;85;89;262;3;0;
2024/01/03;0500 UTC;0;940,3;940,4;940,3;;22,9;21,7;23,5;22,8;21,7;21,6;93;89;93;26;1,7;0;
2024/01/03;0600 UTC;0;940,2;940,5;940,2;;23,3;22;23,3;22,8;22;21,7;94;92;92;260;1,9;,1;
2024/01/03;0700 UTC;0;939,8;940,2;939,7;;23,1;22,1;23,4;23;22,2;22;94;92;94;254;2,7;,3;
2024/01/03;0800 UTC;0;940;940;939,7;;23,1;22,2;23,2;23;22,2;22,1;95;94;94;244;3,9;1,2;
