REGIAO:;CO
UF:;GO
ESTACAO:;CATALAO
CODIGO (WMO):;A034
LATITUDE:;-18,154779
LONGITUDE:;-47,927614
ALTITUDE:;900,72
DATA DE FUNDACAO:;31/01/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;912,3;912,3;911,8;;21,4;18,7;21,8;21,2;18,8;18,4;86;81;85;106;5,4;,6;
2024/01/01;0100 UTC;0;913,3;913,3;912,4;;21,1;19;21,3;20,8;19;18,6;88;86;88;84;1,4;0;
2024/01/01;0200 UTC;0;913,8;913,8;913,3;;21,5;19,3;21,5;21,1;19,4;18,8;88;85;88;141;1,2;0;
2024/01/01;0300 UTC;0;913,8;913,8;913,8;;21,7;19,2;22,1;21,5;19,4;19,2;88;84;86;43;1,6;0;
2024/01/01;0400 UTC;0;913,1;913,8;913,1;;21,3;19,8;21,8;21,3;19,8;19,1;91;85;91;209;,8;0;
2024/01/01;0500 UTC;0;912,5;913,1;912,5;;20,9;19,7;21,4;20,9;20,1;19;93;86;93;98;2;1;
2024/01/01;0600 UTC;0;912,2;912,5;912,2;;21,2;20;21,3;20,7;20,2;19,7;94;93;93;357;2,7;1,1;
2024/01/01;0700 UTC;2,2;911,9;912,2;911,9;;20,7;19,9;21,2;20,7;20;19,9;95;93;95;359;2,6;,9;
2024/01/01;0800 UTC;1,4;912,6;912,6;911,7;;20,6;20;20,7;20,4;20;19,7;96;95;96;343;2,9;,6;
2024/01/01;0900 UTC;,2;913;913;912,6;1;20,4;19,8;20,6;20,3;20;19,7;96;96;96;257;3,2;,4;
