REGIAO:;CO
UF:;GO
ESTACAO:;ITUMBIARA
CODIGO (WMO):;A035
LATITUDE:;-18,40972222
LONGITUDE:;-49,19194444
ALTITUDE:;491,17
DATA DE FUNDACAO:;01/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;956,7;956,7;955,7;0;23,5;21,6;23,7;23,5;21,7;21,3;89;87;89;58;4,1;1,1;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;957,1;957,3;957;0;23,8;21,9;24;23,8;21,9;21,8;89;88;89;158;1,6;0;
2024/01/01;0400 UTC;;956,4;957,1;956,4;0;23,8;21,7;23,9;23,8;21,9;21,7;89;88;88;121;1,4;0;
2024/01/01;0500 UTC;;955,6;956,4;955,6;0;23,2;21,7;23,8;23,2;21,9;21,7;91;88;91;89;2,6;0;
2024/01/01;0600 UTC;;955,2;955,6;955,2;0;22,9;21,5;23,3;22,9;21,9;21,5;92;91;92;265;,3;0;
2024/01/01;0700 UTC;;954,9;955,3;954,9;0;23,1;21,9;23,2;22,9;21,9;21,5;93;92;93;77;0;0;
2024/01/01;0800 UTC;;955,2;955,2;954,9;0;23,2;21,8;23,2;23,1;22;21,8;93;92;92;118;0;0;
2024/01/01;0900 UTC;;956;956;955,2;7,4;23,1;21,9;23,2;22,9;21,9;21,7;93;92;93;24;1,3;,3;
2024/01/01;1000 UTC;;956,6;956,6;956;82,7;23,5;22,3;23,5;23,1;22,3;21,9;93;93;93;342;1,6;,2;
2024/01/01;1100 UTC;;957,4;957,4;956,6;172;23,4;21,5;23,5;23;22,3;21,2;93;89;89;25;2,7;1;
