REGIAO:;CO
UF:;MS
ESTACAO:;TRES LAGOAS
CODIGO (WMO):;A704
LATITUDE:;-20,79499999
LONGITUDE:;-51,71333333
ALTITUDE:;328,94
DATA DE FUNDACAO:;03/09/01
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;8,6;976,4;976,5;975,8;;23,4;22,5;23,5;23,2;22,5;22,3;95;95;95;6;4,9;1,6;
2024/01/01;0100 UTC;5,4;976,1;976,4;976,1;;23,2;22,3;23,4;23;22,5;22,1;95;95;95;353;6;1,7;
2024/01/01;0200 UTC;,6;975,1;976,1;975,1;;23,4;22,4;23,4;23,2;22,5;22,2;95;94;94;4;4,6;1,1;
2024/01/01;0300 UTC;0;975;975,4;975;;23,5;22,2;23,6;23,2;22,5;22,1;94;93;93;338;4,5;2,3;
2024/01/01;0400 UTC;0;974,5;975,1;974,5;;23,5;22,4;23,5;23,3;22,4;22;93;92;93;26;4,2;1,5;
2024/01/01;0500 UTC;,2;974,4;974,7;974,3;;23,5;21,8;23,8;23,4;22,5;21,8;93;90;90;246;3,3;1,4;
2024/01/01;0600 UTC;0;973,9;974,5;973,9;;23,2;21,7;23,5;23,1;21,9;21,7;92;90;92;257;2,8;,8;
2024/01/01;0700 UTC;0;973,4;973,9;973,4;;23,2;22,1;23,3;23,1;22,1;21,8;93;92;93;76;2;,6;
2024/01/01;0800 UTC;0;974,1;974,1;973,3;;23,2;22,2;23,4;23,2;22,3;22;94;93;94;132;5,1;,6;
2024/01/01;0900 UTC;0;974,5;974,5;974,1;,4;23,3;22,3;23,3;23,2;22,3;22,2;94;94;94;161;2,5;1;
2024/01/01;1000 UTC;0;975;975;974,5;119,5;23,5;22,3;23,5;23,3;22,4;22,3;94;93;93;169;2,5;,9;
2024/01/01;1100 UTC;0;975,7;975,7;975;605,5;24,9;22,6;24,9;23,5;22,7;22,3;93;87;87;171;3;1;
2024/01/01;1200 UTC;0;976;976;975,7;1727,3;26,9;21,8;27,6;24,9;22,9;21,8;87;72;73;145;4;1,1;
2024/01/01;1300 UTC;0;976,5;976,5;976;1875,3;28,7;21;29,4;26,8;22,8;21;76;63;63;129;3,6;1,4;
2024/01/01;1400 UTC;,2;976,3;976,5;976,3;1411,9;28,1;21,2;29,4;27,7;22,1;20,6;71;63;66;73;3,2;1,1;
2024/01/01;1500 UTC;0;975,6;976,3;975,6;2944,4;30,1;21,3;31,3;28,1;22,6;19,7;69;52;59;46;3,6;1,1;
2024/01/01;1600 UTC;0;974,3;975,6;974,3;3870,9;32,7;20,2;32,7;30,1;22;18,8;59;48;48;93;3,9;1,2;
2024/01/01;1700 UTC;0;973,2;974,3;973,2;3151,6;32,5;20,2;33;30,9;20,9;18,2;53;44;49;99;4,1;1,3;
2024/01/01;1800 UTC;0;972,1;973,2;972,1;3034,5;33,3;18,8;33,8;31,4;20,5;17;51;39;42;7;3,7;1,1;
2024/01/01;1900 UTC;0;971,1;972,1;971,1;2705,9;32,8;17,9;34,1;32,7;18,9;17;43;37;41;36;4,2;1,9;
2024/01/01;2000 UTC;0;970,3;971,1;970,3;1499,2;32,1;17,3;33,4;31,9;19;16,8;46;39;41;40;4,9;1,4;
2024/01/01;2100 UTC;0;970,7;970,7;970,2;762,9;31,9;17,2;32,2;31,2;18,3;16,9;45;40;42;4;3,9;,9;
2024/01/01;2200 UTC;0;971,6;971,6;970,6;330;30,6;19,7;32,3;30,6;19,7;16,2;52;39;52;342;3;,9;
2024/01/01;2300 UTC;0;971,9;972;971,6;;28,7;20,8;30,6;28,6;21,2;19,1;64;51;62;337;2;,7;
2024/01/02;0000 UTC;0;972,7;972,7;971,9;;27,7;21,2;28,7;27,7;22,2;20,3;71;61;68;35;1,5;,9;
2024/01/02;0100 UTC;0;973,4;973,4;972,7;;27,7;21,7;28;27,7;22;20,8;70;66;70;338;1,5;,6;
2024/01/02;0200 UTC;0;974;974;973,4;;27,9;21,9;28,1;27,7;22,1;21,7;72;68;70;30;3,2;1,4;
2024/01/02;0300 UTC;0;973,7;974,2;973,7;;27,6;22,2;27,9;27,5;22,4;21,9;74;70;73;27;3,2;1,3;
2024/01/02;0400 UTC;0;973,2;973,7;973,2;;27;22,4;27,6;26,9;22,5;22,2;76;73;76;5;3,3;1;
2024/01/02;0500 UTC;0;972,8;973,2;972,8;;26,7;22,1;27;26,6;22,5;22,1;78;76;76;25;2,4;1,1;
2024/01/02;0600 UTC;0;972,5;972,8;972,4;;26,2;22;26,7;26,2;22,2;21,9;78;76;78;14;2,4;1;
2024/01/02;0700 UTC;0;972,6;972,6;972,3;;25,8;21,9;26,4;25,8;22,2;21,9;79;77;79;66;3,2;,5;
2024/01/02;0800 UTC;0;972,9;972,9;972,6;;25,3;22,3;26;25,3;22,3;21,9;83;78;83;231;2,8;,5;
2024/01/02;0900 UTC;0;972,9;972,9;972,7;3,9;25,1;22,3;25,5;24,8;22,4;22;86;83;84;79;1,6;,5;
2024/01/02;1000 UTC;0;973,3;973,4;972,9;205,6;26,2;22,6;26,2;25,1;23,2;22,3;86;80;80;90;2,4;,8;
2024/01/02;1100 UTC;0;973,3;973,3;973,1;490,4;26,7;22,7;27;26,2;23,3;22,7;82;78;79;77;3,7;1,4;
2024/01/02;1200 UTC;0;972,7;973,3;972,7;1211,3;27,7;23,1;28,1;26,5;23,2;22,5;81;73;76;52;4,2;2;
2024/01/02;1300 UTC;0;972,8;972,9;972,7;2188,4;29,5;22,1;30,1;27,7;23,6;22,1;76;64;64;56;5,2;1,7;
2024/01/02;1400 UTC;0;972,9;973;972,8;3004,4;31,7;20,3;31,7;29;22,5;19,8;66;49;51;36;5,1;1,9;
2024/01/02;1500 UTC;0;972,4;972,9;972,4;3616,1;32,9;21;33,2;31,1;22,2;19;55;45;50;360;5,4;1,6;
2024/01/02;1600 UTC;0;971,7;972,4;971,7;3547;33,1;20,2;33,8;32,3;21,7;20,2;53;47;47;23;5,6;1,9;
