REGIAO:;CO
UF:;MS
ESTACAO:;IVINHEMA
CODIGO (WMO):;A709
LATITUDE:;-22,30055555
LONGITUDE:;-53,82277777
ALTITUDE:;377,36
DATA DE FUNDACAO:;08/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;967,6;967,6;967,3;;28;21,1;28,1;27,9;21,4;21,1;67;66;66;155;3,4;2;
2024/01/01;0100 UTC;0;968,2;968,2;967,6;;27,5;21,2;28;27,5;21,2;21;68;66;68;150;4,1;2;
2024/01/01;0200 UTC;0;968,7;968,7;968,2;;27,3;21,1;27,5;27,2;21,3;21,1;70;68;69;156;4,2;2,5;
2024/01/01;0300 UTC;0;968,5;968,7;968,5;;26;21,5;27,3;26;21,6;20,9;76;68;76;347;4,6;2,8;
2024/01/01;0400 UTC;0;968,2;968,5;968,2;;26,3;21,7;26,4;26;21,7;21,4;76;74;76;290;3,9;,6;
2024/01/01;0500 UTC;0;967,8;968,2;967,8;;25,9;21,8;26,4;25,9;21,8;21,6;78;75;78;323;2,2;,7;
2024/01/01;0600 UTC;0;967,7;967,9;967,7;;24,9;21,7;25,9;24,8;21,9;21,7;84;78;83;295;4,6;2,3;
2024/01/01;0700 UTC;0;967,1;967,7;967,1;;24,1;21,5;24,9;24,1;21,7;21,5;86;82;86;324;4,6;1,5;
2024/01/01;0800 UTC;0;966,7;967,1;966,7;;23,9;21,2;24,1;23,9;21,5;21,2;86;84;85;296;2,9;1,1;
2024/01/01;0900 UTC;0;967,4;967,4;966,7;;24,1;21,3;24,2;23,9;21,3;21,2;85;84;84;203;2,2;,8;
2024/01/01;1000 UTC;0;967,8;967,8;967,3;141,6;24,4;21,6;24,4;24;21,6;21,3;86;84;85;160;3,9;2,4;
2024/01/01;1100 UTC;0;968,4;968,4;967,8;960,9;26,2;21,9;26,8;24,4;22,4;21,1;85;75;77;117;5,7;2,6;
2024/01/01;1200 UTC;0;968,9;968,9;968,4;1418,8;26,9;22,1;27,5;25,8;22,4;21,9;80;73;75;101;6,5;3,2;
2024/01/01;1300 UTC;0;969,2;969,2;968,9;1149;27,5;22,6;27,5;26,3;22,6;21,8;77;73;75;82;6;2,4;
2024/01/01;1400 UTC;0;968,8;969,2;968,7;2232;28,9;22,3;29,9;27,5;22,9;21,8;75;64;68;46;6;1,9;
2024/01/01;1500 UTC;0;968,2;968,8;968,1;2475,3;30,8;21,4;30,9;28,9;22,6;21,1;68;57;58;16;5,7;2,2;
2024/01/01;1600 UTC;0;967,2;968,2;967,2;3398;32,9;20,4;33;30,7;22,2;20;60;47;48;3;7;3,5;
2024/01/01;1700 UTC;0;966,2;967,2;966,2;2910,9;33,5;20,3;33,6;31,4;22;19,7;53;46;46;33;7;2,7;
2024/01/01;1800 UTC;0;965;966,2;965;2991,5;33,1;20,1;34,2;31,8;21,1;19,8;51;45;46;13;8,4;3,3;
2024/01/01;1900 UTC;0;963,7;965;963,7;2108,2;33,5;19,7;34,4;32,5;20,6;19,3;48;42;44;47;9,1;2,6;
2024/01/01;2000 UTC;1,2;963,6;963,8;963,5;431,3;29,3;21,6;33,5;29;22,7;19,4;68;44;63;32;6,7;2,1;
2024/01/01;2100 UTC;,2;964,5;964,6;963,5;215,4;26,3;21,5;30,1;26,3;22,5;20,7;75;57;75;18;8,5;3,6;
2024/01/01;2200 UTC;9,6;965,4;965,4;964,5;44,7;24,4;21,4;26,3;23,4;22,6;20,8;89;75;83;16;8,5;2;
2024/01/01;2300 UTC;,6;966,2;966,2;965,4;3,1;23,5;21,5;24,8;23,5;21,9;20,9;89;82;89;44;7,8;1,7;
2024/01/02;0000 UTC;,4;966,6;967,2;966,2;,6;23,4;21,3;24;23,3;22,1;21,1;90;87;88;34;4,6;1,8;
2024/01/02;0100 UTC;,4;967,5;967,5;966,6;,9;23,3;21;23,9;23,1;21,5;20,7;89;83;87;304;5,9;2,2;
2024/01/02;0200 UTC;0;968,3;968,3;967,4;1,5;23,8;20,8;23,9;23;21,2;20,5;89;82;83;301;3,6;1,5;
2024/01/02;0300 UTC;,6;968,8;968,8;968,2;,9;23;21,1;23,9;22,9;21,3;20,7;89;83;89;290;5,4;3,4;
2024/01/02;0400 UTC;1,2;967,6;968,8;967,6;,1;22,6;20,4;23;22,6;21,1;20,4;90;87;87;302;5,8;3,7;
2024/01/02;0500 UTC;,4;966,7;967,6;966,6;2,7;23,1;19,3;23,1;22,5;20,6;19,3;88;79;79;281;5,8;2,8;
2024/01/02;0600 UTC;0;966,7;966,7;965,9;5,4;22,7;19,7;23,1;22,6;20,1;19,2;86;79;83;197;5,1;3,5;
2024/01/02;0700 UTC;0;966,2;966,8;965,8;7,3;23;19,9;23,2;22,4;20,1;19,5;86;82;83;169;7,4;2,1;
2024/01/02;0800 UTC;0;965,3;966,2;965,3;1,8;22,3;20,4;23;22,2;20,5;19,9;89;83;89;110;3,5;1;
2024/01/02;0900 UTC;0;965,5;965,5;965,1;1,2;22,2;20,7;22,6;22,2;20,7;20,1;91;86;91;24;4,1;1,6;
2024/01/02;1000 UTC;0;966,1;966,1;965,5;64,8;22,5;21,2;22,5;22,2;21,3;20,6;93;91;92;73;3,7;1,1;
2024/01/02;1100 UTC;0;966,2;966,2;966;416,8;23,4;21,8;23,4;22,5;21,9;21,2;93;91;91;118;3,6;1,2;
2024/01/02;1200 UTC;0;966,7;966,7;966,2;1030,1;26,1;21,7;26,1;23,3;22,6;21,6;91;77;77;71;2,8;,4;
2024/01/02;1300 UTC;0;967;967;966,7;2492,5;28,4;21,5;28,7;26,1;22,6;21,4;78;65;66;119;3,6;1,7;
2024/01/02;1400 UTC;0;967,2;967,2;967;2350,2;28,3;22,6;28,9;27,8;22,7;21,5;73;66;71;153;4,9;2,9;
2024/01/02;1500 UTC;0;966,9;967,2;966,9;1881,7;29,2;23,1;29,2;27,8;23,1;21,7;72;68;70;133;6;1,9;
2024/01/02;1600 UTC;0;966;966,9;966;3293,2;30,8;22,8;30,8;29,2;23,1;22,1;70;62;63;161;5,9;2,5;
2024/01/02;1700 UTC;0;965,4;966;965,4;1626,9;26,5;19,7;30,8;26,5;23;19,7;67;59;66;280;9,3;5,2;
2024/01/02;1800 UTC;,2;964,6;965,4;964,5;1145,4;29,2;21;29,3;25,2;21,7;19,7;80;60;62;254;10,7;1,7;
2024/01/02;1900 UTC;0;963,9;964,7;963,8;1912,2;29,7;21,5;30,2;28,8;22,8;21;68;60;61;327;5;2,3;
2024/01/02;2000 UTC;0;963,6;963,9;963,5;1477,7;28,9;22,4;30,8;28,9;22,9;20,6;69;56;68;137;4,9;2,7;
2024/01/02;2100 UTC;0;964;964;963,2;317,3;28,2;22;28,9;28,2;22,8;20,9;71;64;69;54;4,8;,5;
2024/01/02;2200 UTC;,2;963,9;964,2;963,8;214,1;26,6;23;28,2;26,5;23,6;22,2;84;69;81;341;5,6;1,5;
2024/01/02;2300 UTC;0;965,2;965,2;963,8;22,3;26,5;23,1;26,6;26,3;23,1;22,6;82;80;82;335;3,1;,5;
2024/01/03;0000 UTC;0;965,7;965,7;965,1;;26,4;22,9;26,5;26;23,1;22,8;84;81;81;183;2,3;1,1;
2024/01/03;0100 UTC;0;966,1;966,1;965,5;;25,6;23,4;26,3;25,3;23,4;23;88;82;88;278;2,5;,6;
2024/01/03;0200 UTC;0;966;966,3;965,9;;24,7;22,9;25,5;24,7;23,4;22,9;91;88;90;338;3,5;2;
2024/01/03;0300 UTC;0;966,1;966,2;966;;24,8;22,5;24,9;24,6;22,8;22,3;90;86;87;244;3,5;1,6;
