REGIAO:;CO
UF:;MS
ESTACAO:;NHUMIRIM
CODIGO (WMO):;A717
LATITUDE:;-18,9886111
LONGITUDE:;-56,62277777
ALTITUDE:;102,26
DATA DE FUNDACAO:;02/08/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;997,5;997,5;996,9;;28;23,9;29,6;28;25,3;23,9;80;75;79;73;6;2,8;
2024/01/01;0100 UTC;0;998,3;998,3;997,5;;26,9;23,8;28;26,9;24;23,6;83;79;83;77;4,7;2,3;
2024/01/01;0200 UTC;0;999,4;999,4;998,3;;26,1;23,3;26,9;26,1;23,7;23,2;85;82;85;70;3,9;2,5;
2024/01/01;0300 UTC;0;999,2;999,5;999,2;;25,6;23,1;26,1;25,6;23,3;23;86;85;86;70;5,2;2,7;
2024/01/01;0400 UTC;0;998,8;999,3;998,7;;25,3;23,2;25,7;25,3;23,2;23;88;85;88;79;4,5;1,7;
2024/01/01;0500 UTC;0;998,2;998,8;998,2;;25,1;23,3;25,3;25,1;23,3;23,1;90;88;90;75;2,7;1,3;
2024/01/01;0600 UTC;0;997,6;998,3;997,6;;24,9;23,3;25,2;24,9;23,4;23,3;91;90;91;88;2,9;1,5;
2024/01/01;0700 UTC;0;997,3;997,6;997,3;;24,7;23,1;24,9;24,7;23,3;23,1;91;90;91;70;3,4;1,5;
2024/01/01;0800 UTC;0;997,4;997,4;997,3;;24,6;23,2;24,7;24,6;23,2;23,1;92;91;92;50;2,3;1,7;
2024/01/01;0900 UTC;0;997,7;997,7;997,4;;24,7;23,3;24,8;24,6;23,4;23,2;92;92;92;43;3,4;2,1;
2024/01/01;1000 UTC;0;998,7;998,7;997,7;105,6;25,2;23,6;25,2;24,6;23,6;23,2;92;90;91;52;3,1;1,6;
2024/01/01;1100 UTC;0;998,9;998,9;998,7;619,3;26,6;23,7;26,6;25,2;24,1;23,5;91;84;84;31;5,2;3,3;
2024/01/01;1200 UTC;0;999,4;999,4;998,8;1381,3;28,8;24,1;28,9;26,6;24,6;23,7;85;75;76;22;6,6;3,4;
2024/01/01;1300 UTC;0;999,7;999,7;999,4;2158,6;30,4;23,5;30,5;28,8;24,5;23,5;76;67;67;10;6,1;3,7;
2024/01/01;1400 UTC;0;999,1;999,8;999,1;2467,7;30,8;23,9;31,1;30;24,6;23,2;70;66;67;349;8,2;3,4;
2024/01/01;1500 UTC;0;998,3;999,1;998,3;3115,2;31,7;23,7;31,9;30,7;24,8;23,1;69;61;63;334;6,1;3,3;
2024/01/01;1600 UTC;0;997,1;998,3;997;2950,4;32,3;23,5;32,8;31,6;24,8;22,9;65;58;60;338;6,2;3,7;
2024/01/01;1700 UTC;0;996,2;997,3;996,2;2055,1;29,9;24;32,4;29;24,4;23,1;74;59;71;320;9,5;5,2;
2024/01/01;1800 UTC;0;997;997,2;996,2;1112,3;27,9;22,8;29,9;27,9;24,3;22,5;77;69;74;324;8,7;4,1;
2024/01/01;1900 UTC;0;996,7;997,2;996,7;602,6;26,9;22,9;28;26,8;23,6;22,5;82;74;79;349;7,4;2;
2024/01/01;2000 UTC;0;995,3;996,7;995,3;185,8;26,1;23,5;26,9;26,1;23,9;22,7;87;78;86;298;3,7;1,2;
2024/01/01;2100 UTC;,2;995,2;995,3;995;458;26,4;24,2;26,6;26;24,5;23,5;89;85;88;50;4,3;3,1;
2024/01/01;2200 UTC;0;995,9;996;995,2;283,7;26,1;24;26,6;26,1;24,3;23,8;88;86;88;51;4,3;2,4;
2024/01/01;2300 UTC;0;995,7;995,9;995,6;25,7;25,8;23,8;26,1;25,8;24,2;23,8;90;88;88;353;3,8;2,5;
2024/01/02;0000 UTC;0;996,6;996,6;995,7;;25,3;23,7;25,8;25,3;23,8;23,6;91;88;91;37;5,2;2,9;
2024/01/02;0100 UTC;0;997,4;997,5;996,6;;25;23,6;25,3;25;23,7;23,6;92;91;92;31;4,2;2;
2024/01/02;0200 UTC;0;998,2;998,2;997,3;;24,8;23,4;25;24,8;23,6;23,4;92;91;92;22;3,8;,9;
2024/01/02;0300 UTC;0;998;998,2;997,9;;24,6;23,3;24,8;24,5;23,4;23,3;93;92;93;56;2,4;1,5;
2024/01/02;0400 UTC;0;997,4;998;997,4;;24,3;23,1;24,6;24,3;23,3;23,1;93;93;93;61;3,3;2,3;
2024/01/02;0500 UTC;0;997,2;997,5;997,2;;24,2;22,9;24,4;24,2;23,2;22,9;93;92;92;51;3,3;1,6;
2024/01/02;0600 UTC;0;997;997,2;997;;24,2;23;24,2;24,1;23;22,8;93;92;93;54;2,9;1,6;
2024/01/02;0700 UTC;0;996,3;997;996,2;;24,3;22,9;24,4;24,2;23,1;22,8;93;91;92;19;6;3,7;
2024/01/02;0800 UTC;0;996,9;996,9;996,3;;24,3;22,9;24,4;24,2;22,9;22,8;92;91;92;17;5,6;2,3;
2024/01/02;0900 UTC;0;997,8;997,8;996,8;;24,5;23,1;24,5;24,3;23,1;22,9;92;92;92;283;5,1;3;
2024/01/02;1000 UTC;0;997,8;998,1;997,4;6,8;23,2;21,8;24,6;23,2;23,2;21,6;92;89;92;346;6,2;1,9;
2024/01/02;1100 UTC;,4;997,9;998,5;997,8;22,7;23,3;22,1;23,4;23,2;22,2;21,8;93;92;93;1;3,6;2,5;
2024/01/02;1200 UTC;,2;999,1;999,1;997,9;57,5;23,3;22,2;23,5;23,2;22,3;22,1;93;93;93;331;4,7;2;
2024/01/02;1300 UTC;,2;998,9;999,6;998,9;265,5;23,8;22,4;23,9;23,3;22,6;22,2;93;92;92;356;3,2;1,8;
2024/01/02;1400 UTC;0;998,7;999;998,7;937,8;25,1;22,6;25,2;23,8;23,2;22,4;92;85;86;60;3,8;1,7;
2024/01/02;1500 UTC;0;998,2;998,7;998,2;1198,3;26,4;22,7;26,7;25,1;23,2;21,8;87;77;80;25;2,9;,6;
2024/01/02;1600 UTC;0;997,8;998,2;997,8;1656,1;27,2;23,5;27,4;26,4;23,6;22,4;82;77;80;13;3,3;2,2;
2024/01/02;1700 UTC;,2;996,8;997,8;996,8;2436,8;28,3;23,2;28,9;27,1;24;22,5;81;71;74;349;4,2;1,4;
2024/01/02;1800 UTC;0;995,9;996,8;995,9;2606;29,5;23,4;30,3;28,3;23,9;22,4;75;65;70;359;4,7;2,5;
2024/01/02;1900 UTC;0;994,7;995,9;994,7;2291,2;30,1;22,6;30,5;28,9;23,6;21,7;71;61;65;5;5,5;2,3;
2024/01/02;2000 UTC;0;993,8;994,7;993,8;2310,9;30,8;23,2;31,2;30,1;23,7;22,1;65;61;64;6;4,8;2,8;
2024/01/02;2100 UTC;0;993,9;994,1;993,8;1341,3;29,7;23,2;31;29,7;24,1;22,9;69;63;68;356;5,7;3,3;
2024/01/02;2200 UTC;0;994,5;994,7;993,9;288;28;23,5;29,7;28;23,6;23;76;68;76;359;5,1;1,8;
2024/01/02;2300 UTC;0;995,6;995,6;994,5;9,9;27,1;23,8;28;27,1;24,1;23,4;83;76;82;299;3,2;1,9;
2024/01/03;0000 UTC;0;996,1;996,1;995,6;;26,7;23,8;27,1;26,7;24;23,3;85;80;84;68;3,3;,8;
2024/01/03;0100 UTC;0;996,7;996,7;996;;26,5;24,3;26,7;26,3;24,3;23,7;89;84;87;17;2,4;,7;
2024/01/03;0200 UTC;0;997,2;997,2;996,7;;26,3;24,1;26,5;26,2;24,2;23,9;89;86;87;48;1,7;,4;
2024/01/03;0300 UTC;0;996,6;997,8;996,6;;26,5;23,7;26,7;26,2;24,3;23,5;89;83;85;23;6,5;1,2;
2024/01/03;0400 UTC;0;995;996,6;995;;25,4;23,5;26,5;25,4;23,7;23,5;89;85;89;18;3,5;2,2;
2024/01/03;0500 UTC;0;994,6;995,3;994,6;;24,8;23,3;25,5;24,8;23,6;23,3;92;89;91;264;3,5;1,8;
2024/01/03;0600 UTC;0;994,9;995;994,5;;24;22,4;24,8;24;23,3;22,4;91;91;91;270;3,5;1,2;
2024/01/03;0700 UTC;0;995;995,3;994,9;;23,4;21,8;24;23,4;22,5;21,8;92;90;91;137;3,4;,8;
2024/01/03;0800 UTC;0;995,7;995,7;994,8;;23,3;21,8;23,4;23,3;21,9;21,8;91;91;91;135;2,1;,7;
2024/01/03;0900 UTC;0;996,4;996,4;995,7;;23,4;22;23,4;23,3;22;21,8;92;91;92;46;2,3;1,6;
2024/01/03;1000 UTC;0;997,1;997,2;996,3;68,1;23,9;22,4;23,9;23,4;22,4;22;92;91;91;160;2,9;,6;
2024/01/03;1100 UTC;0;997,5;997,5;997;531,7;25,8;23,1;25,8;23,9;23,2;22,3;91;85;85;7;3,4;2,6;
2024/01/03;1200 UTC;0;998,8;998,8;997,5;1102,2;27,9;24,4;27,9;25,8;24,4;23;85;79;81;266;3,7;1,4;
2024/01/03;1300 UTC;0;999,3;999,3;998,8;1535,1;29;24;29,1;27,6;24,6;23,4;81;74;74;220;3,9;1,7;
2024/01/03;1400 UTC;0;998,7;999,3;998,7;2242,8;29,7;23,8;30,4;28,5;24,6;23,2;76;68;71;303;4;2,3;
2024/01/03;1500 UTC;0;998,3;998,7;998,3;2638;31,6;23,5;31,6;29,7;25,1;22,5;74;60;63;301;5,3;2,4;
2024/01/03;1600 UTC;0;997,7;998,4;997,7;2287,2;31,2;23,6;32,1;31,1;24,5;22,8;66;60;64;301;5,7;2,1;
2024/01/03;1700 UTC;0;996,6;997,7;996,6;3233,7;32,2;23,3;32,5;31,2;24,6;22,8;65;58;59;356;6,7;3,2;
2024/01/03;1800 UTC;0;995,9;996,6;995,9;2267,1;32,5;23,8;32,9;31,6;24,2;22,7;62;57;61;17;6,7;1,6;
