REGIAO:;CO
UF:;MS
ESTACAO:;SAO GABRIEL DO OESTE
CODIGO (WMO):;A732
LATITUDE:;-19,42027777
LONGITUDE:;-54,55305555
ALTITUDE:;646
DATA DE FUNDACAO:;18/12/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;938,9;938,9;938,5;;22,4;21,2;22,5;22,2;21,2;20,7;93;91;93;278;3,3;,7;
2024/01/01;0100 UTC;1,6;939,5;939,5;938,9;;22;21;22,4;22;21,4;21;95;93;94;234;4,3;2,8;
2024/01/01;0200 UTC;,8;940,3;940,3;939,5;;22,1;21,3;22,2;22;21,3;21;95;94;95;155;4;1,1;
2024/01/01;0300 UTC;1;940,9;940,9;940,2;;22,5;21,7;22,5;22,1;21,7;21,3;96;95;96;99;3,6;0;
2024/01/01;0400 UTC;,8;939,9;940,9;939,9;;22,2;21,5;22,5;22,2;21,8;21,5;96;95;96;145;2,3;,5;
2024/01/01;0500 UTC;,2;938,7;940;938,7;;22,1;21,5;22,2;22;21,5;21,3;96;96;96;119;2,7;,1;
2024/01/01;0600 UTC;0;937,9;938,7;937,9;;22;21,4;22,2;22;21,5;21,3;96;96;96;64;2,6;,3;
2024/01/01;0700 UTC;0;937,8;938;937,8;;22;21,5;22,1;22;21,5;21,4;97;96;97;69;1,8;,1;
2024/01/01;0800 UTC;0;937,6;937,8;937,5;;21,9;21,4;22,1;21,9;21,5;21,4;97;97;97;83;2,7;1;
2024/01/01;0900 UTC;0;938,2;938,2;937,5;;21,7;21,3;21,9;21,7;21,4;21,3;97;97;97;89;3,4;1,3;
2024/01/01;1000 UTC;,2;938,8;938,8;938,1;79,5;21,9;21,5;22;21,7;21,5;21,3;97;97;97;73;3,4;,8;
2024/01/01;1100 UTC;0;939,3;939,4;938,8;514,6;22,9;22,4;22,9;21,9;22,4;21,6;97;97;97;52;3,1;1,6;
2024/01/01;1200 UTC;0;939,7;939,7;939,3;938,6;24,4;22,9;24,4;22,9;22,9;22,2;97;91;91;49;4,2;1,7;
