REGIAO:;CO
UF:;MS
ESTACAO:;BATAGUASSU
CODIGO (WMO):;A759
LATITUDE:;-21,75
LONGITUDE:;-52,47138888
ALTITUDE:;392,13
DATA DE FUNDACAO:;21/03/13
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;966,2;966,2;965,7;;28,2;20,7;28,4;27,7;21,7;20,7;70;64;64;52;3;1,4;
2024/01/01;0100 UTC;0;966,8;966,8;966,2;;27,6;21;28,2;27,3;21,7;20,5;71;63;67;71;2;,9;
2024/01/01;0200 UTC;0;967,6;967,6;966,8;;25,8;21,4;28;25,8;21,9;20,9;77;66;77;9;6,4;3,2;
2024/01/01;0300 UTC;0;967,5;967,7;967,5;;24,4;22,3;25,8;24,4;22,6;21,3;90;77;88;337;6,4;3,3;
2024/01/01;0400 UTC;0;966,9;967,6;966,9;;24,1;24,1;24,4;24,1;24,2;22,2;100;88;100;322;5,1;1,7;
2024/01/01;0500 UTC;0;966,2;966,9;966,2;;23,7;;24,1;23,6;;;;;;291;4,3;1,8;
2024/01/01;0600 UTC;0;965,7;966,2;965,7;;23,6;;23,9;23,6;;;;;;307;3,8;1,7;
2024/01/01;0700 UTC;0;965,5;965,8;965,5;;23,4;;23,7;23,4;;;;;;201;2,6;,6;
2024/01/01;0800 UTC;0;966;966;965,4;;22,6;;23,4;22,6;;;;;;188;1,1;,4;
2024/01/01;0900 UTC;0;966,5;966,6;966;3,5;23,1;;23,1;22,6;;;;;;145;3,5;2,6;
2024/01/01;1000 UTC;0;967,1;967,1;966,4;136,6;23,7;;23,8;23,1;;;;;;124;3,9;1,8;
