REGIAO:;CO
UF:;MT
ESTACAO:;S.J. DO RIO CLARO
CODIGO (WMO):;A903
LATITUDE:;-13,45388888
LONGITUDE:;-56,67722221
ALTITUDE:;339,59
DATA DE FUNDACAO:;25/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;972,3;972,3;971,3;0;27,2;22,1;27,2;26,3;22,3;21,7;77;74;74;14;2,3;,8;
2024/01/01;0100 UTC;0;973,2;973,2;972,3;0;26,7;22,1;27,2;26,7;22,2;22,1;76;74;76;359;3,3;1,7;
2024/01/01;0200 UTC;0;974;974;973,2;0;26;22,1;26,7;25,7;22,2;21,9;80;76;79;3;3,3;1,2;
2024/01/01;0300 UTC;0;973,9;974,1;973,9;0;25,2;22;26;25,2;22,1;22;82;79;82;9;2;,8;
2024/01/01;0400 UTC;0;973,4;974;973,4;0;24,6;21,9;25,2;24,6;22,1;21,9;85;82;85;2;1,4;,6;
2024/01/01;0500 UTC;0;972,8;973,4;972,8;0;24,4;22,1;24,6;24,2;22,1;21,9;88;85;87;302;1,9;,6;
2024/01/01;0600 UTC;0;972,5;972,8;972,5;0;24,4;22,1;24,7;24,4;22,2;22;87;85;87;323;1,9;,3;
2024/01/01;0700 UTC;0;972,3;972,5;972,3;0;24,3;22,1;24,5;24,3;22,2;22,1;88;87;88;327;1,3;,7;
2024/01/01;0800 UTC;0;972,1;972,3;972,1;0;24,1;22,1;24,3;24;22,2;22;89;88;89;335;1,8;1;
2024/01/01;0900 UTC;0;972,7;972,7;972,1;0;24;22,2;24,1;24;22,2;22;90;88;89;211;2,1;,3;
2024/01/01;1000 UTC;0;973,3;973,3;972,7;26,7;24,2;22,2;24,2;23,9;22,3;22,1;90;89;89;344;1,1;,4;
2024/01/01;1100 UTC;0;973,9;974;973,3;250,2;25,1;22,1;25,1;24,2;22,3;22,1;89;83;83;291;2,3;1,5;
2024/01/01;1200 UTC;0;974,3;974,4;973,9;1132,8;28,1;22,5;28,1;25,1;22,6;22;84;71;72;303;4,9;2,6;
2024/01/01;1300 UTC;0;974,8;974,8;974,3;1711,8;29,9;22,6;29,9;27,6;22,7;21,9;73;65;65;286;7,1;3,2;
2024/01/01;1400 UTC;0;974,4;974,9;974,4;2332,8;29,8;20,9;30,3;28,9;22,6;20,9;67;59;59;314;7,1;3,6;
2024/01/01;1500 UTC;0;973,6;974,5;973,5;3405,3;31;22,2;31;29,3;22,2;20,4;62;57;60;314;7,3;3,7;
2024/01/01;1600 UTC;0;972;973,6;972;2275,6;31,9;21,4;31,9;29,9;22,2;20,8;63;54;54;294;7,5;4,2;
2024/01/01;1700 UTC;0;971,1;972;971;3696,6;32,3;19,7;33,7;31,2;21,8;19,3;56;44;48;302;8,3;4,5;
2024/01/01;1800 UTC;0;970;971,1;970;1895,1;32,6;20,9;33;30,8;21,3;19,8;55;46;50;292;8,4;4,8;
2024/01/01;1900 UTC;0;969,5;970;969,5;2480,2;32,4;20,5;33,9;32,4;21,4;19,2;50;42;50;282;7,9;3,5;
2024/01/01;2000 UTC;0;969,4;969,5;969,2;636,3;30,7;20,8;32,4;30,7;21,1;20,2;56;49;56;265;7,7;3,6;
2024/01/01;2100 UTC;2,4;970,3;970,3;969,4;283,9;24,9;22,3;30,7;24,7;22,5;21;87;56;86;224;11,4;2,9;
2024/01/01;2200 UTC;0;971;971;970,3;91,4;24,5;21,9;24,9;24,5;22,5;21,9;87;84;85;206;8,9;1,1;
2024/01/01;2300 UTC;0;972;972;971;2,6;24,1;22,2;24,5;24,1;22,3;21,9;89;85;89;57;3,1;,4;
2024/01/02;0000 UTC;0;972,9;972,9;972;0;24;22,3;24,2;24;22,4;22,2;90;89;90;13;1,4;,3;
2024/01/02;0100 UTC;,2;973,7;973,7;972,9;0;24;22,6;24,1;23,9;22,6;22,2;92;90;92;95;1,5;,4;
2024/01/02;0200 UTC;,2;974;974,1;973,7;0;24,2;22,9;24,3;24;22,9;22,6;92;91;92;36;1,9;,8;
2024/01/02;0300 UTC;0;973,7;974;973,7;0;23,9;22,5;24,2;23,9;22,8;22,5;92;92;92;24;2,9;1,2;
2024/01/02;0400 UTC;0;972,9;973,7;972,9;0;23,6;22,1;23,9;23,6;22,5;22,1;92;91;91;357;3;1,4;
2024/01/02;0500 UTC;0;972;972,9;972;0;23,4;21,9;23,6;23,4;22,1;21,9;92;91;92;336;2,9;,8;
2024/01/02;0600 UTC;0;971,9;972,1;971,8;0;23,4;22,1;23,5;23,4;22,1;22;92;92;92;351;3,3;1,5;
2024/01/02;0700 UTC;,2;971,9;971,9;971,8;0;23,6;22,4;23,6;23,4;22,4;22,1;93;92;93;357;2,8;,7;
2024/01/02;0800 UTC;,4;971,8;971,9;971,8;0;23,7;22,5;23,8;23,6;22,6;22,4;93;93;93;340;2,2;,9;
2024/01/02;0900 UTC;0;972;972;971,8;0;23,7;22,4;23,7;23,7;22,5;22,4;93;93;93;360;2,2;1,1;
2024/01/02;1000 UTC;,8;972,4;972,4;972;15,1;23,8;22,5;23,8;23,7;22,6;22,4;93;93;93;337;2,5;1,5;
2024/01/02;1100 UTC;1,8;972,7;972,8;972,4;201,2;24,2;23;24,2;23,7;23;22,5;93;93;93;343;2,5;1;
2024/01/02;1200 UTC;0;973,2;973,2;972,7;444,9;24,6;23;24,6;24,1;23,1;22,8;93;90;91;341;2,5;1,6;
2024/01/02;1300 UTC;0;973,4;973,4;973,2;1061,8;26,4;22,9;26,5;24,6;23,3;22,7;91;81;81;348;3,5;1,8;
2024/01/02;1400 UTC;0;973,4;973,5;973,4;1843,6;28,8;22,9;29,1;26,4;23,6;22,4;82;69;70;288;4,5;2,4;
2024/01/02;1500 UTC;0;972,7;973,4;972,7;2942;30,8;22,3;31,4;28,7;23,7;21,9;72;60;61;271;5,5;2,7;
2024/01/02;1600 UTC;0;971,6;972,7;971,6;3084,2;31,3;21,7;32,5;29,9;23,3;21,3;64;54;57;253;6;3,4;
2024/01/02;1700 UTC;0;970,6;971,6;970,4;3074,9;28,8;22,5;33,4;28,8;23,3;21,6;69;52;69;232;10,4;5,1;
2024/01/02;1800 UTC;9,2;969,9;970,8;969,7;529,2;23,2;21,3;28,7;23,2;23,9;21,1;91;69;89;242;13,6;7,6;
2024/01/02;1900 UTC;3;969,6;970,1;969,3;330,5;24,6;23,2;24,7;23;23,4;21,3;93;89;92;149;13,6;1,2;
2024/01/02;2000 UTC;0;968,1;969,6;968;194,7;24,4;23,1;24,6;24,3;23,2;22,9;93;92;92;145;4,2;1,1;
2024/01/02;2100 UTC;0;968,1;968,4;968,1;276,7;24,7;23,3;24,7;24,4;23,4;23,1;93;92;92;175;3;,5;
2024/01/02;2200 UTC;0;969,6;969,6;968;124,4;24,6;23,2;24,7;24,5;23,3;23,1;92;92;92;318;3,3;,5;
2024/01/02;2300 UTC;0;970,3;970,3;969,6;2,2;24,3;22,9;24,6;24,3;23,2;22,9;92;92;92;42;3,3;1,2;
2024/01/03;0000 UTC;0;971,4;971,4;970,3;0;24,1;22,6;24,4;24,1;22,9;22,6;92;91;91;340;3;1,3;
2024/01/03;0100 UTC;7;972,4;972,4;971,4;,2;23,6;22,4;24,3;23,6;22,9;22,1;93;91;93;305;2,8;1,6;
2024/01/03;0200 UTC;5;972,5;972,7;972,4;0;23,4;22,2;23,6;23,3;22,5;22,1;93;93;93;318;4,3;2,3;
2024/01/03;0300 UTC;4;972,2;972,5;972,2;0;23,3;22;23,4;23,2;22,2;22;93;93;93;321;4,3;1,6;
2024/01/03;0400 UTC;,8;970,9;972,2;970,9;0;23,3;22,1;23,3;23,2;22,1;22;93;93;93;320;3,5;1,5;
2024/01/03;0500 UTC;0;971,1;971,2;970,9;0;23,1;21,9;23,3;23,1;22,1;21,9;93;93;93;293;4,1;1,9;
2024/01/03;0600 UTC;,2;970,7;971,1;970,7;0;23,1;21,9;23,1;23,1;21,9;21,8;93;93;93;324;3,8;2,1;
2024/01/03;0700 UTC;0;970,2;970,7;970,1;0;23;21,8;23,1;23;21,9;21,8;93;93;93;306;4,7;1,4;
