REGIAO:;CO
UF:;MT
ESTACAO:;ALTO ARAGUAIA
CODIGO (WMO):;A909
LATITUDE:;-17,33944444
LONGITUDE:;-53,22444443
ALTITUDE:;753,28
DATA DE FUNDACAO:;22/09/11
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;929,3;929,4;928,6;;22,3;;22,5;22,3;;;;;;126;1,5;1;
2024/01/01;0300 UTC;0;928,8;929,4;928,8;;22,2;;22,3;22,2;;;;;;157;2,5;1,4;
2024/01/01;0400 UTC;0;928,1;928,8;928,1;;22,1;;22,2;22,1;;;;;;160;3,4;1,5;
2024/01/01;0500 UTC;0;927,3;928,1;927,3;;21,8;;22,1;21,8;;;;;;144;2,7;1,1;
2024/01/01;0600 UTC;0;927,1;927,3;927,1;;21,7;;22,1;21,7;;;;;;248;2;1,3;
2024/01/01;0700 UTC;0;926,7;927,1;926,7;;21,8;;21,9;21,7;;;;;;199;2,2;1;
2024/01/01;0800 UTC;0;927,2;927,2;926,7;;21,5;;21,8;21,4;;;;;;159;2,6;1,1;
2024/01/01;0900 UTC;0;927,6;927,6;927,2;;21,6;;21,7;21,5;;;;;;156;2,4;,5;
2024/01/01;1000 UTC;0;928,3;928,3;927,6;36,1;22,1;;22,2;21,6;;;;;;120;1,8;,9;
2024/01/01;1100 UTC;0;928,6;928,6;928,3;350,4;23;23,6;23;22,1;;;;;;75;2,3;1,6;
2024/01/01;1200 UTC;0;929,3;929,3;928,6;731,2;23,9;21,4;23,9;23;23,8;21,2;;85;86;60;4,6;2,9;
2024/01/01;1300 UTC;0;929,7;929,7;929,3;868,8;24,1;21,4;24,2;23,9;21,6;20,7;87;82;85;14;6;2,2;
