REGIAO:;CO
UF:;MT
ESTACAO:;PRIMAVERA DO LESTE
CODIGO (WMO):;A923
LATITUDE:;-15,57999999
LONGITUDE:;-54,3811111
ALTITUDE:;680
DATA DE FUNDACAO:;26/10/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;935,9;935,9;935;;24,6;20,7;25,3;24,5;22,4;20,7;85;79;79;183;2,7;1,2;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;937,6;937,6;937;;23,5;21,7;23,9;23;22,2;21;90;88;90;199;1,8;,6;
2024/01/01;0300 UTC;0;937,5;937,8;937,5;;23,4;21,6;23,8;23,4;22;21,5;90;89;90;197;1,7;0;
2024/01/01;0400 UTC;0;937,2;937,5;937,1;;23,3;21,3;23,7;23,2;22;21,3;91;89;89;35;3,4;2,3;
2024/01/01;0500 UTC;0;936,3;937,2;936,3;;23,2;21,7;23,3;22,6;21,7;21;91;89;91;11;5,1;3,2;
2024/01/01;0600 UTC;0;936;936,4;935,9;;22,2;20;23,3;22,2;21,8;20;91;88;88;317;7,5;4,1;
2024/01/01;0700 UTC;,2;936;936,2;936;;21,7;19,9;22,4;21,7;20,1;19,7;89;86;89;314;8,8;3,2;
2024/01/01;0800 UTC;,2;935,7;936,1;935,7;;22,3;20,3;22,3;21,7;20,3;19,9;90;88;88;306;7,3;4,6;
2024/01/01;0900 UTC;,2;936,1;936,2;935,7;;22,3;19,7;22,8;22,3;20,2;19,6;88;83;85;290;7;2,6;
