REGIAO:;CO
UF:;MT
ESTACAO:;ALTA FLORESTA
CODIGO (WMO):;A924
LATITUDE:;-10,07722221
LONGITUDE:;-56,17916666
ALTITUDE:;291,85
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;978,1;978,1;977,3;;25,1;24,8;25,2;24,7;24,8;24,3;98;96;98;360;3,2;1,1;
2024/01/01;0100 UTC;0;978,7;978,7;978,1;;24,9;24,6;25,1;24,9;24,8;24,6;98;98;98;317;3,2;1;
2024/01/01;0200 UTC;0;979,4;979,4;978,7;;24,6;24,4;24,9;24,5;24,7;24,3;99;98;99;262;1,9;,5;
2024/01/01;0300 UTC;0;979,6;979,8;979,4;;24,4;24,3;24,6;24,3;24,4;24,3;99;99;99;326;1,1;,4;
2024/01/01;0400 UTC;0;979,1;979,6;979;;24,3;24,3;24,5;24,2;24,4;24,2;100;99;100;255;1,3;,3;
2024/01/01;0500 UTC;0;978,7;979,1;978,7;;24,3;24,3;24,4;24,2;24,4;24,2;100;100;100;153;1,7;,5;
2024/01/01;0600 UTC;0;978,3;978,7;978,2;;24,4;24,4;24,4;24,3;24,4;24,3;100;100;100;66;1,1;,4;
2024/01/01;0700 UTC;0;977,8;978,3;977,8;;24,4;24,4;24,5;24,3;24,5;24,3;100;100;100;67;1;,4;
2024/01/01;0800 UTC;0;977,5;977,8;977,4;;24,3;24,3;24,4;24,3;24,4;24,3;100;100;100;47;1,1;,4;
2024/01/01;0900 UTC;0;977,7;977,7;977,5;;24,3;24,3;24,4;24,2;24,4;24,2;100;100;100;131;1,5;,3;
2024/01/01;1000 UTC;0;978,5;978,5;977,7;20,5;24,4;24,4;24,5;24,2;24,4;24,2;100;100;100;325;1,1;,9;
2024/01/01;1100 UTC;0;979,4;979,4;978,5;224,9;24,9;24,9;25;24,4;24,9;24,4;100;100;100;30;1,3;,7;
2024/01/01;1200 UTC;0;979,9;979,9;979,4;734,3;26,7;26,5;26,8;24,9;26,7;24,9;100;99;99;311;2;,6;
2024/01/01;1300 UTC;0;980,4;980,4;979,9;1297,9;27,1;25,3;27,6;26,3;27;25,1;99;90;90;318;4,4;1,9;
2024/01/01;1400 UTC;0;980,2;980,5;980,2;1023,1;27,4;24,8;27,5;27;25,5;24,6;90;86;86;308;4,8;3,2;
2024/01/01;1500 UTC;0;979,2;980,2;979,2;2507,1;30;25,8;30;27,4;25,8;24,8;86;77;78;345;7,2;4,2;
2024/01/01;1600 UTC;0;977,9;979,2;977,9;2820,7;29,2;24,9;31,2;29;26,2;24,2;79;73;78;324;7;4;
2024/01/01;1700 UTC;0;976,7;977,9;976,7;2544,4;30,3;25,6;30,8;28,8;26,9;25;82;74;76;318;7,5;3,6;
