REGIAO:;CO
UF:;MT
ESTACAO:;NOVA MARINGA
CODIGO (WMO):;A928
LATITUDE:;-13,0386111
LONGITUDE:;-57,09222221
ALTITUDE:;334,36
DATA DE FUNDACAO:;16/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;972,4;972,4;971,7;;26,3;22,6;27,2;26,3;22,6;22,2;80;75;80;42;2,6;,8;
2024/01/01;0100 UTC;0;973,5;973,5;972,4;;25,6;22,9;26,4;25,6;22,9;22,5;85;80;85;83;2,8;,6;
2024/01/01;0200 UTC;0;974,4;974,4;973,5;;25,8;22,7;25,8;25,5;23;22,7;86;83;83;37;3,3;1,6;
2024/01/01;0300 UTC;0;974,3;974,5;974,2;;25;22,2;25,8;25;22,6;22,2;85;82;85;334;3,4;,6;
2024/01/01;0400 UTC;0;973,7;974,3;973,7;;24,6;22,2;25;24,6;22,3;22,1;86;85;86;291;2,2;0;
2024/01/01;0500 UTC;0;973,2;973,7;973,1;;24,4;21,9;24,7;24,4;22,2;21,9;86;86;86;332;1,8;,3;
2024/01/01;0600 UTC;0;972,9;973,2;972,9;;24,3;21,7;24,5;24,3;21,9;21,7;86;85;86;313;2,1;,2;
2024/01/01;0700 UTC;0;972,4;972,8;972,4;;24,1;21,8;24,3;24;21,9;21,7;87;85;87;311;1,2;0;
2024/01/01;0800 UTC;0;972,4;972,4;972,4;;24;21,8;24,1;23,8;21,9;21,6;88;87;88;257;1,5;,2;
2024/01/01;0900 UTC;0;972,9;973;972,4;;23,7;21,7;24;23,7;21,9;21,6;89;88;89;238;1,2;0;
2024/01/01;1000 UTC;0;973,6;973,6;972,9;19,9;23,8;21,9;23,8;23,6;22;21,7;90;89;89;309;1,3;,1;
2024/01/01;1100 UTC;0;974,5;974,5;973,7;250,8;24,5;22,3;24,5;23,7;22,3;21,8;89;87;88;298;2,2;,5;
2024/01/01;1200 UTC;0;974,7;974,7;974,4;1419,8;26,9;21,7;27,3;24,5;22,8;21,2;88;71;73;291;5,5;2,3;
2024/01/01;1300 UTC;0;975,3;975,3;974,7;1038,1;26,8;21,7;27;26,6;22;21,6;76;73;74;302;5,8;1,9;
2024/01/01;1400 UTC;0;975;975,3;975;2140,4;29,5;22,2;29,5;26,7;22,5;21,3;74;64;65;283;6,2;2,2;
2024/01/01;1500 UTC;0;973,8;974,9;973,8;2718,4;30,4;20,5;31;29,2;22;20,5;65;55;56;299;6,2;2,9;
2024/01/01;1600 UTC;0;972,6;973,8;972,6;3078,8;31,1;20,8;31,5;29,8;21,4;19,8;59;53;55;293;7,2;3;
2024/01/01;1700 UTC;0;971,5;972,6;971,5;3495;32,2;20,7;32,6;31;21,5;19,6;55;48;51;289;8,4;4;
2024/01/01;1800 UTC;0;970,4;971,5;970,4;2364,4;31,4;20,7;32,6;30,7;21,5;20,3;57;50;53;291;7,9;3,4;
2024/01/01;1900 UTC;0;969,8;970,4;969,8;1785,9;31,9;20,6;32,5;31;21,5;20,3;55;51;51;291;8,9;2,9;
2024/01/01;2000 UTC;7,2;969,9;970;969,5;757,2;25,7;22,6;32,3;25,3;22,8;20,5;84;51;83;337;9,6;2,7;
2024/01/01;2100 UTC;18;970,8;971;969,9;125,4;24,6;23,1;25,7;24;23,6;22,4;93;83;91;320;9,9;,6;
2024/01/01;2200 UTC;0;971;971,1;970,8;44,4;24,4;22,9;24,6;24,3;23,1;22,8;92;90;92;310;3,3;,2;
2024/01/01;2300 UTC;,2;972,1;972,1;971;1,4;24,5;23,1;24,8;24,2;23,4;22,8;92;91;92;71;1,8;,4;
2024/01/02;0000 UTC;0;973;973;972,1;;24,7;23,1;24,7;24,4;23,2;22,9;92;91;91;22;1,8;,4;
2024/01/02;0100 UTC;0;973,8;973,8;973;,5;24,6;23;24,8;24,5;23,2;22,7;91;90;91;104;1,9;0;
2024/01/02;0200 UTC;0;974,2;974,3;973,8;;24,4;22,9;24,7;24,4;23,2;22,8;92;90;91;88;1,3;,3;
2024/01/02;0300 UTC;0;974,1;974,3;974,1;;24,2;22,7;24,4;24,2;23;22,6;92;91;91;42;3;1,5;
2024/01/02;0400 UTC;0;973,2;974,1;973,2;;23,9;22,8;24,2;23,8;22,9;22,6;94;91;94;37;4,5;1,5;
2024/01/02;0500 UTC;,2;972,3;973,2;972,3;;23,9;22,9;24;23,8;22,9;22,8;94;94;94;38;3,3;1,2;
2024/01/02;0600 UTC;0;972,2;972,3;972,1;;24;22,8;24;23,9;22,9;22,7;94;93;93;5;3,3;1,3;
2024/01/02;0700 UTC;0;972,1;972,2;972,1;;23,9;22,8;24;23,9;22,8;22,7;93;93;93;344;3,3;1,2;
2024/01/02;0800 UTC;0;971,9;972,2;971,9;;23,9;22,8;24;23,8;22,8;22,7;94;93;93;357;3,2;1;
2024/01/02;0900 UTC;,4;972,2;972,2;971,9;;23,7;22,7;23,9;23,7;22,8;22,6;94;93;94;356;2,1;,1;
2024/01/02;1000 UTC;0;972,6;972,6;972,2;16,7;23,7;22,7;23,7;23,7;22,8;22,6;94;94;94;302;1,3;0;
2024/01/02;1100 UTC;0;972,9;972,9;972,6;262,6;24,2;23,1;24,2;23,7;23,1;22,7;94;93;93;319;1,7;,3;
2024/01/02;1200 UTC;0;973,5;973,5;972,9;1006,4;26,4;23,1;26,4;24,2;23,3;22,5;93;81;82;291;2,7;1,2;
2024/01/02;1300 UTC;0;973,6;973,6;973,4;2239,3;27,5;22;27,8;26,4;23,6;22;82;72;72;332;4,3;1,7;
2024/01/02;1400 UTC;0;973,5;973,6;973,4;2160,7;28,4;22,4;29,8;27,5;23,3;21,6;74;64;70;307;5,9;1,8;
2024/01/02;1500 UTC;0;973,1;973,5;973,1;2073;29;22,4;29,6;28,3;23;21,5;70;65;68;338;5,7;2,3;
2024/01/02;1600 UTC;0;972,3;973,1;972,3;2064,1;29,5;22,4;30,1;28,9;23,4;22,1;69;64;66;331;5,5;2;
2024/01/02;1700 UTC;0;970,9;972,3;970,9;2198,1;30,2;22,6;31,5;29,4;23,3;21,6;68;58;64;344;5,4;2,3;
2024/01/02;1800 UTC;0;969,3;970,9;969,3;2440,4;31,9;23;31,9;30,1;23,3;21,7;65;58;59;303;6;1,9;
2024/01/02;1900 UTC;0;968,7;969,3;968,7;1559,4;30,9;22,2;32,2;30,8;23,2;21,8;60;55;60;233;4,4;1,8;
2024/01/02;2000 UTC;0;968,3;968,7;967,8;1537,7;28,9;21,6;32,4;28,9;23;21,5;66;54;65;338;6,8;2,7;
2024/01/02;2100 UTC;1,2;968,5;968,6;967,9;318;24,3;22;29,2;24,3;22;21;87;64;87;176;9,8;4,5;
2024/01/02;2200 UTC;42,6;969,8;970,2;968,5;10;23,5;22,6;24,3;23,1;22,7;21,9;95;87;95;118;8,2;1;
2024/01/02;2300 UTC;,4;970,6;970,6;969,8;;23,7;22,7;23,7;23,3;22,7;22,4;95;94;94;66;3,3;,9;
2024/01/03;0000 UTC;1,4;971,4;971,4;970,6;;23,4;22,4;23,8;23,4;22,8;22,3;94;93;94;86;2,6;,8;
2024/01/03;0100 UTC;,4;972,6;972,6;971,4;;23,7;22,7;23,7;23,4;22,7;22,3;94;94;94;102;2,4;0;
2024/01/03;0200 UTC;12;973,1;973,4;972,6;1,4;22,3;21,5;23,8;22;22,8;21;95;93;95;269;9,7;,9;
2024/01/03;0300 UTC;3,6;972,8;973,2;972,8;;22,3;21,4;22,6;22,2;21,7;21,4;95;95;95;49;1,8;,4;
2024/01/03;0400 UTC;2,6;971,8;972,8;971,8;;22,4;21,5;22,4;22,1;21,6;21,3;95;95;95;5;1,6;0;
2024/01/03;0500 UTC;,4;971,5;971,8;971,5;;22,5;21,6;22,6;22,3;21,7;21,4;95;95;95;360;1,9;,4;
2024/01/03;0600 UTC;,8;971,1;971,5;971,1;;22,6;21,7;22,6;22,4;21,8;21,6;95;95;95;28;1,9;,1;
2024/01/03;0700 UTC;0;970,6;971,1;970,6;;22,5;21,6;22,6;22,4;21,8;21,5;95;95;95;30;3,1;1,3;
2024/01/03;0800 UTC;0;971;971;970,4;;22,5;21,7;22,6;22,3;21,8;21,4;95;95;95;351;3,3;,6;
2024/01/03;0900 UTC;,2;971,7;971,7;970,9;;22,7;21,9;22,8;22,5;22;21,7;95;95;95;335;3,1;,5;
2024/01/03;1000 UTC;3,6;972,6;972,6;971,7;8,6;22,7;21,9;22,8;22,6;22;21,8;95;95;95;8;4,2;,9;
2024/01/03;1100 UTC;,4;973,3;973,3;972,6;123,7;22,9;21,9;22,9;22,7;22;21,8;95;94;94;36;2,8;,5;
2024/01/03;1200 UTC;5,2;973,8;973,8;973,3;241,8;23,1;22,2;23,1;22,8;22,2;21,8;95;94;95;30;3,6;,7;
2024/01/03;1300 UTC;4;974,1;974,1;973,8;650,5;24;23;24,1;22,9;23;22;95;94;94;6;3,5;1,6;
2024/01/03;1400 UTC;,4;974;974,3;974;875,5;24,6;23,3;24,7;24;23,4;22,8;94;92;92;312;4,1;1,5;
2024/01/03;1500 UTC;0;973,3;974;973,3;2225;27;23,5;27;24,6;24,3;22,6;93;80;81;303;5,1;2,3;
2024/01/03;1600 UTC;0;972,7;973,3;972,7;2089,5;28,4;23,5;28,4;27;24,1;22,6;81;74;75;310;5,3;1,8;
2024/01/03;1700 UTC;0;971,6;972,7;971,6;1991,5;29,6;22,7;29,8;28,5;23,8;22,1;75;66;66;272;6,7;2,8;
2024/01/03;1800 UTC;0;969,8;971,6;969,8;2384,1;30,2;22,8;30,4;29,2;23,4;22,1;69;63;65;334;6;1,8;
2024/01/03;1900 UTC;1;969,3;969,8;969,3;1247,8;25,2;22,5;31;24,8;23,6;21,1;85;60;85;286;10,5;1,4;
2024/01/03;2000 UTC;,2;969,1;969,3;969;1025,6;26,7;22,7;27,6;25,1;24,1;22,2;88;78;79;321;4,8;1,7;
2024/01/03;2100 UTC;0;969,3;969,4;968,9;635,6;27,5;22,4;27,8;26,6;23,5;22,2;80;72;74;297;4;1,5;
2024/01/03;2200 UTC;,6;970,8;970,8;969,3;63,3;23,5;21,9;27,5;23,5;22,9;21,3;91;74;91;283;8,2;3,7;
2024/01/03;2300 UTC;,6;971,5;971,5;970,8;;23,3;22,1;23,5;23,2;22,4;21,8;93;91;93;360;6,7;1,1;
