REGIAO:;CO
UF:;MT
ESTACAO:;SAO JOSE DO XINGU
CODIGO (WMO):;A942
LATITUDE:;-10,48416666
LONGITUDE:;-52,37249999
ALTITUDE:;300
DATA DE FUNDACAO:;19/02/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;978;978;976,7;;25,8;24;26,4;24,8;24,2;23,5;94;86;89;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;979,2;979,2;978,7;;24,9;24,5;24,9;24,6;24,5;23,9;98;95;98;;;;
2024/01/01;0300 UTC;0;979;979,2;979;;25,1;24,5;25,3;24,6;24,9;24,2;99;95;97;;;;
2024/01/01;0400 UTC;0;978,3;979;978,3;;24,8;24,2;25,1;24,8;24,5;24,2;98;96;97;;;;
2024/01/01;0500 UTC;0;977,9;978,3;977,9;;24,6;24,1;24,8;24,6;24,2;24,1;97;97;97;;;;
2024/01/01;0600 UTC;0;977,3;977,9;977,3;;24,5;24,1;24,6;24,4;24,1;24;98;97;98;;;;
2024/01/01;0700 UTC;0;976,8;977,3;976,8;;24,1;24;24,5;24,1;24,1;23,9;99;97;99;;;;
2024/01/01;0800 UTC;0;976,9;976,9;976,7;;23,9;23,8;24,2;23,9;24,1;23,8;99;99;99;;;;
2024/01/01;0900 UTC;0;977,4;977,4;976,9;;23,1;23,1;23,9;23,1;23,8;23;100;99;100;;;;
2024/01/01;1000 UTC;0;977,9;977,9;977,4;120,1;24;23,9;24;23,1;23,9;23;100;99;100;;;;
2024/01/01;1100 UTC;0;978,5;978,5;977,9;835,2;26,4;24,5;26,4;24;24,8;23,8;100;89;89;;;;
2024/01/01;1200 UTC;0;979;979,1;978,5;1447,2;27,7;;28;26,2;;;;;;;;;
2024/01/01;1300 UTC;0;979,2;979,2;979;1981,1;29;;29,2;27,6;;;;;;;;;
2024/01/01;1400 UTC;0;979,1;979,2;979,1;1599,5;29,2;;29,9;28,8;;;;;;;;;
2024/01/01;1500 UTC;0;978,1;979,1;978,1;2055,9;31,1;24,5;31,2;29,2;;;77;67;68;;;;
2024/01/01;1600 UTC;0;976,5;978,1;976,5;3775,7;31;23,3;32,7;29,4;25,3;22,4;70;57;64;;;;
2024/01/01;1700 UTC;0;975,6;976,5;975,6;3542,4;32,2;23,3;33,3;30,9;24,3;22,3;66;54;59;;;;
