REGIAO:;CO
UF:;MT
ESTACAO:;SERRA NOVA DOURADA
CODIGO (WMO):;A943
LATITUDE:;-11,98777777
LONGITUDE:;-51,4261111
ALTITUDE:;441
DATA DE FUNDACAO:;29/03/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;962,4;962,4;961,8;;26,2;;26,4;26,2;;;;;;240;1,6;,8;
2024/01/01;0200 UTC;0;962,7;962,7;962,3;;25,7;;26,2;25,7;;;;;;251;1,6;,9;
2024/01/01;0300 UTC;0;962,3;962,7;962,3;;25,3;;25,7;25,3;;;;;;253;2,6;,4;
2024/01/01;0400 UTC;0;961,8;962,3;961,8;;25,2;;25,4;25,2;;;;;;242;2,1;,8;
2024/01/01;0500 UTC;0;960,9;961,8;960,9;;24,8;;25,3;24,8;;;;;;249;2;,9;
2024/01/01;0600 UTC;0;960,6;960,9;960,6;;24,7;;25;24,7;;;;;;222;2,7;,5;
2024/01/01;0700 UTC;0;960,4;960,6;960,4;;24,6;;24,7;24,6;;;;;;226;2,2;,5;
2024/01/01;0800 UTC;0;960,3;960,4;960,2;;24,5;;24,7;24,5;;;;;;223;3;,8;
2024/01/01;0900 UTC;0;960,6;960,6;960,3;;24,2;;24,5;24,2;;;;;;218;3,4;,9;
2024/01/01;1000 UTC;0;961,3;961,3;960,6;77,5;24,3;;24,3;24,1;;;;;;211;3,8;,9;
2024/01/01;1100 UTC;0;962,1;962,1;961,3;414,8;25,7;;25,7;24,3;;;;;;215;3,4;1;
2024/01/01;1200 UTC;0;962,5;962,5;962,1;799,2;26,4;;26,4;25,5;;;;;;185;4,1;2,3;
2024/01/01;1300 UTC;0;962,6;962,7;962,5;1733,9;28,1;;28,1;26,3;;;;;;176;6,7;3,1;
2024/01/01;1400 UTC;0;962,2;962,7;962,2;2556,1;29;;29,4;27,7;;;;;;164;6,7;3,9;
2024/01/01;1500 UTC;0;961,6;962,2;961,6;1647,9;29,3;;29,6;28,2;;;;;;179;6,5;2,8;
2024/01/01;1600 UTC;0;960,7;961,6;960,7;946,2;27,9;;29,7;27,4;;;;;;115;5;2;
2024/01/01;1700 UTC;,4;960,1;960,7;960,1;388;25,5;;27,9;25,2;;;;;;107;6,5;2,7;
2024/01/01;1800 UTC;0;959,4;960,1;959,2;732,9;23,5;;25,5;23,5;;;;;;53;7,7;5,8;
2024/01/01;1900 UTC;0;959,3;959,5;958,9;884,7;23,7;;24;23,3;;;;;;64;7,6;3;
2024/01/01;2000 UTC;,8;959;959,7;959;254,3;23,4;;23,9;23,4;;;;;;247;5,6;1,2;
2024/01/01;2100 UTC;0;958,8;959;958,4;405,1;24,5;;24,8;23,4;;;;;;216;2,7;1;
2024/01/01;2200 UTC;0;959,6;959,6;958,8;116,4;24,2;;24,5;23,9;;;;;;174;2,7;,6;
2024/01/01;2300 UTC;0;960,3;960,3;959,6;;23,8;;24,2;23,8;;;;;;207;2,1;,7;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;0;962;962,1;961,2;;23,9;;24,2;23,9;;;;;;236;1,8;,8;
2024/01/02;0200 UTC;0;962,4;962,4;962;;24;;24,1;23,8;;;;;;249;1,3;,7;
2024/01/02;0300 UTC;0;962,2;962,5;962,2;;23,2;;23,9;23,2;;;;;;238;1,7;,9;
2024/01/02;0400 UTC;0;961,4;962,2;961,4;;23,1;;23,2;23;;;;;;213;2;1;
2024/01/02;0500 UTC;0;960,6;961,4;960,6;;23,1;;23,2;23;;;;;;190;3,5;1,5;
