REGIAO:;NE
UF:;AL
ESTACAO:;MACEIO
CODIGO (WMO):;A303
LATITUDE:;-9,55111111
LONGITUDE:;-35,77027777
ALTITUDE:;84,12
DATA DE FUNDACAO:;25/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1003,9;1003,9;1002,7;;25,6;24,1;26,2;25,6;24,1;23,9;92;87;92;29;4,8;1,8;
2024/01/01;0100 UTC;0;1003,9;1004,1;1003,9;;25,7;24,2;25,8;25,6;24,3;24,1;92;91;91;61;3,7;2,2;
2024/01/01;0200 UTC;0;1004,1;1004,1;1003,9;;25,1;23,9;25,7;25,1;24,2;23,9;93;91;93;36;3,7;1,4;
2024/01/01;0300 UTC;0;1003,6;1004,2;1003,6;;24,4;23,8;25,2;24,3;24,1;23,6;97;93;97;37;2,1;1,1;
2024/01/01;0400 UTC;0;1003,3;1003,7;1003,3;;24,2;23,7;24,6;24,2;24;23,7;97;96;97;112;1,4;,1;
2024/01/01;0500 UTC;0;1003,3;1003,3;1003,1;;24,3;23,9;24,4;24;24,1;23,7;99;97;98;330;1,6;,6;
2024/01/01;0600 UTC;0;1003,1;1003,3;1003;;24,9;24,2;24,9;24,3;24,2;24;98;96;96;27;1,5;1;
2024/01/01;0700 UTC;0;1003,1;1003,2;1003;;24,3;23,5;25;24,3;24,2;23,5;96;95;95;38;1,8;1,1;
2024/01/01;0800 UTC;0;1003,4;1003,4;1003;;23,9;23,5;24,3;23,9;23,8;23,5;98;96;98;143;1,7;,4;
2024/01/01;0900 UTC;0;1003,7;1003,7;1003,3;225,9;26;24,1;26,1;23,8;24,7;23,5;99;89;89;2;1;,6;
2024/01/01;1000 UTC;0;1004,2;1004,3;1003,7;949;27,5;24,4;27,5;26;24,5;23,9;90;82;83;29;3,9;1,9;
2024/01/01;1100 UTC;0;1004,6;1004,6;1004,2;1743,4;28,3;23,6;29,2;27,3;24,6;23,5;83;73;76;58;5,4;3,3;
2024/01/01;1200 UTC;0;1004,4;1004,7;1004,4;2661,2;30,3;23,4;30,8;28,3;24;22,7;77;64;66;78;6,4;2,4;
2024/01/01;1300 UTC;0;1004;1004,4;1004;2034,2;31,2;23,5;31,2;29,6;23,5;22,2;68;61;63;99;5,8;3,3;
2024/01/01;1400 UTC;0;1003,8;1004;1003,7;3482,3;30,8;22,8;32,4;30,2;24,2;22,4;66;59;62;90;7,9;4,5;
2024/01/01;1500 UTC;0;1003,2;1003,8;1003,2;3969,7;31,5;22,7;32,5;30,6;24;22,3;64;58;60;103;8;4,7;
2024/01/01;1600 UTC;0;1002,4;1003,2;1002,4;3476,1;31,2;22,9;32,2;30,5;23,1;21,8;63;56;61;112;8;4,5;
2024/01/01;1700 UTC;0;1001,5;1002,4;1001,5;3040,6;31,1;23,2;32,2;30,3;23,4;22,1;65;58;63;88;8,7;5,1;
2024/01/01;1800 UTC;0;1001;1001,5;1001;2438,4;30,1;22,7;31,1;30;23,9;21,9;67;62;65;90;8,5;5;
2024/01/01;1900 UTC;0;1001,2;1001,3;1000,9;1586;29,7;23,7;30,3;29,3;24,4;22,5;72;63;71;85;9,1;4,6;
2024/01/01;2000 UTC;0;1001,6;1001,7;1001,2;323,3;27,9;23,8;29,7;27,8;24,2;23,1;79;70;78;69;8,5;5,1;
2024/01/01;2100 UTC;0;1002,9;1002,9;1001,6;73;27,2;23,8;27,9;27,2;23,9;23,5;82;78;82;54;8,9;4,5;
2024/01/01;2200 UTC;0;1003,3;1003,3;1002,9;;26,6;23,5;27,2;26,6;23,9;23,5;83;81;83;50;7;3,8;
2024/01/01;2300 UTC;0;1003,3;1003,4;1003,2;;26,5;23,8;26,6;26,3;23,8;23,5;86;83;86;62;6,2;3,5;
2024/01/02;0000 UTC;0;1003,4;1003,4;1003,3;;26,3;23,7;26,6;26,3;23,8;23,7;86;85;85;61;5,8;2,5;
2024/01/02;0100 UTC;0;1003,7;1003,7;1003,3;;25,7;23,8;26,5;25,7;23,9;23,7;89;85;89;23;4,4;2,2;
2024/01/02;0200 UTC;0;1003,3;1003,7;1003,3;;25,3;23,2;25,9;25,3;24;23,2;90;88;88;337;4,5;2,3;
2024/01/02;0300 UTC;0;1002,7;1003,3;1002,7;;24,4;22,6;25,4;24,3;23,2;22,6;90;87;90;10;4,5;1,3;
2024/01/02;0400 UTC;0;1002,4;1002,8;1002,4;;24;22,7;24,3;23,9;22,8;22,6;93;90;93;353;2,6;,6;
2024/01/02;0500 UTC;0;1002,3;1002,5;1002,2;;23,7;22,7;24,1;23,7;22,8;22,5;94;92;94;284;1,7;,4;
2024/01/02;0600 UTC;0;1002,3;1002,4;1002,2;;24,7;22,7;24,7;23,6;22,8;22,6;94;89;89;328;1,9;,8;
2024/01/02;0700 UTC;0;1002,4;1002,4;1002,2;;24,1;22,7;24,7;24,1;22,7;22,6;91;88;91;322;2,7;1;
2024/01/02;0800 UTC;0;1002,9;1002,9;1002,4;;23,8;22,4;24,4;23,8;22,8;22,4;92;90;92;265;2,2;,5;
2024/01/02;0900 UTC;0;1003,5;1003,5;1002,9;153;25,5;23,1;25,5;23,7;23,1;22,4;94;87;87;244;1,7;,6;
2024/01/02;1000 UTC;0;1003,7;1003,8;1003,5;925,3;27,7;22,3;27,8;25,5;23,2;22,2;87;72;72;358;3,1;1,2;
2024/01/02;1100 UTC;0;1004;1004;1003,8;1766,2;29,3;22,2;29,5;26,7;22,6;21,7;76;65;66;17;6;3;
2024/01/02;1200 UTC;0;1003,8;1004;1003,8;2612,8;31,1;22,3;31,1;29,1;22,8;21,6;67;60;60;48;8,3;3,9;
2024/01/02;1300 UTC;0;1003,3;1003,8;1003,3;3319,9;31,9;21,4;32,3;30,3;22,3;21,1;61;53;54;42;9,1;4,6;
2024/01/02;1400 UTC;0;1002,6;1003,3;1002,6;3727,8;33;21,5;33,9;31,5;22,2;20,7;56;48;51;43;8;4,3;
2024/01/02;1500 UTC;0;1002,3;1002,6;1002,3;2956,9;32,5;23,9;33,6;30,5;24,4;21,5;68;50;61;71;8,2;4,8;
2024/01/02;1600 UTC;0;1001,7;1002,4;1001,7;3449,5;31,8;23,5;32,5;31,4;24,2;23,3;64;60;61;89;8,3;4,9;
2024/01/02;1700 UTC;0;1001,1;1001,8;1001;2934,7;30,7;22,8;32,1;30,7;23,9;22,7;64;61;63;92;9,6;5,9;
2024/01/02;1800 UTC;0;1000,6;1001,1;1000,6;1572,1;30,3;22,8;31,2;29,7;23,7;22,1;67;59;64;80;10,2;6,3;
2024/01/02;1900 UTC;0;1000,6;1000,7;1000,5;1483,2;29,9;23,6;30,5;29,4;23,6;22,6;70;64;69;67;10,4;5,6;
2024/01/02;2000 UTC;0;1001;1001;1000,6;297,9;28;24,3;29,9;27,9;24,5;23,5;81;69;80;74;9,8;6,2;
2024/01/02;2100 UTC;0;1001,6;1001,6;1000,9;89,4;27,1;24,3;28,1;27,1;24,5;24,2;85;80;85;71;9,8;5,3;
2024/01/02;2200 UTC;0;1002,4;1002,4;1001,6;;26,7;24,7;27,1;26,7;24,7;24,2;89;84;89;71;9,5;5,1;
2024/01/02;2300 UTC;0;1003,3;1003,3;1002,4;;26,9;24,6;26,9;26,6;24,9;24,6;90;87;88;68;8,8;5,5;
2024/01/03;0000 UTC;0;1003,8;1003,8;1003,3;;26,8;24,5;26,9;26,7;24,6;24,5;88;87;88;52;8,9;4,4;
2024/01/03;0100 UTC;0;1004,2;1004,2;1003,8;;26,7;24,8;26,8;26,7;24,8;24,6;89;88;89;49;8;3,2;
2024/01/03;0200 UTC;0;1003,9;1004,3;1003,9;;25,6;24,2;26,7;25,6;24,8;24,2;92;89;92;58;6;3,2;
2024/01/03;0300 UTC;0;1003,2;1003,9;1003,2;;25,4;24,6;25,6;25,3;24,6;24,2;96;92;96;65;5,5;2,6;
2024/01/03;0400 UTC;0;1002,6;1003,2;1002,6;;25;24,4;25,4;25;24,7;24,4;97;96;97;59;4,7;1,9;
2024/01/03;0500 UTC;0;1002,5;1002,6;1002,4;;24,8;24,2;25;24,7;24,5;24,2;97;96;97;33;3,3;2,1;
2024/01/03;0600 UTC;0;1002,4;1002,6;1002,4;;24,4;24;24,8;24,3;24,2;24;98;97;98;52;2,8;1,4;
2024/01/03;0700 UTC;0;1002,8;1002,8;1002,4;;24,4;24;24,5;24,3;24,1;23,9;98;97;97;11;2,8;1,5;
2024/01/03;0800 UTC;0;1003,6;1003,6;1002,8;;24,4;23,8;24,4;24,2;24;23,7;98;96;96;355;2,6;1,5;
2024/01/03;0900 UTC;0;1004,3;1004,3;1003,6;172;25,3;23,8;25,5;24,4;24,1;23,7;96;91;91;1;3,8;2,4;
2024/01/03;1000 UTC;0;1004,7;1004,7;1004,3;858,2;27,9;24,2;27,9;25,2;24,4;23,8;93;81;81;345;5,8;2,9;
2024/01/03;1100 UTC;0;1005;1005;1004,6;1704,2;30,1;24;30,1;27,8;24,6;23,6;81;70;70;357;7,1;3,8;
2024/01/03;1200 UTC;0;1005,1;1005,2;1004,9;2330,8;31,2;23,9;31,2;29,5;24,2;22,8;70;64;65;29;8,9;3,5;
2024/01/03;1300 UTC;0;1004,8;1005,1;1004,8;3560;33,1;23,4;33,4;30,8;24;23;65;57;57;32;8,5;4;
2024/01/03;1400 UTC;0;1004,4;1004,8;1004,4;3861,3;33,3;25,2;33,6;32;25,2;22,2;64;54;63;72;9,1;4,3;
2024/01/03;1500 UTC;0;1003,9;1004,4;1003,9;2905,7;32,6;25,2;33,3;30,7;25,4;24,1;70;59;65;71;9,6;5,1;
2024/01/03;1600 UTC;0;1003,3;1003,9;1003,2;3534;32,4;24,5;32,9;31,5;25,2;24,2;67;62;63;74;10;5,7;
2024/01/03;1700 UTC;0;1002,4;1003,3;1002,4;3063,7;31,9;23,9;32,5;31,5;25,1;23,9;66;63;63;68;10,9;6,3;
2024/01/03;1800 UTC;0;1001,9;1002,4;1001,9;2498,7;31;23,8;32,3;31;24,4;23,5;66;62;66;64;10,3;6,1;
