REGIAO:;NE
UF:;AL
ESTACAO:;PIRANHAS
CODIGO (WMO):;A371
LATITUDE:;-9,62222221
LONGITUDE:;-37,76722221
ALTITUDE:;187
DATA DE FUNDACAO:;20/09/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;992,3;992,5;991,7;;27,6;21,4;28,3;27,6;21,4;21,2;69;65;69;101;6,9;3;
2024/01/01;0200 UTC;0;992,2;992,3;992,1;;27;21,4;27,6;27;21,5;21,4;71;69;71;111;5,8;1,7;
2024/01/01;0300 UTC;0;991,4;992,2;991,4;;26,3;21,7;27;26,3;21,7;21,4;76;72;76;119;7,1;1,4;
2024/01/01;0400 UTC;0;991,7;991,7;991,4;;25,8;21,9;26,3;25,8;21,9;21,7;79;76;79;107;6,5;1;
2024/01/01;0500 UTC;0;991,2;991,7;991,2;;25,6;22;25,8;25,6;22;21,9;80;79;80;103;5,7;2,8;
2024/01/01;0600 UTC;0;991,3;991,4;991;;25,5;22,1;25,6;25,4;22,1;22;82;80;82;97;5,7;1,4;
2024/01/01;0700 UTC;0;991,1;991,3;991;;25,4;22,1;25,5;25,3;22,1;22;82;81;82;92;3,5;1,4;
2024/01/01;0800 UTC;0;991,5;991,5;991;;25,4;22;25,5;25,2;22,2;22;83;82;82;108;3,4;,4;
2024/01/01;0900 UTC;0;992;992;991,5;83,3;25,7;22,4;25,7;25,3;22,4;22;83;82;82;91;4,1;1,6;
2024/01/01;1000 UTC;0;992,2;992,2;992;695,6;26,8;22,4;26,8;25,7;22,6;22,3;82;77;77;96;4,1;1,6;
2024/01/01;1100 UTC;0;992,6;992,6;992,2;1370,8;27,7;22,2;28,3;26,8;22,6;22;77;69;72;92;4,2;1,9;
2024/01/01;1200 UTC;0;992,3;992,6;992,3;2134,7;30,8;22,4;30,8;27,7;22,5;21,7;73;61;61;114;4,4;,6;
2024/01/01;1300 UTC;0;992;992,3;992;3310,3;32,5;20,8;32,5;30,5;22,1;20,5;61;50;50;114;5,1;1,8;
2024/01/01;1400 UTC;0;991,5;992;991,4;3027;32,4;20,1;34,2;32,3;21,2;19,9;50;44;48;101;5;1,7;
2024/01/01;1500 UTC;0;990,4;991,5;990,4;2997;34,4;20,1;35;32,4;20,6;19,4;49;42;43;100;5;2,1;
2024/01/01;1600 UTC;0;989,2;990,4;989,2;3157,5;35,6;19,2;36,1;34,4;20,9;19;44;38;38;89;4,7;1,5;
2024/01/01;1700 UTC;0;987,6;989,2;987,6;2678,9;36,5;18,6;36,7;35,3;19,4;18,4;38;34;35;50;6,3;1,7;
2024/01/01;1800 UTC;0;986,6;987,6;986,6;1285,7;36,8;17,8;37,1;35,6;19,3;17,2;37;32;33;72;7,3;3,2;
