REGIAO:;NE
UF:;BA
ESTACAO:;SALVADOR
CODIGO (WMO):;A401
LATITUDE:;-13,005515
LONGITUDE:;-38,50576
ALTITUDE:;47,56
DATA DE FUNDACAO:;13/05/00
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1006,7;1006,7;1005,8;;26,8;22,8;26,8;26,6;22,8;22,6;79;78;79;66;5,3;1,4;
2024/01/01;0100 UTC;0;1006,9;1006,9;1006,7;;26,7;22,6;26,8;26,5;22,8;22,4;79;77;78;62;5,5;1,2;
2024/01/01;0200 UTC;0;1006,9;1007,1;1006,8;;26,5;22,9;26,7;26,4;23;22,5;81;78;81;75;4,6;1,2;
2024/01/01;0300 UTC;0;1006,5;1006,9;1006,5;;26,3;22,7;26,5;26,2;22,9;22,6;82;80;81;69;4,6;1,1;
2024/01/01;0400 UTC;0;1006,5;1006,6;1006,5;;26;22,6;26,3;25,7;22,7;22,5;82;81;81;56;4,2;,8;
2024/01/01;0500 UTC;0;1006,4;1006,6;1006,3;;25,6;22,7;26,1;25,5;22,8;22,5;84;81;84;28;3,4;,6;
2024/01/01;0600 UTC;0;1006,3;1006,5;1006,3;;25,1;22,7;25,7;25;22,7;22,5;87;83;87;35;2,5;,6;
2024/01/01;0700 UTC;0;1006,3;1006,3;1006,1;;24,9;22,7;25,3;24,8;22,9;22,6;88;86;87;347;2,1;,3;
2024/01/01;0800 UTC;0;1006,7;1006,7;1006,3;;24,7;22,7;25;24,7;22,9;22,6;89;87;89;328;2,8;,4;
2024/01/01;0900 UTC;0;1007,1;1007,2;1006,7;51,2;25,2;23,1;25,2;24,6;23,1;22,7;90;88;88;32;2;,7;
2024/01/01;1000 UTC;0;1007,6;1007,6;1007,1;186,3;26,5;23,2;26,5;25,2;23,6;23,1;88;82;82;17;3,3;1,3;
2024/01/01;1100 UTC;0;1007,8;1007,8;1007,6;1000,9;29,1;22,1;29,2;26,5;23,6;21,6;82;66;66;35;3,5;1,4;
2024/01/01;1200 UTC;0;1007,9;1007,9;1007,8;1877,1;28,6;22,4;29,6;27,9;23,4;21,8;72;65;69;194;3,5;1;
2024/01/01;1300 UTC;0;1008;1008,1;1007,9;2415,6;30,7;22,8;30,7;28,3;23,4;22,2;71;63;63;219;4,7;2,2;
2024/01/01;1400 UTC;0;1007,3;1008;1007,3;3617,1;32,6;21,9;33;29,9;23,4;21,7;66;52;53;140;4,8;1,3;
2024/01/01;1500 UTC;0;1006,8;1007,3;1006,8;3794,4;32,8;21,2;32,9;31,4;22;20,1;55;49;51;105;7,6;1,4;
2024/01/01;1600 UTC;0;1005,9;1006,8;1005,9;3724,5;32,4;21;32,9;32;21,9;20,3;54;50;51;104;6,1;1,9;
2024/01/01;1700 UTC;0;1004,8;1005,9;1004,8;3017,3;32,3;22;33;31,2;22,1;20,8;56;50;55;104;6,1;1,2;
2024/01/01;1800 UTC;0;1004,3;1004,8;1004,2;2522,9;31,2;22,3;32,5;30,8;22,5;21,3;60;53;59;74;6,4;1,5;
2024/01/01;1900 UTC;0;1003,8;1004,3;1003,8;1909,2;29,8;22,4;31,4;29,8;22,7;22;64;59;64;85;6,4;1,6;
2024/01/01;2000 UTC;0;1004;1004;1003,7;943;28,4;22,2;30,2;28,4;23,1;21,9;69;64;69;74;6,1;1,7;
2024/01/01;2100 UTC;0;1004,3;1004,3;1004;83,9;27,6;22;28,4;27,6;22,7;21,7;73;69;72;80;5,6;1,7;
2024/01/01;2200 UTC;0;1005,2;1005,2;1004,3;;27,4;22,4;27,6;27,3;22,5;21,9;75;71;74;75;4,9;1,3;
2024/01/01;2300 UTC;0;1005,9;1005,9;1005,2;;27,3;22,3;27,4;27,2;22,7;22,3;77;74;74;66;6,4;1,2;
2024/01/02;0000 UTC;0;1006,8;1006,9;1005,9;;27,1;22,6;27,2;27;22,7;22,3;77;74;77;69;4,9;1,2;
2024/01/02;0100 UTC;0;1007,1;1007,1;1006,7;;26,9;22,3;27,1;26,8;22,6;22,3;77;75;76;70;5,3;1,1;
2024/01/02;0200 UTC;0;1006,9;1007,2;1006,9;;26,9;22,4;27;26,8;22,6;22,3;77;76;77;57;5,1;1,7;
2024/01/02;0300 UTC;0;1006;1006,9;1006;;26,5;22,3;26,9;26,5;22,4;22,2;78;76;78;62;4,9;1,4;
2024/01/02;0400 UTC;0;1005,5;1006;1005,5;;26,3;22,7;26,6;26,2;22,8;22,4;80;78;80;52;4,7;1,5;
2024/01/02;0500 UTC;0;1005,5;1005,5;1005,3;;25,9;22,6;26,4;25,9;22,7;22,5;82;80;82;47;5,7;,8;
2024/01/02;0600 UTC;0;1005;1005,5;1005;;25,9;22,3;26,2;25,7;22,6;22,3;83;81;81;51;3,6;1;
2024/01/02;0700 UTC;0;1005,5;1005,5;1005;;25,4;22,4;25,9;25,4;22,5;22,3;84;81;84;30;2,5;,5;
2024/01/02;0800 UTC;0;1006,2;1006,2;1005,5;;25;22,5;25,4;24,8;22,5;22,3;87;84;87;352;1,9;,5;
2024/01/02;0900 UTC;0;1006,9;1006,9;1006,1;42,7;25,1;22,6;25,2;24,9;22,7;22,4;87;86;86;43;1,8;,5;
2024/01/02;1000 UTC;0;1007,3;1007,3;1006,9;138,2;26,3;22,7;26,4;25,1;23,1;22,6;86;81;81;8;3,1;1,2;
2024/01/02;1100 UTC;0;1007,5;1007,5;1007,3;686,3;27,2;22,7;27,4;26,3;23,6;22,7;82;76;77;354;3,7;,9;
2024/01/02;1200 UTC;0;1007,4;1007,5;1007,4;878,2;27,4;22,5;28,4;27,1;23,4;22,3;79;71;75;345;3,5;,6;
2024/01/02;1300 UTC;0;1007,3;1007,4;1007,2;1338,9;30,9;23,3;30,9;27,3;23,3;22,2;76;64;64;208;3,2;1,2;
2024/01/02;1400 UTC;0;1006,9;1007,3;1006,8;2290,9;29,3;21,9;30,9;28,4;22,9;21,3;68;61;64;211;3,9;1,6;
2024/01/02;1500 UTC;0;1006,3;1006,9;1006,3;3561,5;31,6;22,7;31,8;29;23,3;21,7;66;58;59;175;3,8;1,3;
2024/01/02;1600 UTC;0;1005,5;1006,3;1005,5;3629,3;31,4;21,9;32;30,2;23;21,8;64;57;57;169;5;1,4;
2024/01/02;1700 UTC;0;1004,6;1005,5;1004,6;2841,1;31,7;22,6;32,4;30,8;22,8;21,8;61;55;59;133;3,8;1;
2024/01/02;1800 UTC;0;1004,1;1004,6;1004;2451,1;30,6;22,1;31,8;30,4;22,8;21,5;62;57;60;142;5;1,7;
2024/01/02;1900 UTC;0;1003,8;1004,1;1003,7;1784,1;29,8;21,8;31,6;29,8;22,9;21,2;62;58;62;88;5,4;1,5;
2024/01/02;2000 UTC;0;1003,9;1003,9;1003,7;994,7;28,5;21,7;30,5;28,4;22,1;21,2;67;60;67;84;6,3;1,8;
2024/01/02;2100 UTC;0;1004,6;1004,6;1003,9;77,8;27,5;21,8;28,5;27,5;21,9;21,5;71;67;71;60;5,5;1,2;
2024/01/02;2200 UTC;0;1005,2;1005,2;1004,5;;27,2;22,2;27,5;27,2;22,4;21,8;74;71;74;65;5,9;1,4;
2024/01/02;2300 UTC;0;1006,1;1006,1;1005,2;;27,2;22,5;27,3;27;22,5;22,2;76;74;76;83;5,9;1,4;
2024/01/03;0000 UTC;0;1006,3;1006,4;1006,1;;26,9;22,5;27,2;26,9;22,5;22,3;77;74;77;84;6,5;1,1;
2024/01/03;0100 UTC;0;1006,5;1006,6;1006,3;;26,9;22,5;27;26,7;22,6;22,3;77;76;77;82;4,9;1,4;
2024/01/03;0200 UTC;0;1006,6;1006,7;1006,5;;26,7;22,3;26,9;26,7;22,7;22,3;78;76;77;72;6,5;1,3;
2024/01/03;0300 UTC;0;1006;1006,6;1006;;26,6;22,5;26,8;26,5;22,5;22,2;78;76;78;63;5,4;1,1;
2024/01/03;0400 UTC;0;1005,7;1006;1005,7;;26,4;22,5;26,6;26,4;22,5;22,3;79;77;79;63;5,7;,9;
2024/01/03;0500 UTC;0;1005,4;1005,7;1005,4;;26,6;22,9;26,7;26,3;22,9;22,5;81;79;80;52;3,4;,9;
2024/01/03;0600 UTC;0;1005,6;1005,6;1005,4;;26,1;22,8;26,7;26;22,9;22,7;82;80;82;37;3;,7;
