REGIAO:;NE
UF:;BA
ESTACAO:;ILHEUS
CODIGO (WMO):;A410
LATITUDE:;-14,65888888
LONGITUDE:;-39,18138888
ALTITUDE:;80,21
DATA DE FUNDACAO:;25/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1003,4;1003,4;1002,6;;24,2;22,1;24,8;23,8;22,3;21,5;88;83;88;317;1,5;,7;
2024/01/01;0100 UTC;0;1004,1;1004,1;1003,4;;23,7;21,9;24,4;23,6;22,3;21,7;90;87;90;241;1,4;,7;
2024/01/01;0200 UTC;0;1004,1;1004,3;1004,1;;23,4;21,7;23,7;23,1;21,9;21,5;91;90;90;246;1,5;1;
2024/01/01;0300 UTC;0;1003,6;1004,1;1003,6;;22,6;21,3;23,4;22,5;21,6;21,1;92;90;92;242;2,5;1,6;
2024/01/01;0400 UTC;0;1003,4;1003,7;1003,4;;22,4;21,2;22,7;22,4;21,4;21,2;93;92;93;241;2,5;1,5;
2024/01/01;0500 UTC;0;1003;1003,4;1003;;22,3;21,2;22,5;22,3;21,3;21,1;93;93;93;234;3,5;2,2;
2024/01/01;0600 UTC;0;1002,8;1003;1002,8;;22,1;21;22,5;22;21,3;20,8;93;93;93;216;3,5;,9;
2024/01/01;0700 UTC;0;1002,8;1002,9;1002,7;;22;21;22,1;21,8;21;20,7;94;93;94;222;2,4;1;
2024/01/01;0800 UTC;0;1003,3;1003,3;1002,8;;21,5;20,5;22;21,5;21;20,5;94;93;94;239;3,4;2,2;
2024/01/01;0900 UTC;,2;1003,8;1003,8;1003,3;146,3;22,5;21,4;22,5;21,5;21,5;20,5;94;94;94;240;3,4;1,9;
2024/01/01;1000 UTC;0;1004,2;1004,2;1003,8;659,9;24,3;22,8;24,3;22,4;22,8;21,3;94;91;91;257;3,9;1,1;
2024/01/01;1100 UTC;0;1004,1;1004,4;1004,1;1821,7;28;23,1;28,6;24,3;23,8;22,6;91;74;75;23;3;1,7;
2024/01/01;1200 UTC;0;1004,6;1004,6;1004,1;2102,2;27,9;22,6;29,5;27,5;23,5;21,5;76;65;73;1;4,2;1,5;
2024/01/01;1300 UTC;0;1004,2;1004,6;1004,2;2695;29,8;21,7;30,8;27,9;23,1;21,6;73;60;62;48;5,3;2,3;
2024/01/01;1400 UTC;0;1003,7;1004,2;1003,7;1379,8;29,4;20,8;30,1;28,9;22,4;20,4;65;58;60;33;4,8;2,7;
2024/01/01;1500 UTC;0;1003;1003,7;1003;2264,9;29,8;21,1;31,2;29,4;22,1;19,9;61;54;60;57;6,9;2,9;
2024/01/01;1600 UTC;0;1002;1003;1001,9;2967,4;30,8;20,5;31,5;29,7;22;20,3;61;53;55;57;7,7;3,9;
2024/01/01;1700 UTC;0;1001,1;1002;1001,1;3369;30,7;21,2;31,7;30,3;21,7;19,7;58;52;57;80;8,2;4,2;
2024/01/01;1800 UTC;0;1000,6;1001,1;1000,6;1509;28,8;20,9;30,7;28,6;21,2;20,2;63;55;62;57;8,2;3,2;
2024/01/01;1900 UTC;0;1000,6;1000,6;1000,4;781,2;28,3;21,2;28,9;28,3;22;20,9;68;62;65;55;6,6;2,4;
2024/01/01;2000 UTC;0;1000,9;1000,9;1000,5;511,5;27,4;21,3;28,3;27,4;21,4;21;69;65;69;66;5,9;2,8;
2024/01/01;2100 UTC;0;1001,3;1001,3;1000,9;212,1;26,5;21,7;27,4;26,4;21,7;21,3;75;69;75;61;6;2,2;
2024/01/01;2200 UTC;0;1002,1;1002,1;1001,3;;25,8;21,9;26,5;25,7;21,9;21,6;79;75;79;62;3,5;1,6;
2024/01/01;2300 UTC;0;1002,7;1002,7;1002,1;;25,1;22;25,8;25,1;22,2;21,8;83;79;83;66;3;,7;
2024/01/02;0000 UTC;0;1003,4;1003,4;1002,7;;24,4;22,1;25,3;24,2;22,3;21,6;87;83;87;186;1,8;,7;
2024/01/02;0100 UTC;0;1004;1004;1003,4;;24,4;22,2;24,6;24,3;22,4;22,1;88;87;88;25;1,2;,7;
2024/01/02;0200 UTC;0;1003,8;1004,2;1003,8;;23,7;21,8;24,8;23,6;22,5;21,7;90;87;89;234;1,7;1,1;
