REGIAO:;NE
UF:;BA
ESTACAO:;BOM JESUS DA LAPA
CODIGO (WMO):;A418
LATITUDE:;-13,25111111
LONGITUDE:;-43,40527777
ALTITUDE:;447,75
DATA DE FUNDACAO:;18/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;961,5;961,5;960,3;;26,5;23,9;27,2;26,5;24;23,8;86;82;86;209;0;0;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;962,6;963;962,5;;24,7;22,6;25,8;24,7;23,3;22,6;88;86;88;342;6,1;,8;
2024/01/01;0400 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0500 UTC;0;961,8;962,1;961,8;;23,8;22,4;24,1;23,8;22,5;22,4;92;91;92;8;3,9;0;
2024/01/01;0600 UTC;0;961,2;961,8;961,2;;23,7;22,6;23,8;23,6;22,6;22,4;94;92;94;86;2,3;,2;
2024/01/01;0700 UTC;0;961,1;961,2;961;;23,6;22,6;23,7;23,6;22,7;22,5;95;93;94;51;2,6;,2;
2024/01/01;0800 UTC;0;961,2;961,2;960,9;;23,2;22,9;23,6;23,2;22,9;22,6;99;94;98;40;2,9;,6;
2024/01/01;0900 UTC;0;961,7;961,7;961,2;29,5;23,3;23,1;23,3;23,1;23,1;22,9;99;98;98;40;2,6;0;
2024/01/01;1000 UTC;0;962;962;961,7;335;24,4;23,1;24,4;23,3;23,1;22,9;98;92;92;86;2,3;,2;
2024/01/01;1100 UTC;0;962,8;962,8;962;684,3;25,4;23,2;25,5;24,4;23,4;23;93;87;88;56;2,9;,4;
2024/01/01;1200 UTC;0;963;963;962,8;1811;27,9;22,5;28,1;25,4;24;22,5;88;72;72;62;3,3;,7;
2024/01/01;1300 UTC;0;962,9;963;962,9;2830,5;28,9;22,7;29,7;27,7;23,6;22,2;76;66;70;50;4,1;1;
2024/01/01;1400 UTC;0;962,2;962,9;962,2;2232;29,5;22,2;29,5;28,7;23,3;21,5;71;64;65;276;3;0;
2024/01/01;1500 UTC;0;960,8;962,1;960,8;3406,4;31,7;22;32,2;29,4;23,3;21,9;67;56;57;346;3,3;,3;
2024/01/01;1600 UTC;0;959,5;960,8;959,5;4012;33,6;23,1;33,6;31,5;23,5;21,7;60;54;55;138;5,4;1;
2024/01/01;1700 UTC;0;958,5;959,5;958,5;3673,6;34,2;22,8;34,5;32,9;23,2;21,1;55;47;51;23;4,7;,1;
2024/01/01;1800 UTC;0;957,6;958,5;957,5;3361,6;34;22,6;35,2;33,9;22,8;20,8;52;46;51;346;7,4;2;
2024/01/01;1900 UTC;0;957,7;957,8;957,5;1938,4;32,1;23,3;34;32,1;23,3;21,6;60;50;60;170;7,4;,4;
2024/01/01;2000 UTC;0;958,7;958,7;957,7;596,3;27,8;23,2;32,1;27,8;23,9;22;77;59;76;276;10,1;0;
2024/01/01;2100 UTC;2,8;959,5;959,5;958,7;34,8;24;23,7;27,7;24;24;22,9;99;76;98;181;9,9;0;
2024/01/01;2200 UTC;,2;959,8;960;959,5;2,2;24,5;24;24,8;24;24,3;23,6;98;96;97;44;5,4;1,5;
2024/01/01;2300 UTC;,4;960,3;960,3;959,6;;24,9;24,4;24,9;24,4;24,6;23,8;98;94;97;101;3,4;0;
2024/01/02;0000 UTC;0;961,2;961,2;960,3;;24,3;24,2;24,9;24,3;24,7;24,1;99;97;99;33;2,6;0;
2024/01/02;0100 UTC;;961,5;961,6;961,2;;24;23,7;24,3;24;24,2;23,7;99;98;98;20;1,7;0;
2024/01/02;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0300 UTC;0;961,2;961,5;961,2;,9;24,5;24;24,6;24,2;24,2;23,6;98;95;97;66;0;0;
2024/01/02;0400 UTC;0;960,6;961,2;960,6;;24,4;24;24,6;24,4;24,2;23,9;98;96;97;78;1;0;
2024/01/02;0500 UTC;,2;960;960,6;960;;24,5;24,4;24,6;24,3;24,4;24;99;97;99;204;0;0;
2024/01/02;0600 UTC;0;959,5;960;959,5;;24,3;24,2;24,5;24,2;24,6;24,2;100;99;99;157;0;0;
2024/01/02;0700 UTC;0;959,9;959,9;959,5;;24;24,3;24,3;24;24,3;24,1;;99;;215;0;0;
2024/01/02;0800 UTC;0;960,7;960,7;959,9;;24,2;24,2;24,3;24;24,5;24,2;;100;100;262;1,1;0;
