REGIAO:;NE
UF:;BA
ESTACAO:;UNA
CODIGO (WMO):;A437
LATITUDE:;-15,28027777
LONGITUDE:;-39,09138888
ALTITUDE:;74,08
DATA DE FUNDACAO:;25/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1004,5;1004,5;1003,5;;25,2;23,1;25,7;25,2;23,2;23;88;86;88;335;1,6;,3;
2024/01/01;0100 UTC;0;1005;1005;1004,5;;24,7;23;25,2;24,7;23,2;22,9;90;88;90;326;2;,8;
2024/01/01;0200 UTC;0;1005,2;1005,2;1005;;24,5;22,7;24,7;24,5;23;22,7;90;89;90;340;2,1;,5;
2024/01/01;0300 UTC;0;1004,7;1005,3;1004,7;;24,2;22,7;24,5;24,2;22,7;22,5;91;90;91;333;1,9;1;
2024/01/01;0400 UTC;0;1004,3;1004,7;1004,3;;23,8;22,5;24,2;23,6;22,7;22,1;93;91;93;321;1,7;,2;
2024/01/01;0500 UTC;0;1004,1;1004,3;1004,1;;23,4;22,4;23,8;23,2;22,6;22;94;92;94;300;1,4;,5;
2024/01/01;0600 UTC;0;1004,1;1004,1;1004;;23,3;22,4;23,5;23,1;22,6;22,1;95;94;95;279;1,6;,5;
2024/01/01;0700 UTC;0;1003,9;1004,1;1003,9;;23,3;22,5;23,5;23,2;22,8;22,3;96;95;95;287;1,5;,9;
2024/01/01;0800 UTC;0;1004,2;1004,2;1003,9;;22,8;22,1;23,3;22,8;22,5;22;96;95;96;292;1,5;,1;
2024/01/01;0900 UTC;0;1004,7;1004,7;1004,2;72,8;22,9;22,3;22,9;22,7;22,3;22,1;97;96;97;285;1,5;,3;
2024/01/01;1000 UTC;0;1004,9;1004,9;1004,7;627,2;25;22,1;25;22,9;22,9;21,9;97;84;84;266;1,8;,4;
2024/01/01;1100 UTC;0;1005,1;1005,1;1004,9;1268,1;27,2;21,8;27,2;25;22,4;21,7;84;72;72;332;3,6;1,7;
2024/01/01;1200 UTC;0;1005,3;1005,3;1005,1;1798,8;28,4;21,4;28,4;27,1;21,9;21,1;73;66;66;13;4,9;1,4;
2024/01/01;1300 UTC;0;1005,3;1005,4;1005,2;918,6;27,2;23,4;28,4;27,1;23,4;21,4;80;66;80;7;5,7;2,3;
2024/01/01;1400 UTC;0;1004,7;1005,3;1004,7;1577,6;29;21,3;29;27;23,4;21,3;80;64;64;24;5,1;1,8;
2024/01/01;1500 UTC;0;1004;1004,7;1004;3216,2;31,1;21,7;31,1;29;21,9;20,3;66;54;58;21;6,6;2,1;
2024/01/01;1600 UTC;0;1003,2;1004,1;1003,2;3193,5;31;22;31,7;30,2;22,4;21;62;54;59;58;7,8;2,7;
2024/01/01;1700 UTC;0;1002,1;1003,2;1002,1;3149,4;30,5;21,5;31,4;30,5;21,9;20,9;59;54;59;59;7,2;2,5;
2024/01/01;1800 UTC;0;1001,7;1002,1;1001,6;2386;29,8;22,2;30,8;29,7;22,2;21,1;64;57;64;78;6,8;2,3;
2024/01/01;1900 UTC;0;1001,6;1001,7;1001,4;1695,1;29,2;22;30;29,2;22,4;21,7;66;62;65;28;7;2,2;
2024/01/01;2000 UTC;0;1002,1;1002,1;1001,6;878,4;28,4;22,1;29,5;28,3;22,8;21,5;70;63;69;64;6,7;,7;
2024/01/01;2100 UTC;0;1002,3;1002,3;1002,1;259,1;27,3;22,5;28,4;27,3;23;22,1;75;69;75;3;4,9;1,1;
2024/01/01;2200 UTC;0;1003,1;1003,1;1002,3;;26,3;23,2;27,3;26,3;23,2;22,4;83;75;83;161;4,3;0;
2024/01/01;2300 UTC;0;1003,8;1003,8;1003,1;;26;23,4;26,3;26;24,1;23,2;88;83;86;351;2,1;,7;
