REGIAO:;NE
UF:;BA
ESTACAO:;JACOBINA
CODIGO (WMO):;A440
LATITUDE:;-11,205
LONGITUDE:;-40,465
ALTITUDE:;440,78
DATA DE FUNDACAO:;01/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;962,5;962,6;961,5;;27,2;19,4;27,4;27,2;19,4;19;62;60;62;265;9,3;3,6;
2024/01/01;0100 UTC;0;962,8;962,8;962,5;;27,3;19,5;27,3;27,1;19,6;19,4;63;62;63;272;7,7;2,8;
2024/01/01;0200 UTC;0;963,4;963,4;962,8;;27;19,8;27,4;27;19,8;19,4;65;62;65;225;6;,9;
2024/01/01;0300 UTC;0;963,4;963,5;963,3;;27,3;20,2;27,4;26,9;20,5;19,7;66;64;65;69;5,7;3,6;
2024/01/01;0400 UTC;0;963,3;963,4;963,3;;26,6;19,7;27,3;26,6;20,1;19,6;66;64;66;60;6,3;2,3;
2024/01/01;0500 UTC;0;962,8;963,3;962,8;;25,9;19,3;26,6;25,9;19,9;19,3;68;66;67;97;3,8;1,7;
2024/01/01;0600 UTC;0;962,7;962,8;962,6;;25,2;18,3;25,9;25,2;19,4;18,3;68;65;65;103;3,5;1,1;
2024/01/01;0700 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0800 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0900 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1400 UTC;0;963,4;963,7;963,4;1035,3;30,7;18,9;31;30;19,5;18,8;53;48;50;46;;2;
2024/01/01;1500 UTC;0;962,5;963,4;962,5;1612,8;32;18,5;32,8;30,4;19,2;18,4;50;43;45;65;5,1;2,9;
2024/01/01;1600 UTC;0;961,1;962,5;961,1;1436;32,3;17,8;33,1;31,7;18,8;17,8;46;41;42;144;8,1;1,6;
2024/01/01;1700 UTC;0;959,6;961,1;959,6;1050,2;34,2;18,2;34,2;32,3;18,3;17,1;43;39;39;116;3,8;1,6;
2024/01/01;1800 UTC;0;958,7;959,6;958,7;647,5;34,1;16,1;34,8;33,9;18,2;16,1;39;34;34;79;6,7;3,4;
2024/01/01;1900 UTC;0;958,1;958,7;958;494,5;33,7;15,9;34,8;33,7;16,8;15,8;36;33;34;67;6,8;4;
2024/01/01;2000 UTC;0;958;958,1;957,9;260,7;33,5;15,6;33,7;33,3;16,6;15,6;36;34;34;62;6,4;2,5;
2024/01/01;2100 UTC;0;958,6;958,6;958;95,3;32,5;16;33,6;32,5;16,2;15,2;37;34;37;87;5;1,4;
2024/01/01;2200 UTC;0;959,4;959,4;958,6;;31,4;15,7;32,5;31,4;16;15,5;39;36;39;79;3,6;,8;
2024/01/01;2300 UTC;0;960,7;960,7;959,4;;31,1;14,9;31,4;30,7;16,9;14,9;43;38;38;89;4,5;1,5;
2024/01/02;0000 UTC;0;962,1;962,1;960,7;;30,6;15,3;31,2;30,6;15,4;14,6;40;37;40;78;4,5;1,6;
2024/01/02;0100 UTC;0;962,8;962,8;962,1;;29,6;16,9;30,6;29,6;17,1;15,4;47;40;46;65;5,8;2,1;
2024/01/02;0200 UTC;0;962,8;962,9;962,7;;28,6;17,9;29,6;28,6;17,9;16,5;53;45;53;88;8,8;2,4;
