REGIAO:;NE
UF:;CE
ESTACAO:;SOBRAL
CODIGO (WMO):;A306
LATITUDE:;-3,74805555
LONGITUDE:;-40,34583333
ALTITUDE:;92,07
DATA DE FUNDACAO:;12/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1002,1;1002,1;1001,2;0;28,3;19,3;29;28,3;19,3;18,4;58;53;58;157;8,3;3,2;
2024/01/01;0100 UTC;0;1002,6;1002,6;1002,1;;27,8;19,8;28,3;27,8;19,8;19,3;62;58;62;142;7,5;1,3;
2024/01/01;0200 UTC;,2;1002,4;1002,6;1002,4;0;26,5;19,8;27,8;26,5;20;19,7;67;62;67;123;5,2;0;
2024/01/01;0300 UTC;0;1002,7;1002,8;1002,4;0;25,8;20,4;26,5;25,8;20,6;19,8;72;67;72;178;7,4;1,2;
2024/01/01;0400 UTC;28;1002,4;1003;1002,4;1,4;22,2;18,2;25,8;22,1;19,9;17,9;78;71;78;220;8,8;0;
2024/01/01;0500 UTC;2;1001,2;1002,4;1001,2;0;22,6;19,1;22,7;22,2;19,2;18,3;81;78;81;252;2,5;0;
2024/01/01;0600 UTC;0;1000,8;1001,3;1000,7;0;22,8;19,2;23;22,6;19,4;18,9;81;79;80;196;0;0;
2024/01/01;0700 UTC;,2;1000,8;1000,9;1000,7;0;22,8;19,3;22,9;22,8;19,3;19,2;81;80;81;201;0;0;
2024/01/01;0800 UTC;0;1000,9;1000,9;1000,7;0;22,8;19,4;22,9;22,8;19,5;19,3;81;80;81;213;0;0;
2024/01/01;0900 UTC;0;1001,5;1001,5;1000,9;13;23;19,7;23;22,8;19,9;19,3;83;81;82;112;0;0;
2024/01/01;1000 UTC;0;1001,9;1001,9;1001,5;275,6;23,6;20,3;23,7;22,9;20,4;19,7;82;81;82;10;0;0;
2024/01/01;1100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;1400 UTC;0;1003;1003,4;1002,9;2089,4;28,9;22,2;29,2;27,3;23;21,7;74;67;68;134;4;0;
2024/01/01;1500 UTC;0;1002,1;1003;1002,1;2067,4;29,9;21,9;30;28,4;22,6;21,6;68;62;62;119;3,2;,2;
2024/01/01;1600 UTC;0;1001,1;1002,1;1001,1;1883,6;30,2;20,8;30,8;29,7;22,6;20,7;62;57;57;143;3,5;0;
2024/01/01;1700 UTC;0;1000,2;1001,1;1000,2;949;29,6;20,7;30,6;29,5;21,2;20,3;59;56;59;138;0;0;
2024/01/01;1800 UTC;,2;999,5;1000,2;999,4;997,2;30,4;21;30,7;29,5;21,4;20,4;59;57;57;244;0;0;
2024/01/01;1900 UTC;2;999,5;999,5;999,1;472,4;24,2;17,5;30,4;24,2;20,9;17,4;66;56;66;144;10,6;5,3;
2024/01/01;2000 UTC;3;1000,3;1000,3;999,5;112,6;24;19,3;24,7;23,9;19,3;17,6;75;66;75;131;10,6;,2;
2024/01/01;2100 UTC;1,6;1000,2;1000,6;1000,1;56,6;23,8;19,4;24;23,7;19,4;19,2;77;75;77;154;3,5;0;
2024/01/01;2200 UTC;0;1000,9;1001;1000,2;0;24,3;20,2;24,3;23,8;20,2;19,5;78;77;78;114;0;0;
2024/01/01;2300 UTC;0;1001,4;1001,4;1000,9;0;24,5;20,4;24,5;24,2;20,4;20,2;78;78;78;109;4,1;0;
2024/01/02;0000 UTC;0;1002,3;1002,3;1001,4;0;24,5;20,6;24,5;24,4;20,6;20,3;79;78;79;141;0;0;
2024/01/02;0100 UTC;0;1002,2;1002,3;1002,2;0;24,3;20,7;24,5;24,3;20,9;20,3;80;79;80;236;0;0;
2024/01/02;0200 UTC;0;1001,7;1002,2;1001,7;0;23,9;20,1;24,3;23,9;20,7;20,1;80;79;79;227;0;0;
2024/01/02;0300 UTC;0;1001,1;1001,7;1001,1;0;23,7;20;23,9;23,7;20,1;20;80;79;80;158;0;0;
