REGIAO:;NE
UF:;CE
ESTACAO:;IGUATU
CODIGO (WMO):;A319
LATITUDE:;-6,39638888
LONGITUDE:;-39,26888888
ALTITUDE:;221,56
DATA DE FUNDACAO:;30/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;986,4;986,4;985,6;;27,7;20,7;28,7;27,6;20,7;19,4;66;57;66;264;3,6;1,5;
2024/01/01;0100 UTC;0;986,9;986,9;986,4;;27,6;19,6;27,8;27,6;20,7;19,6;66;62;62;281;3;1,6;
2024/01/01;0200 UTC;0;987,2;987,5;986,9;;26,4;23,6;28;26,4;23,6;19,4;85;61;85;360;7,9;4,6;
2024/01/01;0300 UTC;0;987,3;987,5;987,2;;25;;26,4;25;;;;;;16;8,4;4,6;
2024/01/01;0400 UTC;1,8;986,9;987,4;986,8;;23,2;;25;23,2;;;;;;48;10;5,3;
2024/01/01;0500 UTC;41,8;987,9;987,9;986,9;;22,1;;23,2;22;;;;;;27;8,8;2,1;
2024/01/01;0600 UTC;24,4;987,1;987,9;987;;21,9;;22,1;21,7;;;;;;352;6,4;3,2;
2024/01/01;0700 UTC;,4;987;987,1;986,8;;22,2;;22,2;21,9;;;;;;336;6,5;2,8;
2024/01/01;0800 UTC;13,2;987,1;987,4;987;;21,6;;22,2;21,6;;;;;;314;6,9;1,2;
2024/01/01;0900 UTC;26;987,4;987,5;987,1;1,1;22;;22;21,4;;;;;;77;6,6;3,6;
2024/01/01;1000 UTC;0;988,2;988,2;987,4;28,1;21,9;;22,1;21,7;;;;;;236;6,6;,5;
2024/01/01;1100 UTC;0;988,9;988,9;988,2;161,1;23;;23;21,9;;;;;;220;2,8;1,3;
2024/01/01;1200 UTC;0;989,3;989,3;988,9;303,4;23,4;;23,4;23;;;;;;200;2,6;1,4;
2024/01/01;1300 UTC;0;989,2;989,4;989,1;536,5;24,6;;24,6;23,4;;;;;;151;2,8;,8;
2024/01/01;1400 UTC;0;989;989,2;989;723,1;25,9;;25,9;24,4;;;;;;142;1,8;,4;
2024/01/01;1500 UTC;0;988,5;989;988,5;1023,4;26,4;;26,5;25,5;;;;;;226;2,9;1,3;
2024/01/01;1600 UTC;0;987,5;988,5;987,5;1151;27;24,7;27,5;26,2;;;;;88;1;3,7;2,1;
2024/01/01;1700 UTC;0;986,1;987,5;986,1;1747,1;28,8;21,6;29;27;25,2;21,2;88;65;65;37;6,1;3,2;
2024/01/01;1800 UTC;0;985,3;986,1;985,3;1364,3;28,9;18,8;29,5;28,3;21,3;18,5;65;54;55;27;6,4;2,5;
2024/01/01;1900 UTC;0;984,8;985,2;984,6;747,6;28,6;19,5;29,2;28,6;19,9;18,3;59;53;58;46;6;3;
2024/01/01;2000 UTC;0;984,9;984,9;984,6;449,1;28,4;19,6;29,2;28,4;20,6;19,1;61;56;59;70;5,3;2,4;
2024/01/01;2100 UTC;0;985,2;985,2;984,9;63,8;27,4;21,6;28,4;27,4;21,6;19,4;71;58;71;124;4,1;1,3;
2024/01/01;2200 UTC;0;985,1;985,2;985,1;;26,3;21,8;27,4;26,3;21,8;21,5;76;71;76;97;3,2;2,2;
2024/01/01;2300 UTC;0;986,2;986,2;985,1;;25,9;22,4;26,3;25,9;22,4;21,5;81;76;81;106;3,2;1,3;
2024/01/02;0000 UTC;0;986,9;986,9;986,2;;25,5;23,9;25,9;25,2;23,9;22,3;91;81;91;91;2,1;1,4;
2024/01/02;0100 UTC;0;987,3;987,3;986,7;;25,2;;25,5;25;;;;;;347;2,3;,9;
2024/01/02;0200 UTC;0;986,8;987,3;986,8;;25,1;;25,2;24,4;;;;;;92;2,2;,9;
2024/01/02;0300 UTC;0;986,7;986,9;986,7;;24,9;;25,2;24,9;;;;;;29;4,3;2;
2024/01/02;0400 UTC;0;986,1;986,7;986,1;;24,9;;25;24,8;;;;;;27;5,8;2,9;
2024/01/02;0500 UTC;0;985,9;986,1;985,8;;24,9;;24,9;24,6;;;;;;19;5,5;2,9;
2024/01/02;0600 UTC;0;985,7;985,9;985,6;;24,7;;24,9;24,7;;;;;;24;6,4;2,6;
2024/01/02;0700 UTC;0;986,1;986,1;985,6;;24,7;;24,7;24,6;;;;;;28;5,3;2,1;
2024/01/02;0800 UTC;0;986,8;986,8;986,1;;24,6;;24,8;24,6;;;;;;19;4,5;2,1;
2024/01/02;0900 UTC;0;987,3;987,3;986,8;9,5;24,5;;24,6;24,5;;;;;;14;3,8;1,8;
2024/01/02;1000 UTC;0;987,7;987,7;987,3;125,9;25,3;;25,3;24,5;;;;;;21;3,6;2;
2024/01/02;1100 UTC;0;988,1;988,1;987,7;485,1;26,1;23,8;26,2;25,3;;;;;87;12;4,5;2,6;
