REGIAO:;NE
UF:;CE
ESTACAO:;MORADA NOVA
CODIGO (WMO):;A332
LATITUDE:;-5,0911111
LONGITUDE:;-38,36472222
ALTITUDE:;93
DATA DE FUNDACAO:;24/08/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1001,6;1001,6;1000,2;0;27,5;22,4;28,1;27,5;22,4;21,5;74;68;74;14;9,3;4,2;
2024/01/01;0100 UTC;0;1002;1002;1001,6;0;27,1;23,4;27,5;27,1;23,4;22,4;80;74;80;7;6,9;3,5;
2024/01/01;0200 UTC;0;1001,9;1002,5;1001,9;0;26,9;23,8;27,1;26,8;23,8;23,4;83;80;83;6;6,6;3,3;
2024/01/01;0300 UTC;0;1001,9;1001,9;1001,7;0;26,8;24,2;26,9;26,8;24,2;23,8;86;83;86;1;5,6;2,1;
2024/01/01;0400 UTC;0;1001,1;1001,9;1001,1;0;26,6;24,2;26,8;26,6;24,2;24,2;87;86;87;350;4,2;2,6;
2024/01/01;0500 UTC;0;1000,7;1001,1;1000,6;0;26,4;24,6;26,7;26,4;24,6;24,2;89;87;89;330;4,4;2,4;
2024/01/01;0600 UTC;0;1000,9;1001,1;1000,5;0;26,4;25;26,5;26,3;25;24,5;92;89;92;280;4,8;2,4;
2024/01/01;0700 UTC;3,6;1001,2;1001,5;1000,7;,4;23,9;23,1;26,4;23,9;25,4;23,1;97;92;95;254;8,7;4,1;
2024/01/01;0800 UTC;4;1002,2;1002,3;1001,2;0;23,3;;23,9;23,2;24,1;23,1;;95;;214;7,9;,8;
2024/01/01;0900 UTC;,8;1001,4;1002,2;1001,3;4,1;23,6;;23,6;23,2;;;;;;156;3,6;1,8;
2024/01/01;1000 UTC;,2;1002,3;1002,3;1001,4;81,9;23,6;;23,7;23,5;;;;;;97;3,1;,8;
2024/01/01;1100 UTC;0;1002,8;1002,8;1002;306,7;24,7;;24,7;23,7;;;;;;153;3,7;2;
2024/01/01;1200 UTC;0;1003,4;1003,4;1002,8;559,2;25,1;;25,1;24;;;;;;294;5,7;,9;
