REGIAO:;NE
UF:;CE
ESTACAO:;JAGUARUANA
CODIGO (WMO):;A339
LATITUDE:;-4,83777777
LONGITUDE:;-37,69972221
ALTITUDE:;12
DATA DE FUNDACAO:;10/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1007,7;1007,8;1007,2;;27;22,9;27,4;26,9;22,9;22,7;78;76;78;14;3,3;1,3;
2024/01/01;0100 UTC;0;1008,3;1008,4;1007,7;;27,1;23;27,1;26,9;23;22,8;78;78;78;36;2,8;1,4;
2024/01/01;0200 UTC;0;1008,3;1008,5;1008,2;;26,6;22,7;27,1;26,6;23;22,7;79;78;79;16;2,3;,9;
2024/01/01;0300 UTC;0;1007,7;1008,3;1007,6;;26,7;23,1;26,8;26,6;23,1;22,8;81;79;80;48;2,5;1;
2024/01/01;0400 UTC;0;1007,1;1007,7;1007,1;;26,6;23,2;26,8;26,5;23,2;23;82;80;82;2;2,6;1,3;
2024/01/01;0500 UTC;0;1006,5;1007,1;1006,5;;25,6;22,4;26,9;25,6;23,3;22,2;83;77;83;45;6,1;2,9;
2024/01/01;0600 UTC;0;1006,5;1006,8;1006,4;;25,5;21,8;25,9;25,4;22,8;21,8;83;80;80;12;6;1,9;
2024/01/01;0700 UTC;0;1006,8;1006,9;1006,4;;25,7;21,3;25,8;25,5;21,8;21,2;80;76;77;17;4;1,5;
2024/01/01;0800 UTC;0;1007;1007,1;1006,6;;26;22,2;26,2;25,7;22,3;21,3;79;77;79;315;2,7;,2;
2024/01/01;0900 UTC;0;1008,1;1008,1;1006,9;;24,4;21,4;26,1;24,4;22,3;21,4;84;79;84;190;8,1;2,8;
2024/01/01;1000 UTC;0;1008,4;1009;1007,9;8,2;23;21,3;24,5;23;21,7;20,9;90;84;90;242;8,2;3,2;
2024/01/01;1100 UTC;,6;1009,4;1009,4;1008,4;37,8;23,3;21,8;23,5;23;21,9;21,3;91;90;91;197;6;,6;
2024/01/01;1200 UTC;,4;1009,9;1010;1009,4;116,6;23,5;22;23,6;23,3;22,1;21,8;91;91;91;77;4,9;2,9;
2024/01/01;1300 UTC;0;1010,6;1010,6;1009,9;265,9;23,6;22,1;23,6;23,2;22,1;21,7;91;91;91;104;5;2,7;
2024/01/01;1400 UTC;0;1010;1010,6;1010;653,3;24,1;22,3;24,3;23,6;22,7;22;91;89;89;69;5,4;1,5;
2024/01/01;1500 UTC;0;1009,4;1010;1009,4;619,3;24,6;22,1;24,8;24,1;22,5;21,9;89;85;86;70;3,4;2,2;
2024/01/01;1600 UTC;0;1008;1009,4;1008;901,9;25,7;21,5;25,7;24,5;22,2;21,2;86;78;78;152;3,4;1;
2024/01/01;1700 UTC;0;1006,4;1008;1006,4;945,9;26,2;21,1;26,3;25,6;21,6;21;78;73;73;232;3,3;2,1;
2024/01/01;1800 UTC;0;1005,6;1006,4;1005,5;669,4;26,2;21,3;26,4;26,1;21,4;20,5;75;71;75;259;4,8;2,5;
2024/01/01;1900 UTC;0;1006,1;1006,3;1005,6;446,4;26,3;21,9;26,5;26,2;22;21,3;77;74;77;94;3,7;1,6;
2024/01/01;2000 UTC;0;1006,2;1006,6;1006,1;367,7;26,5;21,5;26,5;26,2;21,9;21,4;77;74;74;90;3,3;1,6;
2024/01/01;2100 UTC;0;1006,8;1006,8;1006,2;79,9;25,6;21,6;26,5;25,6;21,8;21,3;78;73;78;76;4,3;1,7;
2024/01/01;2200 UTC;0;1007,3;1007,3;1006,8;;25,3;21,9;25,6;25,3;21,9;21,5;82;78;82;78;3,8;2,1;
2024/01/01;2300 UTC;0;1007,9;1007,9;1007,2;;24,8;21,9;25,3;24,8;22;21,9;84;82;84;77;3,6;1,6;
2024/01/02;0000 UTC;0;1008,7;1008,7;1007,9;;24,7;22;24,9;24,7;22;21,9;85;84;85;103;3,2;1;
2024/01/02;0100 UTC;0;1008,3;1008,7;1008,3;;24,4;21,7;24,7;24,4;22;21,7;86;85;85;121;2,1;1;
2024/01/02;0200 UTC;0;1008;1008,3;1008;;24,4;21,1;24,5;24,2;21,7;21;85;82;82;97;3,1;1,8;
2024/01/02;0300 UTC;0;1007,5;1008;1007,5;;23,9;21,2;24,4;23,9;21,2;21;85;81;85;54;2,9;1,6;
2024/01/02;0400 UTC;0;1007;1007,5;1006,9;;24;21,3;24,1;23,9;21,4;21,2;85;85;85;87;2,8;1,6;
2024/01/02;0500 UTC;0;1006,4;1007;1006,4;;23,8;21,2;24,1;23,8;21,4;21,2;85;84;85;103;3,1;2,2;
2024/01/02;0600 UTC;,2;1006,1;1006,4;1006,1;;24;21,4;24,2;23,7;21,4;21,2;86;85;85;75;3,1;1,5;
2024/01/02;0700 UTC;0;1006,4;1006,4;1006,1;;24,1;21,2;24,2;23,9;21,4;21,1;86;83;84;142;3;,6;
2024/01/02;0800 UTC;0;1006,9;1006,9;1006,4;;24,2;21,6;24,2;23,8;21,6;21;86;84;86;114;2,2;1,2;
2024/01/02;0900 UTC;0;1007,6;1007,6;1006,8;80,8;24,4;21,9;24,4;24,1;22;21,6;87;86;86;158;2,8;1,3;
2024/01/02;1000 UTC;0;1008,2;1008,2;1007,5;572;26,5;22,3;27;24,3;23,1;21,8;86;77;78;100;2,9;,8;
2024/01/02;1100 UTC;0;1008,5;1008,5;1008,1;985,1;27,5;22,3;27,8;26,5;22,9;22,3;79;73;73;64;4;2;
2024/01/02;1200 UTC;0;1008,4;1008,6;1008,4;2092,7;29,5;22,7;29,5;27,5;22,9;22,1;75;65;67;61;6,1;3,4;
2024/01/02;1300 UTC;0;1008,2;1008,5;1008,1;1791,4;30,4;22,1;30,4;28,8;23,1;21,9;69;61;61;54;5,9;3;
