REGIAO:;NE
UF:;CE
ESTACAO:;ACARAU
CODIGO (WMO):;A360
LATITUDE:;-3,1211111
LONGITUDE:;-40,08722221
ALTITUDE:;67,15
DATA DE FUNDACAO:;22/04/09
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;;;;0;27,1;23,6;27,3;27,1;23,7;23,6;81;81;81;22;3,5;1;
2024/01/01;0100 UTC;0;;;;0;27,1;23,6;27,1;27;23,7;23,6;82;81;81;104;2;1,3;
2024/01/01;0200 UTC;0;;;;0;26,6;23,5;27,1;26,6;23,6;23,5;83;81;83;280;3;,9;
2024/01/01;0300 UTC;0;;;;0;26,2;23,7;26,6;26,2;23,7;23,5;86;83;86;205;1,8;1,2;
2024/01/01;0400 UTC;0;;;;0;26,1;23,7;26,3;26,1;23,8;23,7;86;86;86;201;2,2;1,2;
2024/01/01;0500 UTC;,6;;;;0;26;23,9;26,1;26;23,9;23,7;88;86;88;217;2,5;1,5;
2024/01/01;0600 UTC;,4;;;;0;26;24,2;26;25,9;24,2;23,9;90;88;90;239;4;1,1;
2024/01/01;0700 UTC;,6;;;;0;25,5;23,8;26;25,5;24,3;23,8;91;90;90;232;2,4;1,1;
2024/01/01;0800 UTC;,2;;;;0;25,4;23,8;25,6;25,4;23,9;23,8;91;90;91;141;2,6;1,6;
2024/01/01;0900 UTC;,2;;;;6,3;24,9;23,2;25,5;24,9;23,9;23,2;91;90;90;43;4,3;2;
2024/01/01;1000 UTC;,2;;;;204,7;24,1;22,5;24,9;24;23,2;22,4;91;90;91;56;4,3;1,4;
2024/01/01;1100 UTC;0;;;;400,7;23,8;22,2;24,2;23,6;22,6;21,9;91;90;90;95;4,2;,4;
2024/01/01;1200 UTC;0;;;;948,9;25,3;22,8;25,3;23,8;22,8;22,2;91;86;86;50;2,5;1,3;
2024/01/01;1300 UTC;0;;;;1798,2;26,9;22,4;27,1;25,3;23;22;86;74;76;41;6;2,4;
2024/01/01;1400 UTC;0;;;;2565;29,8;22,3;29,8;26,9;23;21,7;77;63;64;83;4,6;1,5;
2024/01/01;1500 UTC;0;;;;2581,9;30,3;21,5;30,8;29,7;22,3;21,2;64;57;59;60;4,9;2,7;
2024/01/01;1600 UTC;0;;;;1055,9;29,3;20,9;30,3;29,3;21,9;20,7;63;58;60;47;5,8;3,4;
2024/01/01;1700 UTC;0;;;;1756,5;30,1;20,3;30,3;29,1;20,5;19,4;60;53;56;42;7,5;4,3;
2024/01/01;1800 UTC;0;;;;727,4;27,9;22,4;30,4;27,9;22,4;20,3;72;55;72;43;7,5;2,3;
2024/01/01;1900 UTC;,4;;;;142,2;26,7;23,6;27,9;26,7;23,7;22,3;83;72;83;59;4,5;2,1;
2024/01/01;2000 UTC;,6;;;;125,4;25,9;23,5;26,7;25,9;23,6;23,4;87;83;86;61;3,7;1,8;
2024/01/01;2100 UTC;0;;;;45,7;25,6;23,4;26;25,6;23,6;23,3;87;86;87;59;2,9;1,4;
2024/01/01;2200 UTC;0;;;;0;25,4;23,4;25,6;25,4;23,5;23,4;89;87;89;169;2,1;,8;
2024/01/01;2300 UTC;0;;;;0;25,3;23,4;25,5;25,3;23,5;23,4;89;89;89;105;2,8;,5;
2024/01/02;0000 UTC;0;;;;0;25,1;23,4;25,3;25,1;23,5;23,3;90;89;90;98;2,1;,5;
2024/01/02;0100 UTC;0;;;;0;24,7;23;25,2;24,7;23,4;23;91;90;91;184;1,6;1;
2024/01/02;0200 UTC;0;;;;0;24,4;22,9;24,7;24,4;23,1;22,9;91;91;91;192;2,1;1,2;
2024/01/02;0300 UTC;0;;;;0;24,3;22,8;24,4;24,2;22,9;22,7;91;91;91;143;2,2;1,1;
2024/01/02;0400 UTC;0;;;;0;24;22,5;24,3;24;22,8;22,5;91;91;91;107;2,3;,7;
2024/01/02;0500 UTC;0;;;;0;24;22,5;24;23,8;22,5;22,4;92;91;92;152;2,1;1;
2024/01/02;0600 UTC;0;;;;0;23,8;22,4;24;23,8;22,5;22,4;92;91;91;135;2,5;1,2;
2024/01/02;0700 UTC;0;;;;,2;23,8;22,4;23,8;23,7;22,4;22,3;92;91;92;162;2,7;1,6;
2024/01/02;0800 UTC;,2;;;;,2;23,9;22,5;23,9;23,8;22,5;22,4;92;91;92;157;2,9;1,4;
2024/01/02;0900 UTC;0;;;;35,5;24,2;22,7;24,2;23,9;22,7;22,4;92;91;91;192;2,6;1,2;
2024/01/02;1000 UTC;0;;;;236,1;25;23,5;25;24,2;23,5;22,7;92;91;91;165;3,5;1,6;
2024/01/02;1100 UTC;0;;;;1299,7;27,2;23,6;27,2;25;24,5;23,5;91;81;81;126;4;2,3;
2024/01/02;1200 UTC;0;;;;2023,3;28,9;23,2;28,9;27;23,8;22,8;81;71;72;101;5,2;2,7;
2024/01/02;1300 UTC;0;;;;2520,6;29,7;22;30,5;28,9;23,2;21,7;72;62;63;85;5,9;2,9;
2024/01/02;1400 UTC;0;;;;1328;28,5;22,8;30,3;27,3;23,1;21,9;78;61;71;86;9,9;3,9;
2024/01/02;1500 UTC;0;;;;2889;30,7;22,9;30,9;28,5;23,5;22,6;71;62;63;68;7,2;3,9;
2024/01/02;1600 UTC;0;;;;2198,8;31,4;22,1;31,5;30,7;23,1;21,7;63;56;58;46;7,4;4,8;
2024/01/02;1700 UTC;0;;;;1886,4;30,4;22,3;32,1;30,4;22,8;21,9;62;55;62;52;7,8;3,7;
2024/01/02;1800 UTC;0;;;;1257;30,3;23,8;30,9;30,2;23,8;22,2;68;60;68;62;8,4;4,6;
2024/01/02;1900 UTC;0;;;;678,3;28,5;23;30,3;28,5;24,3;23;75;66;72;53;8;3,1;
2024/01/02;2000 UTC;0;;;;459,5;28,7;22,8;29,1;28,5;23,2;22,7;73;70;71;63;6;3,3;
2024/01/02;2100 UTC;0;;;;108,1;28;22,9;28,7;28;22,9;22,2;74;69;74;62;6,5;2,9;
2024/01/02;2200 UTC;0;;;;0;27,6;23,5;28;27,6;23,5;22,9;78;74;78;65;4,9;1,9;
2024/01/02;2300 UTC;0;;;;0;27,1;23,5;27,6;27,1;23,6;23,5;81;78;81;81;3,6;1,7;
2024/01/03;0000 UTC;0;;;;0;26,7;23,4;27,1;26,7;23,5;23,4;82;81;82;84;3,8;1,7;
2024/01/03;0100 UTC;0;;;;0;26,3;23,3;26,7;26,3;23,4;23,2;84;82;84;86;2,9;1,1;
2024/01/03;0200 UTC;0;;;;,2;26,1;23,3;26,3;26;23,4;23,2;85;84;84;99;3,6;1,9;
2024/01/03;0300 UTC;0;;;;0;25,6;23,2;26,1;25,6;23,3;23,2;87;84;87;109;3,1;1,7;
2024/01/03;0400 UTC;0;;;;,3;25,1;23;25,6;25,1;23,2;22,9;88;87;88;139;3,9;2,3;
2024/01/03;0500 UTC;0;;;;6,2;24,8;22,8;25,1;24,8;23;22,8;89;88;89;123;3,9;1,5;
2024/01/03;0600 UTC;0;;;;18,9;24,5;22,7;24,8;24,5;22,9;22,7;90;89;90;131;3,7;2,1;
2024/01/03;0700 UTC;0;;;;5,5;24,2;22,5;24,5;24,2;22,7;22,4;90;90;90;168;3,9;1;
2024/01/03;0800 UTC;0;;;;23,6;24,3;22,6;24,3;24,2;22,7;22,4;91;90;90;156;3,2;1,3;
2024/01/03;0900 UTC;0;;;;63,3;24,5;22,9;24,5;24,3;22,9;22,6;91;90;91;134;2,7;1,5;
2024/01/03;1000 UTC;0;;;;389,2;25,6;23,5;25,6;24,5;23,5;22,9;91;88;88;116;4,1;2,6;
2024/01/03;1100 UTC;0;;;;1268,6;27,9;23,1;27,9;25,6;23,7;22,8;88;74;75;99;5,8;3,7;
2024/01/03;1200 UTC;0;;;;1360,6;29,3;22,3;29,3;27,9;23,1;22,3;75;66;66;90;7,4;4,1;
2024/01/03;1300 UTC;0;;;;2732,6;31,5;21,9;31,5;29,3;22,4;21,6;66;56;57;97;8,5;4,2;
2024/01/03;1400 UTC;0;;;;3014,3;32,8;21,4;33,4;31,1;22,7;21,1;60;49;51;85;8,6;5,2;
2024/01/03;1500 UTC;0;;;;3097,6;33,9;20,6;34;32,8;21,7;20,3;51;45;46;73;9,2;4,9;
2024/01/03;1600 UTC;0;;;;2895,8;33,4;22;34;33;22,2;20,1;53;45;51;39;9,1;4,2;
2024/01/03;1700 UTC;,2;;;;2391,2;33,1;22,1;33,7;32,7;22,3;20,8;54;49;53;69;8,5;5,2;
2024/01/03;1800 UTC;0;;;;2289,3;32,8;22,3;33,5;32,6;22,6;21,4;55;49;54;50;9,5;5,6;
2024/01/03;1900 UTC;0;;;;1824,5;31,8;22;33;31,7;22,2;21,1;56;51;56;69;10,5;5,5;
2024/01/03;2000 UTC;0;;;;831,9;29,9;22,8;31,8;29,9;22,8;21,9;66;56;66;53;9,5;5,1;
2024/01/03;2100 UTC;0;;;;196,7;28,1;22,8;29,9;28,1;23,2;22,8;73;66;73;56;9;4;
2024/01/03;2200 UTC;0;;;;1,1;27,5;23,3;28,1;27,5;23,3;22,8;78;73;78;68;7,3;3,3;
2024/01/03;2300 UTC;0;;;;1;26,9;23,4;27,5;26,9;23,4;23,3;81;78;81;80;5,1;2,1;
2024/01/04;0000 UTC;0;;;;12,8;26,5;23,4;26,9;26,5;23,5;23,4;83;81;83;88;3,3;1,7;
2024/01/04;0100 UTC;0;;;;2,6;26,1;23,3;26,5;26,1;23,5;23,3;85;83;85;106;3,3;2;
2024/01/04;0200 UTC;0;;;;2,4;25,1;22,7;26,1;25,1;23,3;22,7;87;85;87;173;2,9;1,2;
2024/01/04;0300 UTC;0;;;;0;24,2;22,1;25,1;24,1;22,8;22;89;87;88;181;2;,9;
2024/01/04;0400 UTC;0;;;;0;23,5;21,6;24,1;23,4;22,1;21,6;90;88;90;202;1,5;,9;
2024/01/04;0500 UTC;0;;;;0;24,7;23;24,7;23,3;23;21,5;90;90;90;166;2,1;1;
2024/01/04;0600 UTC;0;;;;0;24,7;23;24,8;24,7;23,1;23;91;90;91;136;3,3;2;
2024/01/04;0700 UTC;0;;;;0;24,7;23,1;24,8;24,6;23,1;23;91;90;90;115;3,5;2;
2024/01/04;0800 UTC;0;;;;0;24,5;22,8;24,8;24,5;23,1;22,8;91;90;91;167;3,7;,9;
2024/01/04;0900 UTC;0;;;;39,2;24,5;22,9;24,5;24,3;22,9;22,7;91;91;91;151;3,6;1,8;
2024/01/04;1000 UTC;0;;;;447,6;26;23,7;26;24,5;23,8;22,9;91;87;87;127;4,7;2,9;
2024/01/04;1100 UTC;0;;;;1075,7;27,8;23,1;27,8;26;23,7;22,9;87;76;76;91;6,6;4;
2024/01/04;1200 UTC;0;;;;1819,5;30,5;21,5;30,7;27,8;23,2;21,5;76;58;59;86;9,2;5,7;
2024/01/04;1300 UTC;0;;;;2145,5;31,7;21,5;32,7;30,4;22,3;21,3;61;52;55;78;9,8;5,3;
2024/01/04;1400 UTC;0;;;;3264,3;33,9;19,9;34,1;31,7;21,5;18;55;39;44;81;12,3;6,2;
2024/01/04;1500 UTC;0;;;;3585,9;34,3;19,3;34,8;33,9;20,7;18,6;45;39;41;80;11,5;6,3;
2024/01/04;1600 UTC;0;;;;3455,6;34,9;18,8;35,1;34;20,4;18,5;44;38;39;77;10,8;5,9;
2024/01/04;1700 UTC;0;;;;3173,1;34,8;18,8;35,4;34,6;19,6;18;41;36;39;80;10;6;
2024/01/04;1800 UTC;0;;;;2552,3;34,4;19,2;35;34,2;19,7;18,5;42;38;41;72;11,4;5,9;
2024/01/04;1900 UTC;0;;;;1865,5;33,2;20,1;34,4;33,2;20,4;19,3;46;41;46;67;11,4;5,1;
2024/01/04;2000 UTC;0;;;;1011,9;30,9;21,2;33,2;30,9;21,2;20,2;56;47;56;64;11,2;6;
2024/01/04;2100 UTC;0;;;;191,4;28,6;22,2;30,9;28,6;22,2;21;68;56;68;70;11;5,2;
2024/01/04;2200 UTC;0;;;;0;27,6;22,9;28,6;27,6;22,9;22,3;76;68;76;68;9,8;5;
2024/01/04;2300 UTC;0;;;;0;27;23,1;27,6;27;23,1;22,9;79;76;79;68;9;5;
2024/01/05;0000 UTC;0;;;;0;26,6;23,1;27;26,6;23,1;23;81;79;81;74;9;3,8;
2024/01/05;0100 UTC;0;;;;0;26;23,1;26,6;26;23,1;23;84;81;84;85;5,5;3,2;
2024/01/05;0200 UTC;0;;;;0;25,5;23;26;25,5;23,1;22,9;86;84;86;89;4,8;2,1;
2024/01/05;0300 UTC;0;;;;0;25,2;23;25,5;25,2;23,1;22,9;87;86;87;115;3,2;1,3;
2024/01/05;0400 UTC;0;;;;0;24,9;22,9;25,2;24,8;23;22,8;89;87;89;127;2,5;1,3;
2024/01/05;0500 UTC;0;;;;0;24,5;22,8;24,9;24,5;22,9;22,7;90;89;90;116;2,7;1,4;
2024/01/05;0600 UTC;0;;;;0;24;22,4;24,6;24;22,8;22,4;91;90;91;172;3,3;1,1;
2024/01/05;0700 UTC;0;;;;0;23,8;22,3;24,2;23,8;22,6;22,3;91;91;91;157;2,5;,9;
2024/01/05;0800 UTC;0;;;;0;23,8;22,3;24,1;23,8;22,6;22,3;92;91;91;140;3,2;1,3;
2024/01/05;0900 UTC;,4;;;;39,7;24,1;22,7;24,1;23,6;22,7;22,1;92;91;91;127;3,1;1,7;
2024/01/05;1000 UTC;0;;;;566,2;26,2;23,1;26,2;24,1;23,6;22,7;91;83;83;117;6,3;3,7;
2024/01/05;1100 UTC;0;;;;1502,2;28,6;22,3;28,6;26,2;23,2;22,3;83;69;69;100;8,7;5,2;
2024/01/05;1200 UTC;0;;;;2256,9;30,8;20,7;30,9;28,6;22,5;20,6;69;54;55;101;9,9;5,7;
2024/01/05;1300 UTC;0;;;;2982,7;33;20,1;33;30,8;21;19,8;55;47;47;87;9,6;4,9;
2024/01/05;1400 UTC;0;;;;3424,2;34,6;20,3;34,6;32,6;20,6;19,8;49;43;43;90;9,4;3,8;
2024/01/05;1500 UTC;,2;;;;2685,5;34,3;20,4;35,8;33,5;20,9;19,3;47;38;44;75;8,8;4,1;
2024/01/05;1600 UTC;0;;;;2752,5;34,6;19,9;35,1;34;21,5;19,9;48;42;42;76;10,2;5,9;
2024/01/05;1700 UTC;0;;;;3023,2;35,2;20,1;35,8;34,6;20,5;18,9;43;38;42;75;9,9;5,6;
