REGIAO:;NE
UF:;CE
ESTACAO:;TIANGUA
CODIGO (WMO):;A368
LATITUDE:;-3,73222221
LONGITUDE:;-41,01194444
ALTITUDE:;756
DATA DE FUNDACAO:;15/03/18
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;930,6;930,6;929,6;;22,3;20,1;22,6;21,8;20,8;19,6;90;87;88;256;2,6;1,3;
2024/01/01;0100 UTC;0;931;931;930,6;;22,2;20,5;22,4;22;21;20;92;88;90;37;3,3;1,5;
2024/01/01;0200 UTC;,8;931;931;930,8;;21,8;21;22,3;21,8;21;20,5;95;90;95;276;3,3;,7;
2024/01/01;0300 UTC;1,8;930,5;931;930,5;;21,7;20,6;21,9;21,5;21;20,4;95;93;93;56;3,9;1,5;
2024/01/01;0400 UTC;,6;929,9;930,5;929,9;;21,5;20,3;21,7;21,4;20,6;20,2;94;93;93;73;3,6;1,7;
2024/01/01;0500 UTC;,4;929,4;929,9;929,3;;21,4;20,4;21,6;21,2;20,6;20;95;91;94;3;3;,7;
2024/01/01;0600 UTC;0;929;929,4;928,9;;21,4;20,6;21,6;21,2;20,8;20,3;95;94;95;309;1,9;,8;
2024/01/01;0700 UTC;0;928,9;929;928,8;;21,4;20,7;21,5;21,2;20,8;20,4;96;95;96;266;1,4;,7;
2024/01/01;0800 UTC;0;928,4;928,9;928,4;;21,2;20,6;21,5;21,2;20,9;20,5;96;96;96;344;1,6;,5;
2024/01/01;0900 UTC;0;928,6;928,6;928,3;8,1;21,3;20,6;21,3;21,1;20,6;20,5;96;96;96;62;2,1;1;
2024/01/01;1000 UTC;0;929,5;929,5;928,6;209,6;21,8;20,3;21,9;21,3;20,8;19,5;96;89;91;6;3;,9;
2024/01/01;1100 UTC;,2;930,3;930,3;929,5;712,8;22,9;20,6;22,9;21,7;20,9;20;93;86;87;28;3,4;1,1;
2024/01/01;1200 UTC;0;931;931;930,3;1094,9;23;21;23,5;22,7;21,4;20,3;88;85;88;58;5,4;2,6;
2024/01/01;1300 UTC;0;931;931,1;930,9;1556,1;23,8;21,3;23,8;22,7;21,4;20,5;90;86;86;52;6,1;2,6;
2024/01/01;1400 UTC;0;930,8;931,1;930,8;2215,6;24,1;20,9;24,9;23,4;22,2;20,6;87;79;82;55;5,7;3,3;
2024/01/01;1500 UTC;0;930,2;930,8;930,2;2124,3;25;20,7;25,5;24,1;21,4;20,4;83;75;77;45;6,5;2,9;
2024/01/01;1600 UTC;0;929,6;930,2;929,5;1037;23,3;21,3;25;23,1;21,9;20,3;90;77;89;49;6,5;3,7;
2024/01/01;1700 UTC;0;929;929,7;928,9;549,6;23,4;20,5;23,6;23,1;21,3;20,1;89;82;84;72;6;2,4;
2024/01/01;1800 UTC;,6;928,1;929;928;235,2;22,7;21,3;23,4;22,5;21,3;20,1;92;82;92;339;4;,9;
2024/01/01;1900 UTC;,4;927,5;928,1;927,5;404,1;22,7;21,2;22,8;22,2;21,5;20,8;93;90;91;26;2,8;1,2;
2024/01/01;2000 UTC;,2;928;928,1;927,5;427,9;22,9;20,3;23;22,6;21,3;20,2;91;85;85;52;5,4;3;
2024/01/01;2100 UTC;0;928,5;928,5;928;81,6;21,7;20,6;22,9;21,7;21;20,3;93;85;93;54;7;4;
2024/01/01;2200 UTC;0;928,9;929,1;928,5;;21,2;19,6;21,7;21,1;20,8;19,6;95;91;91;55;7,1;3,6;
2024/01/01;2300 UTC;0;929,2;929,2;928,9;;21;19,6;21,2;20,9;19,9;19,4;93;90;91;49;7,2;2,5;
2024/01/02;0000 UTC;0;929,9;930;929,2;;21;18,4;21,2;20,9;19,7;18,4;91;85;85;38;6,2;2;
2024/01/02;0100 UTC;0;929,8;930;929,8;;20,9;18,8;21;20,8;18,8;18,4;87;85;87;51;4,7;2,3;
2024/01/02;0200 UTC;0;929,4;929,8;929,4;;20,8;19,2;21,1;20,8;19,2;18,6;91;86;90;68;5,5;3,6;
2024/01/02;0300 UTC;0;928,7;929,4;928,7;;20,9;18,9;20,9;20,7;19,2;18,8;91;88;88;75;5,5;2,6;
2024/01/02;0400 UTC;0;928,2;928,7;928,1;;21;18,7;21,1;20,9;18,8;18,5;88;85;87;58;6;2,8;
2024/01/02;0500 UTC;0;927,9;928,2;927,7;;20,7;18,8;21;20,6;18,9;18,7;89;87;89;76;5,4;2,1;
2024/01/02;0600 UTC;0;927,5;927,9;927,5;;20,4;18,9;20,8;20,3;18,9;18,7;91;88;91;75;5,8;2,7;
2024/01/02;0700 UTC;0;927,8;927,8;927,5;;20,7;18,7;20,7;20,3;19;18,7;92;88;88;65;4,3;1,9;
2024/01/02;0800 UTC;0;928,2;928,2;927,8;;20,8;18,5;20,9;20,7;18,7;18,4;88;86;87;72;4,7;2,3;
2024/01/02;0900 UTC;0;928,7;928,7;928,2;21;20,9;18,7;20,9;20,7;18,7;18,4;88;86;87;71;3,7;1,8;
2024/01/02;1000 UTC;0;929,4;929,4;928,7;425,4;22,2;19,2;22,3;20,9;19,7;18,7;88;82;83;73;3,2;1,3;
2024/01/02;1100 UTC;0;929,7;929,7;929,4;1392,7;23,9;19;24,1;22,2;19,5;18,8;84;73;74;85;6;4;
2024/01/02;1200 UTC;0;930;930,1;929,7;2041,3;24,9;19,3;25,3;23,7;20,1;18,7;76;70;71;75;6,5;4,2;
2024/01/02;1300 UTC;0;930;930,1;929,9;2862,8;25,7;20,1;26,1;24,5;20,6;19,2;75;69;71;44;7,1;3,2;
2024/01/02;1400 UTC;0;930;930,2;929,9;3061,9;26;19,4;27;25,2;20,7;19,1;73;65;67;56;7,7;4,2;
2024/01/02;1500 UTC;0;929,3;930;929,3;3518,8;27,4;19,5;27,9;25,8;20,2;18,6;69;59;62;60;7,8;3,9;
2024/01/02;1600 UTC;0;928,3;929,3;928,3;2831,8;27,6;19;28,9;27,1;20,5;18,6;65;57;60;48;7,8;2,6;
2024/01/02;1700 UTC;0;927,3;928,3;927,2;2339,2;28,7;20;29,2;27,2;20,2;18,6;62;55;59;48;7,2;3,8;
2024/01/02;1800 UTC;0;926,7;927,3;926,6;2567,5;27,7;20,3;28,8;27,1;21,4;19,5;67;58;64;78;8,1;3,9;
2024/01/02;1900 UTC;0;926,5;926,7;926,5;855,9;27,2;20,1;28;26,3;20,7;19,4;70;62;65;50;6,3;3;
2024/01/02;2000 UTC;0;927,3;927,3;926,5;324,3;24,9;20,8;27,6;24,9;20,8;19;78;61;78;54;7,7;4,5;
2024/01/02;2100 UTC;4;928,2;928,2;927,3;45,7;22,1;21;24,9;22,1;21,3;20,8;94;78;94;40;9,1;2,3;
2024/01/02;2200 UTC;2;928,5;928,5;928,2;;22,1;20,6;22,2;21,9;21,2;20,5;94;91;91;54;5,4;2,8;
2024/01/02;2300 UTC;0;929;929;928,5;;22,1;20,8;22,5;22,1;20,9;20,4;92;89;92;44;6,4;2,3;
2024/01/03;0000 UTC;0;929,9;929,9;929;;22,5;21;22,5;22;21;20,7;93;91;91;48;7,2;3,6;
2024/01/03;0100 UTC;0;930,1;930,2;929,9;,1;22,3;20,6;22,5;22,2;21,1;20,6;93;90;90;44;7,5;3,8;
2024/01/03;0200 UTC;0;929,7;930,1;929,7;;22,2;20,4;22,4;22,2;20,9;20,4;91;90;90;55;7,5;4,6;
2024/01/03;0300 UTC;0;929,2;929,7;929,2;;22,2;20,6;22,3;22,1;20,8;20,5;92;90;91;65;8;4,2;
2024/01/03;0400 UTC;0;928,5;929,2;928,4;;21,8;20,1;22,2;21,8;20,7;20;92;89;90;56;7,2;3,2;
2024/01/03;0500 UTC;0;928,2;928,5;928,2;;21,8;20,3;21,8;21,7;20,4;20,1;92;90;91;69;5,1;2,4;
2024/01/03;0600 UTC;0;928,3;928,4;928,2;;21,8;20,3;21,9;21,8;20,4;20,2;92;91;91;72;4,4;2,4;
2024/01/03;0700 UTC;0;928,4;928,4;928,3;;21,7;20,3;21,9;21,7;20,4;20,1;92;90;92;82;4,1;2,1;
2024/01/03;0800 UTC;0;928,8;928,8;928,4;;21,6;20;21,7;21,6;20,3;19,9;92;90;91;101;5,2;2,7;
2024/01/03;0900 UTC;0;929,3;929,3;928,8;8,4;21,6;19,8;21,7;21,5;20;19,8;91;89;90;100;5;2,4;
2024/01/03;1000 UTC;0;929,9;929,9;929,3;222,4;22,1;19,7;22,1;21,6;20;19,6;90;86;86;83;6;3,3;
2024/01/03;1100 UTC;0;930,5;930,5;929,9;752,1;22,5;19,8;22,7;22,1;20,2;19,5;87;84;84;83;7,8;4,8;
2024/01/03;1200 UTC;0;931,1;931,1;930,5;883,1;22,9;20,1;23;22,5;20,1;19,7;85;82;84;72;7,3;3,9;
2024/01/03;1300 UTC;0;931,1;931,2;931;884;23,5;20,5;23,5;22,8;20,7;19,7;86;83;84;65;7,8;3,8;
2024/01/03;1400 UTC;0;931;931,2;930,9;2088,5;25;20,5;25,6;23,3;21,4;20,3;85;74;76;66;8,4;4,9;
2024/01/03;1500 UTC;0;930,4;931;930,4;1548,3;25,5;20,6;25,5;24,8;21;20,2;78;74;75;78;8,3;3,5;
2024/01/03;1600 UTC;0;929,9;930,4;929,9;1544,8;25,5;20,8;25,6;25;21,3;20,4;78;74;75;57;6,3;3,4;
2024/01/03;1700 UTC;0;928,7;929,9;928,7;1962;26,4;19,9;26,9;25,6;21,3;19,8;76;66;68;87;6,1;3;
2024/01/03;1800 UTC;0;927,8;928,7;927,8;1736,2;26,8;19,4;27,5;26,2;21,1;19,4;71;64;64;80;5,9;3,4;
2024/01/03;1900 UTC;0;927,6;927,8;927,6;1099,3;26,7;20,2;27,6;26,5;20,6;19,6;69;62;68;55;6,5;2,6;
2024/01/03;2000 UTC;0;927,7;927,8;927,6;619;25,8;21,1;26,7;25,8;21,4;20;75;67;75;4;5,5;1,3;
2024/01/03;2100 UTC;0;928,2;928,2;927,7;130,2;24,2;21,7;25,8;24,2;21,8;21,1;86;75;86;11;3,5;1,7;
2024/01/03;2200 UTC;0;928,8;928,8;928,1;;23,7;22;24,2;23,7;22,2;21,7;91;86;90;24;3,8;1,7;
2024/01/03;2300 UTC;0;929,5;929,5;928,8;;23,5;21,1;23,8;23,5;22;21,1;90;86;87;34;5,9;2,9;
2024/01/04;0000 UTC;0;930;930;929,5;;22,8;20,7;23,5;22,8;21,2;20,6;89;87;88;53;8;4,3;
2024/01/04;0100 UTC;0;930,5;930,5;930;;22,4;20,5;22,9;22,4;20,8;20,4;89;87;89;52;8;4;
2024/01/04;0200 UTC;0;930,7;930,7;930,5;;22,1;20,6;22,4;22,1;20,7;20,5;91;89;91;43;7,2;2,1;
2024/01/04;0300 UTC;0;930,2;930,7;930,2;;21,8;20,4;22,1;21,8;20,6;20,4;92;91;92;47;4;2,3;
2024/01/04;0400 UTC;0;929,6;930,2;929,5;;21,3;20,2;21,8;21,3;20,4;20,2;94;92;94;39;3,7;1,2;
2024/01/04;0500 UTC;0;928,8;929,6;928,8;;20,6;19,7;21,3;20,6;20,2;19,6;95;93;94;63;2,3;1,1;
2024/01/04;0600 UTC;0;928,4;928,8;928,4;;19,9;19;20,6;19,9;19,6;18,9;95;94;95;137;2,5;1,2;
2024/01/04;0700 UTC;0;928,6;928,6;928,4;;19,2;18,6;20;19,1;19,1;18,4;96;95;96;242;1,8;,5;
2024/01/04;0800 UTC;0;929,1;929,1;928,6;;19,4;18,9;19,7;19,2;19,2;18,6;97;96;97;176;1,4;,4;
2024/01/04;0900 UTC;0;929,4;929,4;929,1;11,8;19,8;19,3;19,8;19,3;19,3;18,8;97;96;97;83;1,1;,8;
2024/01/04;1000 UTC;0;929,8;929,8;929,4;214,2;21,7;19,8;21,8;19,8;20;19,4;97;88;89;101;3,9;2,1;
