REGIAO:;NE
UF:;MA
ESTACAO:;SAO LUIS
CODIGO (WMO):;A203
LATITUDE:;-2,52666666
LONGITUDE:;-44,21361111
ALTITUDE:;54,8
DATA DE FUNDACAO:;29/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1007,3;1007,3;1006,1;;24,7;23,8;24,7;24,5;23,8;23,5;95;94;95;51;,9;,2;
2024/01/01;0100 UTC;0;1007,2;1007,3;1007,1;;24,5;23,7;24,8;24,5;23,9;23,7;95;95;95;312;1,4;0;
2024/01/01;0200 UTC;0;1007,5;1007,7;1007,2;;24,5;23,8;24,6;24,5;23,8;23,7;96;95;96;61;1,3;0;
2024/01/01;0300 UTC;0;1007,3;1007,5;1007,3;;24,5;23,8;24,6;24,5;23,9;23,8;96;96;96;274;,9;0;
2024/01/01;0400 UTC;0;1006,8;1007,4;1006,8;;24,8;24,2;24,8;24,5;24,2;23,8;96;96;96;334;1,3;,6;
2024/01/01;0500 UTC;0;1006,4;1006,8;1006,4;;24,6;24,3;24,9;24,6;24,5;24,2;98;96;98;307;1,2;,1;
2024/01/01;0600 UTC;0;1005,9;1006,4;1005,9;;24,7;24,4;24,8;24,6;24,5;24,3;99;98;98;326;1;,5;
2024/01/01;0700 UTC;0;1005,3;1005,9;1005,3;;24,7;24,6;24,7;24,6;24,6;24,3;99;98;99;345;1,1;,2;
2024/01/01;0800 UTC;0;1005,4;1005,5;1005,3;;25,1;25,1;25,2;24,7;25,2;24,6;100;99;100;296;2,3;,7;
2024/01/01;0900 UTC;0;1005,6;1005,6;1005,2;;24,5;24,5;25,1;24,5;25,1;24,5;100;100;100;1;2,2;,1;
2024/01/01;1000 UTC;0;1006,5;1006,5;1005,6;130;24,9;24,9;24,9;24,4;24,9;24,4;100;100;100;22;2,1;1,1;
2024/01/01;1100 UTC;,2;1006,9;1006,9;1006,5;549,5;25,6;25,6;25,6;24,7;25,6;24,7;100;100;100;2;2,8;,5;
2024/01/01;1200 UTC;0;1007,3;1007,4;1006,9;1462,2;26,7;24,8;27,2;25,6;26,2;24,7;100;89;89;208;2,3;,4;
2024/01/01;1300 UTC;2;1007,3;1007,4;1007,2;927;26,6;24,8;28;26,6;26;24,8;90;88;90;144;3,1;1,5;
2024/01/01;1400 UTC;50,8;1007,9;1008;1007,3;149,6;24,4;23,7;26,6;24,2;24,8;23,3;96;90;96;141;6,2;1,4;
2024/01/01;1500 UTC;3;1007,5;1007,9;1007,5;502,3;25,1;24,7;25,1;24,4;24,7;23,7;98;96;98;137;2,7;,5;
2024/01/01;1600 UTC;0;1006,6;1007,5;1006,6;3080,8;26,1;24,6;27;25,1;26,4;24,6;98;91;92;248;7,8;2,9;
2024/01/01;1700 UTC;0;1005,8;1006,7;1005,8;1887,5;26,5;23,7;27,1;26,1;25;23,4;92;83;85;237;7,9;3,5;
2024/01/01;1800 UTC;0;1005,1;1005,8;1005,1;2182,6;27,1;23,5;27,6;26,5;24,2;23,3;85;79;81;213;8;3,7;
2024/01/01;1900 UTC;0;1004,5;1005,2;1004,5;1146;26,2;22,8;27,1;26,1;23,5;22,5;82;80;81;218;8,1;3,3;
2024/01/01;2000 UTC;0;1004,4;1004,5;1004,3;376,9;25,8;22,2;26,3;25,7;23;22,1;82;81;81;225;7,7;2,8;
2024/01/01;2100 UTC;0;1004,7;1004,7;1004,3;117,3;25,9;23,2;26;25,8;23,2;22,2;85;81;85;217;6,2;1,5;
2024/01/01;2200 UTC;0;1005,1;1005,1;1004,7;2,7;25,7;23,5;25,9;25,7;23,5;23,2;88;85;88;250;5;1;
2024/01/01;2300 UTC;0;1006;1006;1005,1;;25,7;23,9;25,7;25,6;23,9;23,5;90;88;90;278;2,5;,3;
2024/01/02;0000 UTC;0;1006;1006,1;1005,9;;25,4;23,8;25,7;25,4;23,9;23,8;91;90;91;251;1,6;,2;
2024/01/02;0100 UTC;0;1006,4;1006,6;1006;;25,4;24,1;25,6;25,2;24,3;23,8;93;91;92;251;2,3;,6;
2024/01/02;0200 UTC;0;1006,3;1006,4;1006,3;;25,4;24,1;25,4;25,3;24,2;24,1;93;92;93;246;2,4;,8;
2024/01/02;0300 UTC;,2;1006,1;1006,4;1005,9;;25,4;24,2;25,4;25,3;24,2;24,1;93;93;93;249;2,3;,3;
2024/01/02;0400 UTC;0;1005,1;1006,1;1005,1;;25,5;24,4;25,5;25,3;24,5;24,2;94;93;94;227;2,3;,9;
2024/01/02;0500 UTC;0;1004,6;1005,1;1004,4;;24,9;23,9;25,5;24,9;24,4;23,8;94;94;94;245;2,6;,5;
2024/01/02;0600 UTC;0;1004,6;1004,7;1004,4;;24,7;23,8;24,9;24,6;23,9;23,6;95;94;95;269;2,2;,1;
2024/01/02;0700 UTC;0;1004,3;1004,6;1004,2;;24,8;23,9;24,8;24,7;23,9;23,8;95;95;95;222;1,4;,6;
2024/01/02;0800 UTC;0;1004,7;1004,7;1004,2;;24,9;24,1;24,9;24,8;24,1;23,9;95;95;95;301;1,3;,1;
2024/01/02;0900 UTC;0;1005,4;1005,4;1004,7;;24,9;24,2;25;24,8;24,2;24,1;96;95;96;22;1,2;0;
2024/01/02;1000 UTC;0;1005,9;1006;1005,4;73,6;25,4;24,8;25,4;24,9;24,8;24,2;96;96;96;12;,8;0;
2024/01/02;1100 UTC;0;1006,1;1006,1;1005,9;355,2;26,1;25,2;26,1;25,4;25,4;24,8;97;95;95;269;2,6;,7;
2024/01/02;1200 UTC;0;1006,3;1006,4;1006,1;772,9;26,7;25;26,8;25,9;25,2;24,8;95;90;90;243;3,2;1,4;
2024/01/02;1300 UTC;0;1006,3;1006,3;1006,2;1273,5;27,5;24,2;27,6;26,8;25,2;24,2;90;82;82;246;4,8;2;
2024/01/02;1400 UTC;0;1006,5;1006,5;1006,3;1160,6;28,4;24;28,4;27,4;24,3;23,6;82;77;77;243;5,5;2,1;
2024/01/02;1500 UTC;0;1006,2;1006,5;1006,2;1284,9;28,7;24,1;28,8;28,1;24,5;23,6;78;76;76;233;5,8;1,6;
2024/01/02;1600 UTC;0;1005,5;1006,3;1005,5;1251,6;29;24,3;29,2;28,4;24,3;23,2;77;73;76;196;4,9;2,4;
2024/01/02;1700 UTC;0;1004,4;1005,5;1004,4;2320,4;29,6;24;29,8;29;24,7;23,8;77;71;72;222;6,4;3;
2024/01/02;1800 UTC;0;1003,7;1004,4;1003,7;1620,9;28,6;24,4;29,6;28,6;24,7;24;78;72;78;216;7,2;3,4;
2024/01/02;1900 UTC;0;1003,8;1003,8;1003,4;563,2;27,3;23,8;28,6;27,3;24,5;23,8;82;78;81;256;6,6;1,9;
2024/01/02;2000 UTC;0;1004,2;1004,3;1003,7;247,2;26,8;23,1;27,3;26,8;23,8;23,1;81;80;80;259;5,5;1,9;
2024/01/02;2100 UTC;0;1004,6;1004,6;1004,2;208,2;27;23,6;27;26,8;23,6;23,2;82;80;82;241;3,8;,9;
2024/01/02;2200 UTC;,2;1005,1;1005,1;1004,6;4,8;26,5;24,3;27;26,5;24,4;23,6;88;82;88;236;3,3;,6;
2024/01/02;2300 UTC;0;1005,8;1005,8;1005,1;;26,5;24,5;26,5;26,4;24,5;24,3;89;88;89;221;3,1;1,2;
2024/01/03;0000 UTC;0;1006,4;1006,5;1005,8;;26,3;24,4;26,5;26,3;24,7;24,4;90;89;90;233;3,1;1,3;
2024/01/03;0100 UTC;0;1006,7;1006,9;1006,4;;25,9;24,3;26,3;25,9;24,4;24,2;91;90;91;319;2,7;0;
2024/01/03;0200 UTC;0;1006,3;1006,7;1006,3;;25,6;24,3;25,9;25,6;24,4;24,2;92;91;92;239;1,6;,5;
2024/01/03;0300 UTC;0;1005,9;1006,3;1005,9;;25,7;24,5;26,1;25,6;24,7;24,3;93;92;93;248;4,1;,1;
2024/01/03;0400 UTC;0;1005,4;1005,9;1005,4;;25,3;24,1;25,7;25,2;24,5;24,1;93;93;93;349;1,4;0;
2024/01/03;0500 UTC;0;1005,1;1005,4;1005;;25,3;24,2;25,4;25,2;24,4;24,1;94;93;94;287;3,5;1,6;
2024/01/03;0600 UTC;0;1004,7;1005,1;1004,7;;24,5;23,3;25,3;24,4;24,1;23,3;94;93;93;294;4;,5;
2024/01/03;0700 UTC;0;1004,8;1004,8;1004,7;;24,4;23,4;24,5;24,3;23,5;23,2;94;93;94;349;1,6;,8;
2024/01/03;0800 UTC;0;1005,2;1005,2;1004,8;;24,3;23,4;24,4;24,2;23,5;23,3;95;94;95;334;1,4;,2;
2024/01/03;0900 UTC;,2;1005,7;1005,7;1005,2;;24,7;23,9;24,8;24,3;24,1;23,5;96;95;96;279;1;,1;
2024/01/03;1000 UTC;0;1006,7;1006,7;1005,7;124,1;25,1;24,3;25,3;24,6;24,5;23,9;96;95;95;185;2,1;,9;
2024/01/03;1100 UTC;0;1007,3;1007,3;1006,6;526,2;25,7;24,5;25,7;24,8;24,6;24;95;93;93;297;1,7;,3;
2024/01/03;1200 UTC;0;1008;1008;1007,3;720,2;26,6;25,1;26,6;25,6;25,1;24,4;93;92;92;220;3,1;1,3;
2024/01/03;1300 UTC;0;1008;1008;1007,8;1857,7;27,5;24,4;27,5;26,3;25,6;24,4;92;83;83;238;4,2;1,9;
2024/01/03;1400 UTC;0;1007,8;1008;1007,7;2941,4;28,8;23,5;29,4;27,5;24,6;23,1;83;70;73;253;6,8;2,7;
2024/01/03;1500 UTC;0;1007;1007,8;1007;3481,7;30,4;22,4;30,7;28,7;24,2;22,3;74;62;62;274;7,3;2,6;
2024/01/03;1600 UTC;0;1006;1007;1006;2277,7;29,8;23,4;31;29,6;24,2;22,6;71;62;69;233;6,8;2,5;
2024/01/03;1700 UTC;0;1005;1006;1005;1621,8;29,6;24,3;30,6;29,6;24,8;23,5;74;66;74;240;7,5;3,2;
2024/01/03;1800 UTC;0;1004,6;1005,1;1004,6;1003,8;28,9;23,9;29,6;28,9;24,8;23,9;76;74;75;270;7,5;2,6;
2024/01/03;1900 UTC;0;1004,2;1004,6;1004,2;723,7;28,5;23,6;28,9;28,5;23,9;22,9;75;72;75;243;7,4;2,7;
2024/01/03;2000 UTC;0;1004,2;1004,2;1003,9;442,8;28,1;23,7;28,5;28,1;23,8;23,5;77;75;77;239;8,3;3,2;
2024/01/03;2100 UTC;0;1005,1;1005,1;1004,2;184,8;27,7;23,5;28,2;27,7;23,8;23,1;78;76;78;256;7;2;
2024/01/03;2200 UTC;0;1005,8;1005,8;1005,1;3,2;27,3;23,7;27,7;27,3;23,7;23,5;81;78;81;229;5;1,8;
2024/01/03;2300 UTC;0;1006,4;1006,4;1005,8;;27;23,9;27,3;27;23,9;23,7;83;81;83;235;3,8;1,3;
2024/01/04;0000 UTC;0;1006,8;1006,8;1006,4;;26,9;24;27;26,9;24;23,8;84;83;84;240;3,8;1,5;
2024/01/04;0100 UTC;0;1007,3;1007,4;1006,8;;26,8;23,8;27;26,8;24,1;23,8;84;84;84;242;3,9;1,3;
2024/01/04;0200 UTC;0;1007,1;1007,3;1007;;26,6;23,7;26,8;26,6;23,8;23,7;84;84;84;231;3,3;1,1;
2024/01/04;0300 UTC;0;1006,5;1007,1;1006,5;;26,4;23,9;26,6;26,4;23,9;23,7;86;84;86;247;2,8;,9;
2024/01/04;0400 UTC;0;1005,6;1006,5;1005,6;;26,3;24,2;26,5;26,3;24,2;23,9;88;86;88;274;2,7;,7;
2024/01/04;0500 UTC;0;1004,9;1005,6;1004,9;;25,9;24,1;26,3;25,9;24,3;24;90;88;90;262;2,2;,5;
2024/01/04;0600 UTC;0;1004,5;1004,9;1004,5;;25,9;24,4;25,9;25,7;24,4;24;92;90;92;265;1,3;,4;
2024/01/04;0700 UTC;0;1004,5;1004,6;1004,5;;26,1;24,4;26,1;25,9;24,6;24,4;92;91;91;262;3,5;1,4;
2024/01/04;0800 UTC;0;1005,1;1005,1;1004,5;;25,5;23,4;26;25,5;24,4;23,4;91;88;88;266;4;,6;
2024/01/04;0900 UTC;0;1005,3;1005,4;1005,1;;25,4;23,7;25,6;25,4;23,8;23,4;90;88;90;282;1,8;,4;
2024/01/04;1000 UTC;0;1005,8;1005,8;1005,3;98,8;25,7;23,8;25,7;25,2;23,8;23,6;91;89;89;291;2,6;,9;
2024/01/04;1100 UTC;0;1006,1;1006,1;1005,8;808;27,6;24,1;27,6;25,7;24,2;23,8;89;81;81;262;4,4;1,7;
2024/01/04;1200 UTC;0;1006,6;1006,6;1006,1;1579,5;28,3;23,5;28,3;27,6;24,2;23,1;81;75;75;260;7,3;2,6;
2024/01/04;1300 UTC;0;1006,8;1006,9;1006,6;2117;29,3;22,5;29,4;27,9;23,4;22,1;75;67;67;240;8,4;3,1;
2024/01/04;1400 UTC;0;1006,5;1006,8;1006,5;3054,7;30,4;22;30,9;29;22,6;21,7;67;60;61;273;10,1;3,4;
2024/01/04;1500 UTC;0;1006,2;1006,5;1006,2;2778,8;30,6;22,2;31,3;30,3;23;22;63;59;61;255;7,8;3,3;
2024/01/04;1600 UTC;0;1005,4;1006,2;1005,3;3142,2;32;23,6;32;30,4;23,6;22,4;65;60;61;265;8,6;3,3;
2024/01/04;1700 UTC;0;1004,5;1005,4;1004,5;3445,6;31,7;22,6;32;31,4;23,3;22,3;61;58;59;256;8,7;3,5;
2024/01/04;1800 UTC;0;1003,5;1004,5;1003,5;2917,9;31,3;22,4;31,8;31,2;22,9;21,9;60;58;59;266;8,8;3,4;
2024/01/04;1900 UTC;0;1003,3;1003,5;1003,3;2033,9;30,6;22,9;31,5;30,5;22,9;22,2;64;58;63;227;8,8;3,7;
2024/01/04;2000 UTC;0;1003,1;1003,3;1003,1;1084,1;29,6;22,6;30,7;29,6;23,1;22,1;66;63;66;240;8,9;3,5;
2024/01/04;2100 UTC;0;1003,4;1003,4;1003,1;234,4;28,4;23,1;29,6;28,4;23,1;22,4;73;66;73;235;8,9;2,6;
2024/01/04;2200 UTC;0;1003,9;1003,9;1003,4;7,5;27,5;23,4;28,4;27,5;23,4;23;79;73;79;246;6,8;1,9;
2024/01/04;2300 UTC;0;1004,8;1004,8;1003,9;;27;23,6;27,5;27;23,6;23,4;82;79;82;247;5;1,4;
2024/01/05;0000 UTC;0;1005,7;1005,7;1004,8;;26,7;23,8;27;26,7;23,8;23,6;84;82;84;234;4,1;1,6;
2024/01/05;0100 UTC;0;1006,2;1006,2;1005,7;;26,4;23,8;26,7;26,4;23,9;23,7;86;84;86;241;4,2;,8;
2024/01/05;0200 UTC;0;1006;1006,3;1006;;26,2;24;26,4;26,1;24;23,7;88;86;88;230;2,8;1,2;
2024/01/05;0300 UTC;0;1005,8;1006;1005,8;;26,1;24;26,2;26,1;24,1;24;88;88;88;243;2,8;,9;
2024/01/05;0400 UTC;0;1005,1;1005,9;1005,1;;25,8;24,1;26,1;25,8;24,1;23,9;90;88;90;245;2,8;,7;
2024/01/05;0500 UTC;0;1004,7;1005,1;1004,7;;25,5;23,9;25,8;25,5;24,1;23,9;91;90;91;255;2,5;,4;
2024/01/05;0600 UTC;0;1004,1;1004,7;1004,1;;25,1;23,7;25,5;25,1;23,9;23,6;92;91;92;292;1,7;,4;
2024/01/05;0700 UTC;0;1003,9;1004,1;1003,8;;25,1;23,9;25,2;24,8;23,9;23,4;93;92;93;259;2,6;,8;
2024/01/05;0800 UTC;0;1003,9;1003,9;1003,8;;24,8;23,6;25,1;24,7;23,9;23,5;93;92;93;268;2,6;,8;
2024/01/05;0900 UTC;0;1004,1;1004,1;1003,9;;25;23,9;25,1;24,8;23,9;23,6;93;93;93;265;2,3;,8;
2024/01/05;1000 UTC;0;1004,9;1004,9;1004,1;174,2;26,2;24,7;26,2;25;24,7;23,9;93;91;91;268;2,8;1,1;
2024/01/05;1100 UTC;0;1005,3;1005,3;1004,9;1104,8;27,7;24,3;27,8;26,2;24,8;24,3;91;82;82;252;6;2,3;
2024/01/05;1200 UTC;0;1005,7;1005,7;1005,3;1124,7;27,9;23,2;28;27,4;24,4;23,2;82;76;76;284;8,4;3,7;
2024/01/05;1300 UTC;0;1005,6;1005,9;1005,6;2041,2;29,3;23,3;29,8;27,8;23,8;23,1;76;69;70;234;8,3;3,1;
2024/01/05;1400 UTC;0;1005,2;1005,7;1005,2;2416,2;30,2;22,8;30,3;29,3;23,6;22,6;70;64;65;259;8,5;3,6;
2024/01/05;1500 UTC;0;1004,7;1005,3;1004,7;3142,7;31,2;23,3;31,8;30,2;23,9;22,6;66;61;63;225;8,9;3,7;
2024/01/05;1600 UTC;0;1003,9;1004,7;1003,9;3417,6;32;23,1;32;31,1;23,6;22,7;63;59;60;241;8,9;3,7;
2024/01/05;1700 UTC;0;1003;1003,9;1003;3182,3;32,1;23,6;32,5;31,8;24,2;22,6;63;58;61;232;8,8;2,9;
2024/01/05;1800 UTC;0;1002,4;1003,1;1002,4;2627,7;31,4;23,9;32,1;31,2;24;23,2;65;61;65;217;8,2;3,3;
2024/01/05;1900 UTC;0;1001,8;1002,4;1001,8;2163,8;30,7;23,1;31,4;30,7;23,8;23;65;63;64;223;9,2;3,9;
2024/01/05;2000 UTC;0;1001,8;1001,8;1001,6;1162,8;29,7;23,2;30,7;29,7;23,4;22,8;68;64;68;214;10;3,8;
2024/01/05;2100 UTC;0;1002,1;1002,1;1001,7;310,3;28,5;23,4;29,7;28,5;23,4;22,8;74;68;74;227;8,4;2,6;
