REGIAO:;NE
UF:;MA
ESTACAO:;BALSAS
CODIGO (WMO):;A204
LATITUDE:;-7,45555555
LONGITUDE:;-46,02749999
ALTITUDE:;271,03
DATA DE FUNDACAO:;26/10/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;982,9;982,9;981,6;,1;24,8;22,1;25;24,7;22,3;21,9;85;84;85;330;2,4;,3;
2024/01/01;0100 UTC;0;983,2;983,2;982,9;,3;24,7;22;24,9;24,7;22,3;21,8;85;83;85;306;2,1;,5;
2024/01/01;0200 UTC;0;983,3;983,4;983,1;;24,1;22,1;24,7;24,1;22,2;21,9;88;85;88;259;1,5;,3;
2024/01/01;0300 UTC;0;983,3;983,4;983,2;;24,2;22,4;24,3;24;22,4;22;89;88;89;106;1,3;0;
2024/01/01;0400 UTC;0;982,5;983,3;982,5;;24,1;22,4;24,3;24;22,6;22,1;90;89;90;118;1,1;,3;
2024/01/01;0500 UTC;0;982,1;982,5;982,1;;24;22,3;24,1;23,9;22,4;22,2;91;90;91;115;1,3;,1;
2024/01/01;0600 UTC;0;981,4;982,1;981,4;;23,6;22,1;24;23,6;22,4;22,1;92;91;92;36;1,6;,7;
2024/01/01;0700 UTC;0;981,1;981,4;981,1;;23,5;22;23,6;23,5;22,2;22;92;91;92;78;1,6;,1;
2024/01/01;0800 UTC;0;981;981,2;981;;23,5;22,1;23,6;23,4;22,2;21,9;92;92;92;351;1,1;0;
2024/01/01;0900 UTC;0;980,9;981;980,6;;23,3;22,1;23,5;23,3;22,1;22;93;92;93;258;1,1;0;
