REGIAO:;NE
UF:;MA
ESTACAO:;BACABAL
CODIGO (WMO):;A220
LATITUDE:;-4,24305555
LONGITUDE:;-44,79499999
ALTITUDE:;22,33
DATA DE FUNDACAO:;09/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1003,4;1003,4;1002,6;;24,2;23;24,3;24,1;23;22,9;93;92;93;256;1,1;,3;
2024/01/01;0100 UTC;0;1004,5;1004,5;1003,4;;24,2;23;24,3;24,2;23;22,9;93;93;93;168;1,3;,2;
2024/01/01;0200 UTC;0;1005,7;1005,7;1004,5;;24,3;23,1;24,3;24,2;23,1;23;93;93;93;110;1,5;,4;
2024/01/01;0300 UTC;0;1006,4;1006,4;1005,8;;24,2;23;24,3;24,2;23,1;22,9;93;93;93;165;1,7;,3;
2024/01/01;0400 UTC;0;1006,6;1006,8;1006,4;;24,1;22,9;24,2;24;23;22,8;93;93;93;308;1,3;0;
2024/01/01;0500 UTC;0;1007,1;1007,1;1006,7;;24,1;23;24,1;24;23;22,9;93;93;93;354;,6;0;
2024/01/01;0600 UTC;0;1007,6;1007,6;1007,1;;24,2;23;24,2;24,1;23,1;23;93;93;93;159;0;0;
2024/01/01;0700 UTC;0;1007,2;1008;1007,1;;23,9;22,8;24,2;23,9;23;22,7;93;93;93;160;1,2;0;
2024/01/01;0800 UTC;0;1007,1;1007,5;1006,9;;24;22,8;24;23,9;22,9;22,7;94;93;94;324;0;0;
2024/01/01;0900 UTC;0;1007,5;1007,5;1007,1;;24;22,9;24;23,9;22,9;22,8;94;94;94;267;0;0;
2024/01/01;1000 UTC;0;1008,8;1008,8;1007,5;;24,4;23,3;24,4;24;23,3;22,9;94;94;94;219;0;0;
2024/01/01;1100 UTC;0;1013,4;1013,4;1008,8;;26,8;25,4;26,8;24,4;25,4;23,3;94;92;92;149;1,8;,4;
2024/01/01;1200 UTC;0;1022;1022;1013,4;;27,1;23,8;27,3;26,5;25,5;23,5;92;82;82;69;2,9;1,5;
2024/01/01;1300 UTC;0;1025;1025;1022;;28,1;23,8;28,3;26,9;24,1;23,5;83;77;77;76;3,3;,9;
2024/01/01;1400 UTC;0;1029,5;1029,5;1025;;29,2;23,9;29,4;28,1;24,5;23,1;79;71;73;354;3,8;1;
