REGIAO:;NE
UF:;MA
ESTACAO:;ESTREITO
CODIGO (WMO):;A224
LATITUDE:;-6,65333333
LONGITUDE:;-47,41833332
ALTITUDE:;182,96
DATA DE FUNDACAO:;27/02/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;992,1;992,1;991,4;;26,4;;26,6;26,3;;;;;;244;0;0;
2024/01/01;0100 UTC;;992,6;992,6;992,1;;26;;26,4;26;;;;;;68;0;0;
2024/01/01;0200 UTC;;993,2;993,2;992,6;;25,5;;26,1;25,5;;;;;;103;0;0;
2024/01/01;0300 UTC;;993;993,2;992,9;;25,7;;25,7;25,5;;;;;;322;0;0;
2024/01/01;0400 UTC;;992;993;992;;25,8;;25,9;25,7;;;;;;154;0;0;
2024/01/01;0500 UTC;;991,1;992;991,1;;25,1;;25,8;25,1;;;;;;55;0;0;
2024/01/01;0600 UTC;;991;991,1;990,9;;24,9;;25,2;24,9;;;;;;93;0;0;
2024/01/01;0700 UTC;;990,3;991;990,3;;24,8;;25;24,8;;;;;;106;0;0;
2024/01/01;0800 UTC;;990,5;990,6;990,3;;24,7;;24,8;24,6;;;;;;351;0;0;
2024/01/01;0900 UTC;;991;991;990,5;;24,9;;24,9;24,7;;;;;;232;0;0;
2024/01/01;1000 UTC;;991,2;991,2;991;184,7;25,2;;25,2;24,7;;;;;;96;0;0;
2024/01/01;1100 UTC;;991,7;991,7;991,2;523;25,7;;25,8;25,2;;;;;;31;0;0;
2024/01/01;1200 UTC;;992,3;992,3;991,7;1327,3;26,6;;27,2;25,7;;;;;;1;0;0;
2024/01/01;1300 UTC;;992,3;992,6;992,3;2105,3;28,4;;28,5;26,6;;;;;;360;2,7;,1;
2024/01/01;1400 UTC;;992,1;992,4;992,1;2191,2;29,1;;29,4;28,1;;;;;;349;5,8;0;
2024/01/01;1500 UTC;;991,4;992,1;991,4;2231,2;30,1;;30,3;29,1;;;;;;339;3,5;0;
2024/01/01;1600 UTC;;990,3;991,4;990,3;2557;32,4;;32,4;29,9;;;;;;302;0;0;
2024/01/01;1700 UTC;;988,9;990,3;988,8;2244,5;31,1;;32,7;31,1;;;;;;280;0;0;
2024/01/01;1800 UTC;;987,7;988,9;987,6;1535,5;31,2;;32,3;30,9;;;;;;277;0;0;
2024/01/01;1900 UTC;;987;987,7;987;1229,3;31,5;;32,1;31;;;;;;295;0;0;
2024/01/01;2000 UTC;;987,5;987,5;987;659,5;30,5;;31,6;30,5;;;;;;83;0;0;
2024/01/01;2100 UTC;;987,9;987,9;987,5;247,4;29,7;;30,5;29,7;;;;;;114;0;0;
2024/01/01;2200 UTC;;988,6;988,6;987,9;10,6;28,1;;29,7;28,1;;;;;;109;0;0;
2024/01/01;2300 UTC;;989,7;989,7;988,6;;27,4;;28,1;27,4;;;;;;6;3,9;0;
2024/01/02;0000 UTC;;990,6;990,6;989,7;;26,7;;27,4;26,6;;;;;;83;0;0;
2024/01/02;0100 UTC;;991,1;991,1;990,6;;26,3;;26,7;26,3;;;;;;82;0;0;
2024/01/02;0200 UTC;;991,2;991,2;991,1;;25,8;;26,3;25,8;;;;;;96;0;0;
2024/01/02;0300 UTC;;990,7;991,2;990,7;;25,9;;25,9;25,7;;;;;;133;0;0;
2024/01/02;0400 UTC;;990;990,7;990;;25,7;;25,9;25,7;;;;;;207;0;0;
2024/01/02;0500 UTC;;989,6;990;989,6;;25,2;;25,7;25,2;;;;;;42;0;0;
2024/01/02;0600 UTC;;989,4;989,7;989,4;;25,7;;25,7;25,2;;;;;;292;0;0;
2024/01/02;0700 UTC;;989,6;989,6;989,4;;25;;25,7;25;;;;;;41;4,1;0;
2024/01/02;0800 UTC;;989,5;989,7;989,4;;24,7;;25;24,7;;;;;;18;6;,4;
2024/01/02;0900 UTC;;990,6;990,6;989,5;;23,6;;24,7;23,6;;;;;;4;6,6;,9;
2024/01/02;1000 UTC;;991,5;991,5;990,6;12,7;23,4;;23,6;23,3;;;;;;351;6,1;0;
2024/01/02;1100 UTC;;992,6;992,6;991,5;22,3;23,4;;23,5;23,3;;;;;;56;0;0;
2024/01/02;1200 UTC;;993,6;993,6;992,6;35,7;22,7;;23,4;22,7;;;;;;98;0;0;
2024/01/02;1300 UTC;;993,4;993,8;993,4;115,5;23;;23;22,7;;;;;;132;0;0;
2024/01/02;1400 UTC;;992,7;993,4;992,7;306,4;23,3;;23,3;22,9;;;;;;50;,3;0;
2024/01/02;1500 UTC;;992,1;992,7;992,1;494,3;23,9;;24;23,3;;;;;;307;0;0;
2024/01/02;1600 UTC;;991,4;992,1;991,4;1035,7;24,8;;25,2;23,9;;;;;;316;0;0;
2024/01/02;1700 UTC;;990,8;991,4;990,8;1355,7;25,6;;26;24,8;;;;;;305;0;0;
2024/01/02;1800 UTC;;990,3;990,8;990,3;1276,5;26,2;;26,6;25,4;;;;;;255;0;0;
2024/01/02;1900 UTC;;989,8;990,2;989,8;843,8;26,2;;26,5;26,1;;;;;;253;0;0;
2024/01/02;2000 UTC;;989,6;989,8;989,6;496,4;26,2;;26,4;26,1;;;;;;236;0;0;
2024/01/02;2100 UTC;;989,4;989,6;989,4;186,7;25,9;;26,3;25,9;;;;;;80;0;0;
2024/01/02;2200 UTC;;989,7;989,7;989,4;7;25,2;;25,9;25,2;;;;;;99;0;0;
2024/01/02;2300 UTC;;990,1;990,1;989,7;;24,9;;25,2;24,9;;;;;;137;0;0;
2024/01/03;0000 UTC;;990,6;990,6;990;;24,5;;24,9;24,5;;;;;;116;0;0;
2024/01/03;0100 UTC;;991,1;991,1;990,6;;24,5;;24,5;24,4;;;;;;138;0;0;
2024/01/03;0200 UTC;;991,4;991,4;991,1;;24,3;;24,5;24,2;;;;;;128;0;0;
2024/01/03;0300 UTC;;991,2;991,4;991,2;;24,4;;24,5;24,3;;;;;;165;0;0;
2024/01/03;0400 UTC;;990,7;991,2;990,7;;24,1;;24,4;24,1;;;;;;82;0;0;
2024/01/03;0500 UTC;;990,6;990,7;990,5;;23,9;;24,1;23,8;;;;;;127;0;0;
2024/01/03;0600 UTC;;990,3;990,6;990,3;;23,9;;24;23,8;;;;;;155;0;0;
2024/01/03;0700 UTC;;989,9;990,3;989,9;;23,4;;23,9;23,4;;;;;;135;0;0;
2024/01/03;0800 UTC;;990,4;990,4;989,9;;23,2;;23,4;23,1;;;;;;84;0;0;
