REGIAO:;NE
UF:;MA
ESTACAO:;ZE DOCA
CODIGO (WMO):;A255
LATITUDE:;-3,26916666
LONGITUDE:;-45,65111111
ALTITUDE:;45,5
DATA DE FUNDACAO:;18/09/19
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1007,7;1007,7;1006,8;0;24,3;22,6;24,5;24,3;22,8;22,5;90;89;90;251;2,3;,6;
2024/01/01;0100 UTC;0;1008,4;1008,4;1007,6;0;24,1;22,8;24,5;24,1;22,8;22,6;92;90;92;273;2,1;1,1;
2024/01/01;0200 UTC;,2;1008,6;1008,6;1008,3;0;24,2;23,1;24,2;24;23,1;22,7;93;92;93;238;2;,8;
2024/01/01;0300 UTC;0;1008;1008,6;1008;0;24,1;23,1;24,3;24,1;23,2;23,1;94;93;94;272;3,1;1,8;
2024/01/01;0400 UTC;0;1007,6;1008;1007,6;0;23,9;23,1;24,1;23,9;23,2;23,1;95;94;95;277;3,1;,7;
2024/01/01;0500 UTC;0;1007,3;1007,6;1007,3;0;24,1;23,3;24,1;23,9;23,4;23,1;96;95;96;249;2,3;1,2;
2024/01/01;0600 UTC;0;1006,4;1007,4;1006,4;,4;24;23,2;24,2;24;23,4;23,2;96;95;95;200;2,3;,8;
2024/01/01;0700 UTC;0;1006,1;1006,4;1006;,4;23,8;23,2;24;23,8;23,3;23,2;96;95;96;145;1,9;,9;
2024/01/01;0800 UTC;0;1006,2;1006,2;1006;0;23,6;23,1;23,8;23,6;23,2;23,1;97;96;97;269;2;,9;
2024/01/01;0900 UTC;0;1006,7;1006,7;1006,2;1,4;23,4;23;23,6;23,4;23,2;23;98;97;98;254;2,5;1,6;
2024/01/01;1000 UTC;0;1007,6;1007,6;1006,7;27,6;23,8;23,4;23,8;23,4;23,4;23;98;98;98;245;3;1,5;
2024/01/01;1100 UTC;0;1007,6;1007,6;1007,5;299,2;26,3;23,9;26,6;23,7;24,7;23,4;98;86;86;99;2,9;,6;
2024/01/01;1200 UTC;0;1007,5;1007,6;1007,5;0;28,7;24,5;28,9;26,3;25;23,8;87;77;78;18;4;1,6;
