REGIAO:;NE
UF:;PB
ESTACAO:;CAMARATUBA
CODIGO (WMO):;A352
LATITUDE:;-6,56194444
LONGITUDE:;-35,13527777
ALTITUDE:;135,51
DATA DE FUNDACAO:;04/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;997,9;997,9;997,1;;25,4;;25,7;25,4;;;;;;101;0;0;
2024/01/01;0100 UTC;0;997,9;998,2;997,9;;25,5;;25,5;25,2;;;;;;101;0;0;
2024/01/01;0200 UTC;0;997,5;997,9;997,5;;25,7;;25,7;25,5;;;;;;101;0;0;
2024/01/01;0300 UTC;0;997;997,6;997;;25,4;;25,7;25,1;;;;;;101;0;0;
2024/01/01;0400 UTC;0;996,5;997;996,5;;25,4;;25,5;25,4;;;;;;101;0;0;
2024/01/01;0500 UTC;0;996,1;996,6;996,1;;25,2;;25,5;25,2;;;;;;101;0;0;
2024/01/01;0600 UTC;0;996,3;996,3;996,1;;25,2;;25,2;25;;;;;;101;0;0;
2024/01/01;0700 UTC;0;996,3;996,4;996,2;;25;;25,4;25;;;;;;101;0;0;
2024/01/01;0800 UTC;,2;996,9;996,9;996,3;2,9;25;;25,1;24,9;;;;;;101;0;0;
2024/01/01;0900 UTC;1,4;997,2;997,2;996,9;70,3;25,1;;25,2;24,8;;;;;;101;0;0;
2024/01/01;1000 UTC;3,2;997,9;998;997,2;188,5;24,5;;25,4;24,2;;;;;;101;4,8;,2;
2024/01/01;1100 UTC;3,6;998,4;998,4;997,9;437,4;24,8;;25,2;24,5;;;;;;101;4,8;0;
2024/01/01;1200 UTC;4,2;998,4;998,6;998,3;875,8;25;;25,4;24,2;;;;;;101;3,3;,1;
2024/01/01;1300 UTC;3,6;998,2;998,4;998,1;2738;26,3;;27;24,9;;;;;;101;6,2;1,6;
2024/01/01;1400 UTC;4;997,7;998,1;997,7;3470,8;28,1;;28,6;25,9;;;;;;101;6,2;3,1;
2024/01/01;1500 UTC;4;997;997,7;997;2460,1;28,1;;28,5;27,9;;;;;;101;6,8;1,9;
2024/01/01;1600 UTC;3,6;997,2;997,2;996,4;735;23,9;;28,1;23,9;;;;;;101;13;6,3;
2024/01/01;1700 UTC;2,8;997;997,4;996,9;167,4;23;;23,9;23;;;;;;101;12,6;0;
2024/01/01;1800 UTC;2,8;996,4;997,2;996,4;52,4;22,6;;23,1;22,5;;;;;;101;0;0;
2024/01/01;1900 UTC;2,4;996,5;996,5;996,2;80,5;22,6;;22,8;22,4;;;;;;101;0;0;
2024/01/01;2000 UTC;2;996,7;996,7;996,3;29,7;22,8;;22,8;22,6;;;;;;101;0;0;
2024/01/01;2100 UTC;1,8;996,9;997;996,7;;22,4;;22,9;22,4;;;;;;101;0;0;
2024/01/01;2200 UTC;1,4;997,2;997,2;996,6;;22,1;;22,7;22,1;;;;;;101;0;0;
