REGIAO:;NE
UF:;PE
ESTACAO:;IBIMIRIM
CODIGO (WMO):;A349
LATITUDE:;-8,50944444
LONGITUDE:;-37,71166666
ALTITUDE:;434,23
DATA DE FUNDACAO:;14/10/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;13,2;964,1;964,5;963,7;;23,6;;24,3;22,6;;;;;;250;9;2,1;
2024/01/01;0100 UTC;0;963,7;964,1;963,6;1,8;23,8;;24;23,3;;;;;;199;6,1;1,8;
2024/01/01;0200 UTC;0;963,7;963,7;963,5;,6;23,7;;24;23,6;;;;;;140;5,4;2,7;
2024/01/01;0300 UTC;0;963,6;964;963,6;;23,8;;23,8;23,5;;;;;;84;4,3;1,3;
2024/01/01;0400 UTC;0;963,2;963,6;963,2;,8;23,5;;24,2;23,5;;;;;;156;3,2;1,7;
2024/01/01;0500 UTC;0;963,2;963,3;963,1;;23,6;;23,6;23,5;;;;;;332;2,8;,9;
2024/01/01;0600 UTC;0;963,1;963,3;963,1;;23,5;;23,6;23,5;;;;;;283;2;,6;
2024/01/01;0700 UTC;0;963,2;963,2;963;;23,7;;23,8;23,5;;;;;;150;1,5;,3;
2024/01/01;0800 UTC;0;963,5;963,5;963,2;;23,8;;23,8;23,6;;;;;;211;,8;,5;
2024/01/01;0900 UTC;0;963,8;963,9;963,5;67,5;24;;24;23,8;;;;;;128;2;1,2;
2024/01/01;1000 UTC;0;964,4;964,4;963,8;452,6;24,9;;25;24;;;;;;133;2,3;1,4;
2024/01/01;1100 UTC;0;965;965;964,4;394,5;25,1;;25,1;24,9;;;;;;61;4,3;2;
2024/01/01;1200 UTC;0;965;965,3;965;1346,5;27,5;;27,5;25,1;;;;;;43;4,7;2;
2024/01/01;1300 UTC;0;964,9;965,1;964,9;2594,7;28,4;;28,6;27,3;;;;;;346;6,1;3,2;
2024/01/01;1400 UTC;0;964,6;964,9;964,6;2713,7;28,8;;29,2;27,9;;;;;;360;7;3,3;
2024/01/01;1500 UTC;0;963,7;964,6;963,7;3474;29;;30,2;28;;;;;;329;7,8;2,3;
2024/01/01;1600 UTC;0;962,6;963,7;962,6;3659,2;31,6;;31,6;28,8;;;;;;339;6,7;1,7;
2024/01/01;1700 UTC;0;961,6;962,6;961,6;1975,9;30;;32,2;29,7;;;;;;44;6;2,8;
2024/01/01;1800 UTC;0;960,7;961,6;960,7;2133,2;30,4;;30,7;29,7;;;;;;5;7,2;3,7;
2024/01/01;1900 UTC;0;960,4;960,7;960,3;1962,9;30,5;;30,6;30,2;;;;;;16;7,2;2,5;
2024/01/01;2000 UTC;0;960,7;960,7;960,3;642,7;29,1;;30,9;29,1;;;;;;44;7,5;3,3;
2024/01/01;2100 UTC;0;961,1;961,2;960,6;154,8;28,8;;29,1;28,7;;;;;;42;6,7;2,4;
2024/01/01;2200 UTC;0;962,1;962,1;961,1;;27,9;;28,8;27,9;;;;;;62;5,8;3;
2024/01/01;2300 UTC;0;963,1;963,1;962,1;;26,4;;27,9;26,4;;;;;;58;6,8;2,5;
2024/01/02;0000 UTC;0;963,5;963,5;963,1;;25,6;;26,4;25,5;;;;;;50;6,5;2,4;
2024/01/02;0100 UTC;0;963,9;964;963,5;;24,8;;25,6;24,8;;;;;;98;4,8;1,2;
2024/01/02;0200 UTC;0;963,3;963,9;963,3;;24,3;;24,8;24,2;;;;;;85;4;1,7;
2024/01/02;0300 UTC;0;963,3;963,5;963,2;;24;;24,6;24;;;;;;60;5,6;2,3;
2024/01/02;0400 UTC;0;963;963,3;962,9;;23,7;;24;23,7;;;;;;55;4,9;1,8;
2024/01/02;0500 UTC;0;962,9;963,1;962,9;;23,7;;23,8;23,6;;;;;;39;5,2;2;
2024/01/02;0600 UTC;0;962,7;962,9;962,7;;23,5;;23,8;23,5;;;;;;46;5,5;2,4;
2024/01/02;0700 UTC;0;963,2;963,2;962,7;;23,3;;23,5;23,1;;;;;;57;4,4;1,8;
2024/01/02;0800 UTC;0;963,3;963,4;963,2;;23,3;;23,4;23,2;;;;;;29;4,9;2,4;
2024/01/02;0900 UTC;0;963,9;963,9;963,3;108,9;23,8;;23,8;23,2;;;;;;55;6;2,1;
2024/01/02;1000 UTC;0;964,2;964,2;963,9;762,8;24,9;;25,1;23,8;;;;;;40;4,7;1,7;
2024/01/02;1100 UTC;0;964,4;964,4;964,2;1644,1;26,9;;26,9;24,9;;;;;;50;3,9;2;
2024/01/02;1200 UTC;0;964,2;964,4;964,2;2475,4;29,4;;29,4;26,9;;;;;;66;4;1,8;
2024/01/02;1300 UTC;0;964,1;964,2;964;2578,8;29;;29,7;29;;;;;;27;4,5;2;
2024/01/02;1400 UTC;0;963,8;964,1;963,8;2313,3;30,2;;30,8;28,9;;;;;;76;3,5;1,2;
2024/01/02;1500 UTC;0;963,3;963,8;963,3;3404,8;32;;32,4;29,9;;;;;;335;4,3;1,4;
2024/01/02;1600 UTC;0;962,2;963,3;962,2;2470,6;32,4;;32,4;30,2;;;;;;313;5;1,3;
2024/01/02;1700 UTC;0;961;962,2;961;3342,3;32;;32,8;31,6;;;;;;298;5,8;1,6;
2024/01/02;1800 UTC;0;960,2;961;960,2;2784,2;33,1;;34;31,8;;;;;;56;3,9;1,5;
2024/01/02;1900 UTC;0;959,7;960,2;959,7;1971,4;33,1;;33,4;32,7;;;;;;50;3,3;1,3;
2024/01/02;2000 UTC;0;959,7;959,8;959,6;1054;32,6;;33,2;32,3;;;;;;61;2,4;1,1;
2024/01/02;2100 UTC;0;960;960,1;959,7;210,4;31,4;;33;31,4;;;;;;109;2,1;,7;
2024/01/02;2200 UTC;0;961;961;960;;30,1;;31,4;30,1;;;;;;330;1,5;,7;
2024/01/02;2300 UTC;0;961,9;961,9;961;;29,8;;30,4;29,6;;;;;;329;3,5;1,4;
2024/01/03;0000 UTC;0;962,5;962,5;961,9;;28,9;;29,9;28,9;;;;;;320;3,9;,8;
2024/01/03;0100 UTC;0;963,3;963,3;962,5;;28,9;;29,3;28,5;;;;;;42;6,9;3,1;
2024/01/03;0200 UTC;0;963,1;963,4;963,1;;27,9;;28,9;27,9;;;;;;43;7,9;3,2;
2024/01/03;0300 UTC;0;962,7;963,2;962,7;;27,3;;27,9;27,3;;;;;;54;7,9;3,5;
2024/01/03;0400 UTC;0;962,6;962,8;962,6;;26,3;;27,3;26,3;;;;;;53;8,1;3,9;
2024/01/03;0500 UTC;0;962,7;962,8;962,6;;25,9;;26,3;25,9;;;;;;38;7,5;3,1;
2024/01/03;0600 UTC;0;962,6;962,7;962,5;;25,3;;25,9;25,3;;;;;;54;5,9;2,7;
2024/01/03;0700 UTC;0;963,2;963,2;962,6;;25,1;;25,4;25,1;;;;;;24;5,2;2,4;
2024/01/03;0800 UTC;0;963,8;963,8;963,2;;24,8;;25,2;24,8;;;;;;22;5;2,4;
2024/01/03;0900 UTC;0;964,7;964,7;963,9;53;24,8;;24,9;24,7;;;;;;17;4,8;2,3;
2024/01/03;1000 UTC;0;965;965;964,7;273,5;25,2;;25,2;24,8;;;;;;23;5,4;2,6;
