REGIAO:;NE
UF:;PE
ESTACAO:;FLORESTA
CODIGO (WMO):;A351
LATITUDE:;-8,59888888
LONGITUDE:;-38,58416666
ALTITUDE:;327,42
DATA DE FUNDACAO:;15/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;975,3;975,4;975,1;;28,1;20,1;28,4;27,9;20,4;19,6;63;59;62;314;2,8;1,3;
2024/01/01;0100 UTC;0;975,4;975,4;975,1;;27,6;19,3;28,2;27,4;20,1;18,8;64;57;61;226;2,8;1,8;
2024/01/01;0200 UTC;0;975,3;975,6;975,3;;27;20,8;27,7;26,9;20,9;19,5;69;61;69;309;4,3;,7;
2024/01/01;0300 UTC;0;975,2;975,5;975,2;;26,6;20;27,2;26,6;20,9;19,9;69;67;67;240;4,5;1,7;
2024/01/01;0400 UTC;0;974,9;975,2;974,9;;26,2;20,1;26,7;26,2;20,1;19,5;69;65;69;221;3,3;,7;
2024/01/01;0500 UTC;0;974,8;974,9;974,6;;26,1;20,9;26,2;26,1;20,9;20,1;73;69;73;205;2,1;1,1;
2024/01/01;0600 UTC;0;974,5;974,8;974,5;;26,2;20,7;26,3;26,1;21,1;20,7;73;72;72;146;4,1;2,1;
2024/01/01;0700 UTC;0;974,6;974,6;974,4;;26,1;20,6;26,3;26,1;20,7;20,5;72;71;72;148;4,4;2,6;
2024/01/01;0800 UTC;,4;974,8;975;974,5;;24,8;21,6;26,1;24,8;21,6;20,6;82;72;82;111;5,5;2,9;
2024/01/01;0900 UTC;,6;975,6;975,6;974,8;56,3;24,6;21,9;24,8;24,3;21,9;21,4;86;82;85;151;5,5;,9;
2024/01/01;1000 UTC;0;976;976;975,5;409,8;26;21,9;26;24,6;22,3;21,4;85;78;78;178;2,3;1;
2024/01/01;1100 UTC;0;976,4;976,4;976;823;27;21,5;27;25,9;22;20,9;78;70;72;14;2,7;1,3;
2024/01/01;1200 UTC;0;976,8;976,8;976,4;745,8;26,7;20,8;27,4;26,1;21,7;20,5;73;70;70;10;7,4;4;
2024/01/01;1300 UTC;0;976,4;976,8;976,4;2326,5;29,7;20,7;29,7;26,6;21,2;20,3;70;59;59;25;7,3;3,5;
2024/01/01;1400 UTC;0;975,8;976,5;975,8;3343,9;31,7;19,9;31,9;29,4;20,7;19,7;59;50;50;34;7,3;3,1;
2024/01/01;1500 UTC;0;974,9;975,9;974,8;3721,8;32,4;19,3;33;31,2;20,2;19;51;44;46;57;7,5;2,8;
2024/01/01;1600 UTC;0;974,3;974,9;974,3;1886,8;29,9;20,2;33,2;29,4;20,6;18,8;58;45;56;336;10,1;4,1;
2024/01/01;1700 UTC;0;972,8;974,4;972,8;2877,5;33,2;19,1;33,4;29,4;20,7;19,1;57;43;43;7;9,2;3,7;
2024/01/01;1800 UTC;0;971,8;972,8;971,8;1926,1;32,8;17,3;33,9;32,2;18,9;17,3;45;39;40;21;7,4;2,7;
2024/01/01;1900 UTC;0;971,4;971,9;971,2;1360,9;33,2;18,2;33,7;32,5;18,4;17,2;42;40;41;359;7,1;3,6;
2024/01/01;2000 UTC;0;971,6;971,7;971,3;847,8;32,3;18,5;33,5;32,2;18,5;17,8;44;40;44;359;7;4;
