REGIAO:;NE
UF:;PE
ESTACAO:;SALGUEIRO
CODIGO (WMO):;A370
LATITUDE:;-8,05805555
LONGITUDE:;-39,0961111
ALTITUDE:;447
DATA DE FUNDACAO:;15/09/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;2;962,7;963;962,6;;22,9;21,3;23;22,8;23;21,2;100;90;91;291;6,9;3,1;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;961,8;962,2;961,8;;23,5;23,5;23,6;23,1;23,6;23,1;100;100;100;277;1,1;0;
2024/01/01;0500 UTC;0;961,4;961,8;961,3;;23,7;23,7;23,7;23,5;23,7;23,5;100;100;100;113;1,2;0;
2024/01/01;0600 UTC;,6;961,3;961,4;961,2;;23,9;23,9;23,9;23,7;23,9;23,7;100;100;100;276;1,4;0;
2024/01/01;0700 UTC;,2;961,5;961,5;961,2;;23,9;23,9;24;23,8;24;23,8;100;100;100;156;1,6;,3;
2024/01/01;0800 UTC;0;961,8;961,8;961,4;;24;24;24,1;23,9;24,1;23,4;100;97;100;18;1,6;0;
2024/01/01;0900 UTC;0;962,3;962,4;961,8;23,5;24,3;24,3;24,3;24;24,3;24;100;100;100;83;1,2;0;
2024/01/01;1000 UTC;,2;963,2;963,2;962,3;129,1;24,4;23,7;24,4;24;24,4;23,6;100;96;96;68;2;0;
2024/01/01;1100 UTC;0;963,6;963,6;963,2;562,7;24,3;22,7;24,5;23,9;23,9;22,6;96;90;91;65;4,5;2,7;
2024/01/01;1200 UTC;1,8;963,9;963,9;963,6;934;23,8;22,4;24,3;22,8;24,2;22,2;100;90;92;60;8,5;3,4;
2024/01/01;1300 UTC;0;963,9;964,1;963,9;1981,7;26;22,8;26;23,8;23,2;21,9;93;82;83;69;6,7;3,3;
2024/01/01;1400 UTC;0;963,3;963,9;963,3;1970,1;27,3;22,2;27,5;25,8;22,7;21,6;83;72;73;69;6,3;3,2;
2024/01/01;1500 UTC;0;962,7;963,3;962,6;3103,3;29,5;22;29,6;27,2;22,8;21,2;74;63;64;100;6,3;1,9;
2024/01/01;1600 UTC;,2;961,4;962,7;961,4;3448,7;30,1;20,2;30,9;29;22;20,2;64;54;55;109;5,3;2,5;
