REGIAO:;NE
UF:;PI
ESTACAO:;CANTO DO BURITI
CODIGO (WMO):;A365
LATITUDE:;-8,11805554
LONGITUDE:;-42,97583332
ALTITUDE:;312,07
DATA DE FUNDACAO:;12/06/10
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;977,7;977,7;977;;24,2;23,1;24,8;24,2;23,3;23;94;90;93;232;2;,9;
2024/01/01;0100 UTC;0;978,2;978,2;977,7;;23,9;23,3;24,2;23,9;23,4;23;96;93;96;283;2;1,1;
2024/01/01;0200 UTC;0;978;978,3;978;;23,9;23;24;23,7;23,3;22,9;96;95;95;248;2,5;1,3;
2024/01/01;0300 UTC;0;977,9;978;977,8;;24,1;22;24,1;23,8;23;22;95;88;88;161;2;,7;
2024/01/01;0400 UTC;0;976,9;977,9;976,9;;23,5;21,4;24,1;23,5;22;21,2;88;85;88;211;2,2;,8;
2024/01/01;0500 UTC;0;976,2;976,9;976,2;;22,9;21,7;23,5;22,9;21,7;21,5;93;88;93;232;2,2;,7;
2024/01/01;0600 UTC;0;976;976,2;976;;22,5;21,9;22,9;22,5;22;21,6;97;93;97;239;1,4;1,1;
2024/01/01;0700 UTC;0;976;976;975,7;;22,5;21,9;22,7;22,4;22,2;21,9;97;96;96;114;2;,8;
2024/01/01;0800 UTC;0;976,5;976,5;976;;22,7;21,7;22,7;22,5;21,9;21,6;96;94;94;12;1,5;,8;
2024/01/01;0900 UTC;0;976,9;976,9;976,5;8,8;22,6;21,9;22,8;22,5;21,9;21,5;96;93;96;40;2,6;1,2;
2024/01/01;1000 UTC;0;977,4;977,4;976,9;289,9;23,4;22,1;23,6;22,5;22,5;21,8;96;92;92;63;2,6;1,5;
2024/01/01;1100 UTC;0;977,7;977,7;977,3;502,9;24,6;22,1;25;23,3;22,5;22;93;85;86;323;2,6;,7;
2024/01/01;1200 UTC;0;978,1;978,1;977,7;812,9;25,7;22,4;25,9;24,5;22,9;22,2;88;81;82;206;2,5;1,1;
2024/01/01;1300 UTC;0;978,4;978,4;978,1;1136,9;26,5;22,3;27,1;25,5;23,2;22,1;83;76;78;303;2,9;,9;
2024/01/01;1400 UTC;0;978;978,4;978;1941,1;28,9;22,6;28,9;26,3;22,8;21,9;80;67;69;73;3,1;1,1;
2024/01/01;1500 UTC;0;976,7;978;976,7;2430,6;31,7;21,4;31,7;28,8;22,8;21,4;69;54;55;281;3,9;1,4;
2024/01/01;1600 UTC;0;975,4;976,7;975,4;2371,1;30,7;20,5;32,1;30,1;22,4;20,4;61;53;55;27;5,3;1,3;
2024/01/01;1700 UTC;0;973,9;975,4;973,9;1861,1;31,3;19,7;33,2;30,7;21,7;19,7;56;49;50;33;5,3;1,7;
2024/01/01;1800 UTC;0;972,5;973,9;972,4;2026,2;33,1;19,6;34,1;31,3;20,2;19;50;43;45;83;4,7;1,8;
2024/01/01;1900 UTC;0;972,2;972,4;972,1;552,6;31,7;20,6;33,3;31,7;21,2;20,2;52;45;52;12;6,7;2,6;
2024/01/01;2000 UTC;0;973,7;973,7;972,2;109,6;24;23,4;31,7;23,8;23,4;20,8;97;52;97;270;10,7;3,8;
2024/01/01;2100 UTC;0;975;975;973,7;58;23,8;23,3;24;23;23,4;22;97;94;97;73;6,4;1,7;
