REGIAO:;NE
UF:;RN
ESTACAO:;APODI
CODIGO (WMO):;A340
LATITUDE:;-5,62666666
LONGITUDE:;-37,815
ALTITUDE:;131,41
DATA DE FUNDACAO:;14/11/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;997,4;997,4;996,2;;26,9;22,8;27,7;26,9;22,8;21,6;78;69;78;28;8,8;2,9;
2024/01/01;0100 UTC;0;997,8;997,8;997,4;;26,6;23,1;26,9;26,6;23,1;22,8;81;78;81;14;5,2;3,1;
2024/01/01;0200 UTC;0;998,1;998,3;997,8;;26,8;23,3;26,8;26,6;23,3;23,2;81;81;81;6;5,4;2,8;
2024/01/01;0300 UTC;0;997,7;998,3;997,7;;26,5;23,5;26,8;26,5;23,5;23,3;84;81;84;354;5,6;2,6;
2024/01/01;0400 UTC;0;997,2;997,7;997,2;;26,5;23,6;26,6;26,4;23,6;23,5;84;84;84;345;4,6;1,8;
2024/01/01;0500 UTC;,6;996,8;997,3;996,8;;26,1;23,7;26,5;26,1;23,7;23,5;87;84;87;80;4,7;1,9;
2024/01/01;0600 UTC;7,8;996,7;996,9;996,4;;25,7;24,5;26,1;25,5;24,5;23,7;93;87;93;58;3,1;0;
2024/01/01;0700 UTC;4,4;996,2;997,3;996,2;1;23;22,1;25,8;23;24,7;21,9;95;92;95;278;9,1;5,3;
2024/01/01;0800 UTC;7,2;997,2;997,2;996,1;;22,6;21,7;23,1;22,3;22,2;21,5;96;94;95;291;11,1;3,5;
2024/01/01;0900 UTC;2,6;998,7;998,7;997,2;10,7;23;21,9;23;22,6;22;21,7;95;94;94;276;8,1;,2;
2024/01/01;1000 UTC;1,2;999;999;998,7;87,9;23,2;22,4;23,2;22,9;22,4;22;95;94;95;93;3,6;2,2;
2024/01/01;1100 UTC;,2;999,3;999,3;998,9;202;23,4;22,7;23,5;23;22,7;22,2;96;95;96;108;4;2,6;
