REGIAO:;NE
UF:;RN
ESTACAO:;IPANGUACU
CODIGO (WMO):;A372
LATITUDE:;-5,53499999
LONGITUDE:;-36,87222221
ALTITUDE:;19
DATA DE FUNDACAO:;08/11/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1010,1;1010,1;1009,4;;27,8;23,8;28,2;27,8;23,9;23,8;79;77;79;58;7,2;2,4;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;1010,4;1010,6;1010,4;;27,6;23,8;27,7;27,6;23,8;23,7;80;79;80;58;4,1;1,3;
2024/01/01;0300 UTC;0;1010,1;1010,4;1009,9;;27,2;23,8;27,6;27,2;23,9;23,8;82;80;82;61;3,3;,1;
2024/01/01;0400 UTC;0;1009,5;1010,2;1009,5;;27,2;23,8;27,3;27,2;23,9;23,8;82;81;82;120;2,3;,1;
2024/01/01;0500 UTC;0;1008,9;1009,5;1008,9;;27;23,8;27,2;26,9;23,8;23,7;83;82;82;114;2,8;,3;
2024/01/01;0600 UTC;0;1008,8;1008,9;1008,6;;27,1;23,9;27,1;27;23,9;23,7;83;82;83;90;3,6;1,6;
2024/01/01;0700 UTC;0;1008,7;1008,8;1008,4;;27;23,9;27,1;26,9;23,9;23,8;84;82;83;95;3,6;1,1;
2024/01/01;0800 UTC;0;1008,8;1008,8;1008,4;;26,3;24,2;27;26,2;24,2;23,9;89;83;88;86;4,6;1,3;
2024/01/01;0900 UTC;0;1009,9;1010;1008,8;106,4;26,5;24,6;26,6;26,3;24,6;24,2;90;87;90;125;3,9;,2;
