REGIAO:;NE
UF:;SE
ESTACAO:;ITABAIANINHA
CODIGO (WMO):;A417
LATITUDE:;-11,27249999
LONGITUDE:;-37,79499999
ALTITUDE:;204,8
DATA DE FUNDACAO:;23/05/07
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;989,3;989,3;988,7;;24,6;21,6;25;24,6;21,6;20,5;83;76;83;64;5,1;2,6;
2024/01/01;0100 UTC;0;989,7;989,8;989,3;;24,5;22,4;24,6;24,5;22,5;21,6;88;83;88;61;4,7;2,7;
2024/01/01;0200 UTC;0;989,5;989,7;989,3;;24,3;22,5;24,5;24,3;22,6;22,4;90;88;90;64;5,1;2,7;
2024/01/01;0300 UTC;0;989,1;989,5;989,1;;24;22,6;24,3;23,9;22,6;22,5;92;90;92;64;4,4;2,3;
2024/01/01;0400 UTC;0;989,4;989,4;989;;23,8;22,6;24;23,6;22,6;22,4;93;91;93;30;3,6;1;
2024/01/01;0500 UTC;0;989;989,4;989;;23,8;22,6;23,9;23,7;22,7;22,5;93;93;93;42;2,6;1,2;
2024/01/01;0600 UTC;0;988,7;989;988,7;;23,7;22,5;23,8;23,6;22,6;22,4;93;93;93;63;2;1,3;
2024/01/01;0700 UTC;0;988,6;988,7;988,5;;23,3;22,3;23,7;23,3;22,5;22,1;94;93;94;29;2,1;1,1;
2024/01/01;0800 UTC;0;989,1;989,1;988,6;;23,3;22,4;23,4;23,3;22,5;22,3;95;94;95;40;1,9;,8;
2024/01/01;0900 UTC;0;989,7;989,7;989,1;92,6;23,9;22,8;23,9;23,2;22,8;22,3;95;94;94;14;2;1,1;
2024/01/01;1000 UTC;0;989,8;989,8;989,6;519,9;25,5;22,3;25,5;23,9;23,2;22,3;94;83;83;38;4,4;2,2;
2024/01/01;1100 UTC;0;990,1;990,1;989,8;1654,6;27,7;18,9;28,2;25,5;22,6;18,7;83;57;59;45;6,9;3,3;
2024/01/01;1200 UTC;0;990,1;990,3;990,1;1755,5;28,5;17,9;28,7;27,1;19,4;17,6;60;53;53;23;7;3,5;
2024/01/01;1300 UTC;0;989,8;990,2;989,8;2821,3;29,4;16,5;30,1;28,4;18,2;16;53;44;46;54;7,5;2,2;
2024/01/01;1400 UTC;0;989,4;989,8;989,4;3312,2;30,9;14,3;31,6;29,3;16,8;13,8;47;35;36;122;6,9;2,2;
2024/01/01;1500 UTC;0;988,7;989,4;988,7;2810,4;30,8;14,7;32,2;30,7;15;12,6;38;32;38;65;7;2,2;
2024/01/01;1600 UTC;0;987,8;988,7;987,8;2105,4;31,6;14,7;33,2;30,8;15,3;13,3;38;31;36;79;7,2;2,9;
2024/01/01;1700 UTC;0;986,6;987,8;986,6;2258,2;32;14,8;32,2;31,3;15,2;14;37;34;35;91;7,4;3,4;
2024/01/01;1800 UTC;0;986;986,6;986;2604,3;31,7;15,7;32,6;31,4;16,1;14,6;39;34;38;84;8,5;3,7;
2024/01/01;1900 UTC;0;985,8;986,1;985,7;1941,3;30,8;15,9;31,8;30,5;16,5;15,5;42;38;41;97;8,6;3,6;
2024/01/01;2000 UTC;0;986,1;986,1;985,7;1108,1;29,7;14,4;31,1;29,7;16,1;13,6;41;37;39;102;8,6;2,4;
2024/01/01;2100 UTC;0;986,6;986,7;986,1;236,5;27,4;17,3;29,7;27,4;17,3;14,2;54;39;54;90;7,8;2,5;
2024/01/01;2200 UTC;0;987,6;987,6;986,6;;25,8;18,9;27,4;25,8;18,9;17,4;66;54;66;66;7;3,5;
2024/01/01;2300 UTC;0;988,6;988,6;987,6;;25,1;19,5;25,8;25,1;19,5;18,9;71;66;71;65;7;3,5;
2024/01/02;0000 UTC;0;989,4;989,4;988,6;;24,7;20,2;25,1;24,7;20,2;19,5;76;71;76;63;7,2;3,2;
