REGIAO:;NE
UF:;SE
ESTACAO:;BREJO GRANDE
CODIGO (WMO):;A421
LATITUDE:;-10,47388888
LONGITUDE:;-36,48194443
ALTITUDE:;6,11
DATA DE FUNDACAO:;17/07/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1012,6;1012,6;1011,9;;26,6;24,9;27,1;26,6;25;24,8;91;87;91;72;5,6;1,6;
2024/01/01;0100 UTC;0;1012,7;1012,7;1012,4;;26,3;24,9;26,6;26,3;25;24,7;92;90;92;76;5,1;1,9;
2024/01/01;0200 UTC;0;1012,8;1012,8;1012,6;;25,9;24,9;26,3;25,8;24,9;24,6;94;92;94;73;3,6;1,4;
2024/01/01;0300 UTC;0;1012,4;1012,9;1012,3;;25,4;24,7;26;25,4;24,9;24,7;96;93;96;85;3,6;1;
2024/01/01;0400 UTC;0;1012,1;1012,4;1012,1;;24,5;24,4;25,4;24,5;24,8;24,3;99;96;99;81;2,3;,8;
2024/01/01;0500 UTC;0;1011,8;1012,1;1011,8;;23,7;23,7;24,6;23,7;24,6;23,7;100;99;100;359;1,9;,2;
2024/01/01;0600 UTC;0;1011,7;1011,8;1011,7;;23,1;;23,7;23;23,7;23;100;100;;306;,6;,4;
2024/01/01;0700 UTC;0;1011,8;1011,8;1011,5;;22,5;;23,2;22,4;;;;;;291;1;,4;
2024/01/01;0800 UTC;0;1011,9;1011,9;1011,7;;22,1;;22,6;22;;;;;;314;,8;,4;
2024/01/01;0900 UTC;0;1012,7;1012,7;1011,9;114,2;22,5;;22,5;22;;;;;;221;1;,3;
2024/01/01;1000 UTC;0;1013;1013;1012,7;1122,8;26,9;25,8;26,9;22,5;;;;;93;59;2,9;1,4;
2024/01/01;1100 UTC;0;1013,1;1013,1;1012,9;2333,7;29,4;25;29,4;26,9;26,1;24,6;93;77;77;54;4,4;2,1;
2024/01/01;1200 UTC;0;1013,3;1013,4;1013,1;3162,4;30,1;24,1;30,7;29,1;25,2;23,7;77;68;70;63;5,4;2,8;
2024/01/01;1300 UTC;0;1013;1013,3;1013;3902,7;31,9;23,7;32,2;29,9;24,8;23,2;72;62;62;66;5,9;2,6;
2024/01/01;1400 UTC;0;1012,5;1013;1012,5;4660,8;32;22,5;32,8;31,2;24,9;21,4;65;53;57;82;6,6;2,8;
2024/01/01;1500 UTC;0;1012,1;1012,5;1012,1;4606,1;33;24,2;33,2;31,7;24,7;22;64;54;60;108;7,1;2,4;
2024/01/01;1600 UTC;0;1011,4;1012,1;1011,4;4497,1;32,1;23,6;33,2;31,7;24,5;22,6;64;57;61;89;7,6;3,5;
2024/01/01;1700 UTC;0;1010,2;1011,4;1010,2;4302,6;31,5;24,3;32,5;31,3;24,8;23,1;66;59;66;93;7,1;3,5;
2024/01/01;1800 UTC;0;1009,6;1010,2;1009,6;3555,3;30,1;24;31,9;30,1;25,5;24;71;64;70;93;8,3;3,3;
2024/01/01;1900 UTC;0;1009,5;1009,6;1009,4;2513,9;29,9;24,4;31,1;29,8;25,2;23,8;74;67;72;104;8,4;2,6;
2024/01/01;2000 UTC;0;1009,8;1009,8;1009,5;1289,5;28,6;24,2;30,1;28,6;24,6;23,6;77;71;77;91;6,7;3;
2024/01/01;2100 UTC;0;1010,5;1010,5;1009,8;144,4;27,4;24,1;28,6;27,4;24,4;24,1;82;77;82;81;6,4;2,5;
2024/01/01;2200 UTC;0;1011,5;1011,5;1010,5;;27;24,3;27,4;26,9;24,4;23,8;86;81;85;78;5,8;2,5;
2024/01/01;2300 UTC;0;1012,3;1012,3;1011,5;;27;24,4;27,2;26,9;24,5;24,2;86;84;86;74;6,2;2,4;
2024/01/02;0000 UTC;0;1012,3;1012,3;1012,1;;26,8;24,6;27,2;26,8;24,6;24,4;88;85;88;75;7;2,3;
2024/01/02;0100 UTC;0;1012,4;1012,4;1012,2;;26,8;25;26,9;26,7;25;24,5;90;87;90;73;5,3;2;
2024/01/02;0200 UTC;0;1012;1012,4;1012;;26;24,5;26,8;26;25;24,5;92;89;92;69;4,9;1;
2024/01/02;0300 UTC;0;1011,5;1012;1011,5;;24,9;24,5;26;24,9;24,7;24,4;98;92;98;43;3;,5;
2024/01/02;0400 UTC;0;1011,2;1011,5;1011,2;;24,2;24,2;24,9;24,2;24,6;24,1;100;98;100;333;1,5;,2;
2024/01/02;0500 UTC;0;1010,9;1011,2;1010,9;;23,6;23,6;24,2;23,6;24,1;23,6;100;100;100;58;1,7;,4;
2024/01/02;0600 UTC;0;1010,5;1010,9;1010,5;;23,1;;23,6;22,9;23,6;22,9;100;100;;259;1,2;,2;
2024/01/02;0700 UTC;0;1011,1;1011,1;1010,5;;22,7;;23,1;22,5;;;;;;306;,8;,4;
2024/01/02;0800 UTC;0;1011,8;1011,8;1011,1;;22,7;;22,9;22,5;;;;;;256;1,1;,5;
2024/01/02;0900 UTC;0;1012,2;1012,2;1011,8;109,6;23,7;;23,7;22,2;;;;;;345;1,5;,4;
2024/01/02;1000 UTC;0;1012,4;1012,4;1012,1;1148,6;27,8;24,8;27,8;23,7;25,5;24,5;100;84;84;54;3,2;1,6;
2024/01/02;1100 UTC;0;1012,6;1012,6;1012,4;2617,2;29,8;24,5;30,1;27,8;25,2;24,5;84;73;73;59;5,8;2,3;
2024/01/02;1200 UTC;0;1012,4;1012,6;1012,3;3505,9;31,5;23,9;31,7;29,7;25;23,6;74;64;64;57;7,1;2,4;
2024/01/02;1300 UTC;0;1012,1;1012,3;1012,1;3911,3;32,8;25,1;32,8;30,2;25,2;23,4;70;63;64;62;6,7;2,9;
2024/01/02;1400 UTC;0;1011,8;1012,1;1011,7;4693,7;32,1;24,7;33;31,5;25,1;23,7;67;61;65;82;8,3;3,8;
2024/01/02;1500 UTC;0;1011,3;1011,8;1011,3;4548,1;32,1;24,3;32,8;30,6;25,4;23,9;71;62;64;82;8,9;3,7;
2024/01/02;1600 UTC;0;1010,7;1011,3;1010,7;4667,2;31,5;24,6;32,4;31,2;25,2;24,1;68;64;67;89;9,3;4,2;
2024/01/02;1700 UTC;0;1009,8;1010,7;1009,8;4291,9;31,2;24,7;32,8;31,1;25,5;23,5;69;62;68;93;10,6;3,6;
2024/01/02;1800 UTC;0;1009,3;1009,8;1009,3;3575,2;30,9;24,4;31,7;30,7;25,1;23,8;70;65;69;100;9,4;3,2;
