REGIAO:;N
UF:;AM
ESTACAO:;MANACAPURU
CODIGO (WMO):;A119
LATITUDE:;-3,29472221
LONGITUDE:;-60,62833332
ALTITUDE:;36,57
DATA DE FUNDACAO:;10/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;1006,9;1006,9;1006,2;0;26,1;23,2;26,4;26,1;23,6;23,2;86;83;84;48;3,9;2,2;
2024/01/01;0200 UTC;0;1007,7;1007,8;1006,8;0;25,7;23,3;26,1;25,6;23,3;23,1;87;84;86;56;3,9;2,1;
2024/01/01;0300 UTC;0;1007,4;1007,8;1007,4;0;25,8;23;25,9;25,6;23,4;22,9;86;84;84;76;4,7;1,7;
2024/01/01;0400 UTC;0;1006,7;1007,5;1006,7;0;25,6;22,9;25,8;25,6;23;22,8;85;84;85;81;3,4;1,6;
2024/01/01;0500 UTC;0;1006,1;1006,7;1006,1;0;25,7;23;25,7;25,5;23,1;22,9;86;85;85;100;2,5;,3;
2024/01/01;0600 UTC;0;1005,5;1006,2;1005,5;0;25,8;23,6;25,8;25,7;23,6;23;88;85;88;164;1,2;,3;
2024/01/01;0700 UTC;0;1005,4;1005,6;1005,4;0;25,7;23,7;26;25,5;23,9;23,4;89;87;89;148;3;1,5;
2024/01/01;0800 UTC;0;1005,3;1005,5;1005,2;0;25,3;23,6;25,7;25,3;23,7;23,5;90;88;90;115;3;,1;
2024/01/01;0900 UTC;0;1005,5;1005,5;1005,3;0;25,2;23,6;25,4;25,2;23,7;23,6;91;90;91;56;1;,2;
2024/01/01;1000 UTC;0;1006,2;1006,2;1005,5;,6;25,1;23,6;25,2;25;23,7;23,6;92;91;92;123;,8;0;
2024/01/01;1100 UTC;0;1007;1007;1006,2;120,9;25,9;24,3;25,9;25;24,3;23,6;92;90;91;208;1,6;,4;
2024/01/01;1200 UTC;0;1007,7;1007,7;1007;508,5;26,1;23,7;26,5;25,8;24,3;23,7;91;86;87;163;2,5;1,2;
2024/01/01;1300 UTC;0;1008,5;1008,5;1007,7;751,8;27,1;24;27,3;26,1;24,3;23,7;87;82;83;162;2,5;,6;
2024/01/01;1400 UTC;0;1008,6;1008,6;1008,5;1707,9;28,7;24,1;28,9;26,9;24,2;23,1;83;73;76;164;2,8;1,3;
2024/01/01;1500 UTC;0;1008;1008,6;1008;1973,5;28,8;24,5;29,5;28,2;24,9;23,3;79;73;78;178;3,9;2,2;
2024/01/01;1600 UTC;0;1007,2;1008;1007,2;2345,2;29,6;23,6;31,5;28,8;25;23,5;78;66;70;183;3,9;1,5;
2024/01/01;1700 UTC;0;1006,1;1007,2;1006,1;1277,1;30,7;24,4;30,7;29,3;24,5;23,5;73;68;69;217;4,4;,4;
