REGIAO:;N
UF:;AM
ESTACAO:;ITACOATIARA
CODIGO (WMO):;A121
LATITUDE:;-3,13333333
LONGITUDE:;-58,48277777
ALTITUDE:;41,54
DATA DE FUNDACAO:;17/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;1006,3;1006,3;1005,5;0;24,7;23,4;24,7;24,5;23,4;23,1;93;92;93;326;2,6;0;
2024/01/01;0100 UTC;;1006,7;1006,7;1006,3;0;24,8;23,4;24,8;24,6;23,5;23,1;93;92;92;244;2,4;,6;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;1007,2;1007,2;1006,8;0;24,4;23,2;24,6;24,3;23,3;23,1;93;92;93;315;1,9;0;
2024/01/01;0400 UTC;;1006,7;1007,2;1006,7;0;24,2;23;24,4;24,1;23,2;22,9;93;93;93;289;1,1;0;
2024/01/01;0500 UTC;;1005,7;1006,7;1005,7;0;24,1;22,9;24,3;24;23,1;22,8;93;93;93;315;,7;0;
2024/01/01;0600 UTC;;1005;1005,7;1005;0;23,8;22,7;24,1;23,8;22,9;22,7;93;93;93;322;,8;,1;
2024/01/01;0700 UTC;;1005,2;1005,4;1005;0;23,6;22,5;23,8;23,6;22,7;22,5;94;93;94;321;1,3;0;
2024/01/01;0800 UTC;;1005,2;1005,2;1005,1;0;23,7;22,7;23,7;23,6;22,7;22,5;94;94;94;323;0;0;
2024/01/01;0900 UTC;;1005,5;1005,6;1005,2;0;23,8;22,8;23,8;23,6;22,8;22,6;94;94;94;311;0;0;
2024/01/01;1000 UTC;;1005,9;1005,9;1005,5;4,8;23,8;22,8;23,9;23,8;22,9;22,7;94;94;94;325;,4;0;
2024/01/01;1100 UTC;;1006,8;1006,8;1005,9;233;24,4;23,3;24,4;23,8;23,3;22,8;94;94;94;294;2,9;1,6;
2024/01/01;1200 UTC;;1007,6;1007,6;1006,8;782,9;26,1;24,5;26,1;24,3;24,5;23,2;94;90;91;297;3;1;
2024/01/01;1300 UTC;;1007,9;1007,9;1007,6;1294,2;27,8;24,2;29;26,2;25,8;24,2;91;80;81;210;2,7;,9;
2024/01/01;1400 UTC;;1008,1;1008,1;1007,9;1528,3;29,1;25,6;30;27,7;26,1;24,6;84;76;82;226;3,2;1,3;
2024/01/01;1500 UTC;;1007,4;1008,1;1007,4;1449,8;29,3;24,4;29,9;28,8;25,8;24;82;73;75;246;3,6;1,2;
2024/01/01;1600 UTC;;1006,8;1007,4;1006,8;1847,7;30,6;23,6;31,2;29,3;25,5;23,3;76;65;66;277;4,1;2,1;
2024/01/01;1700 UTC;;1005,8;1006,8;1005,8;1836;30,9;24;31,3;30,2;25,1;23,3;71;65;67;285;4,1;1,5;
2024/01/01;1800 UTC;;1004,5;1005,8;1004,5;1661,8;31,3;23,7;31,6;30,3;24,9;23,6;71;64;64;289;5,7;2,8;
2024/01/01;1900 UTC;;1003,5;1004,5;1003,5;1956;31,5;22,8;32,7;30,8;25;22,5;68;59;60;271;5,7;1,9;
2024/01/01;2000 UTC;;1003;1003,5;1003;955;30;22,4;31,5;30;23,7;22,1;67;60;64;271;5,3;1,8;
2024/01/01;2100 UTC;;1003;1003,1;1002,9;883,7;29,7;23,2;30,3;29,7;23,7;22,5;69;64;68;268;4,7;1,8;
2024/01/01;2200 UTC;;1003,5;1003,5;1003;221,2;28,6;23,5;29,8;28,6;23,6;23,1;74;67;74;279;4,3;,4;
2024/01/01;2300 UTC;;1004,3;1004,3;1003,5;1,7;27,6;23,6;28,6;27,6;23,8;23,4;79;74;79;281;1,5;,2;
2024/01/02;0000 UTC;;1004,9;1004,9;1004,3;0;27;23,8;27,8;27;23,9;23,2;83;77;83;301;1,6;,5;
2024/01/02;0100 UTC;;1005,9;1005,9;1004,9;0;26,9;23,5;27,1;26,7;24;23,4;84;81;82;282;1,4;,1;
2024/01/02;0200 UTC;;1006,7;1006,7;1005,9;0;26,4;23,7;27;26,4;23,8;23,4;85;81;85;303;1,4;0;
2024/01/02;0300 UTC;;1006,5;1006,7;1006,5;0;26,4;24,1;26,4;26,2;24,1;23,7;87;85;87;201;,9;0;
2024/01/02;0400 UTC;;1005,7;1006,5;1005,7;0;26,7;24,6;26,9;26,3;24,8;24;88;87;88;213;1,3;,1;
2024/01/02;0500 UTC;;1004,7;1005,8;1004,7;0;26,4;24,5;26,8;26,4;24,8;24,5;90;88;89;202;1,5;0;
2024/01/02;0600 UTC;;1004,2;1004,7;1004,2;0;26;24,4;26,4;25,9;24,5;24,2;91;89;91;235;0;0;
2024/01/02;0700 UTC;;1004;1004,2;1004;0;26,4;24,8;26,5;25,8;25;24,3;92;91;91;238;0;0;
2024/01/02;0800 UTC;;1004,1;1004,1;1004;0;26,4;24,6;26,6;26,3;25;24,5;91;90;90;228;0;0;
2024/01/02;0900 UTC;;1004,2;1004,3;1004;0;26,2;24,6;26,4;25,9;24,6;24,1;91;89;91;244;0;0;
2024/01/02;1000 UTC;;1004,9;1005;1004,2;2,4;26,1;24,5;26,4;26;24,7;24,3;91;90;91;239;0;0;
2024/01/02;1100 UTC;;1005,9;1005,9;1005;170,5;26,5;24,2;26,6;26,1;24,6;24,2;91;87;87;229;3;1,8;
2024/01/02;1200 UTC;;1007,2;1007,2;1005,9;506,2;27,5;24,8;27,5;26,5;24,8;24,1;88;84;85;219;2,8;,6;
2024/01/02;1300 UTC;;1008;1008;1007,2;813,8;28;24,8;28,1;27,3;25;24,4;85;82;83;265;5,2;1,7;
2024/01/02;1400 UTC;;1008;1008,2;1008;1523,9;29,1;24,4;29,2;27,7;25,3;24;84;75;76;271;7;3,2;
2024/01/02;1500 UTC;;1007,8;1008,1;1007,8;1387;27,8;23,6;29,7;27,8;24,8;23,6;79;72;78;274;6,9;2,1;
2024/01/02;1600 UTC;;1006,9;1007,8;1006,9;1938,1;29,2;24;30,1;27,8;24,9;23,3;79;70;74;276;7,1;2,2;
2024/01/02;1700 UTC;;1006,2;1007;1006,1;1635,9;29,4;23,6;30,3;28,8;24,5;23,3;74;68;71;280;5,3;2,6;
2024/01/02;1800 UTC;;1005,3;1006,2;1005,3;1418,9;29,1;23,9;29,4;28,6;24,5;23,5;76;71;73;266;6,4;2,1;
2024/01/02;1900 UTC;;1003,9;1005,3;1003,9;1080,6;29,1;23,7;29,6;29;24,2;23,2;74;70;72;268;5,3;1,1;
2024/01/02;2000 UTC;;1003,2;1003,9;1003,2;637,1;28,4;23,9;29,1;28,4;24,1;23,3;77;72;77;259;4,8;,3;
