REGIAO:;N
UF:;AM
ESTACAO:;BARCELOS
CODIGO (WMO):;A128
LATITUDE:;-,98722221
LONGITUDE:;-62,92416666
ALTITUDE:;29,88
DATA DE FUNDACAO:;19/04/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;0;1007,2;1007,3;1006,6;0;24,9;23,7;25,2;24,9;23,9;23,7;93;92;93;148;0;0;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;1007,3;1007,5;1007,3;0;25,3;24,2;25,3;24,9;24,2;23,8;94;93;94;29;0;0;
2024/01/01;0500 UTC;0;1006,6;1007,3;1006,6;0;25,3;24,1;25,4;25,3;24,3;24,1;94;93;93;42;0;0;
2024/01/01;0600 UTC;0;1006;1006,6;1006;0;25,1;24;25,3;25,1;24,1;24;94;93;94;10;,2;0;
2024/01/01;0700 UTC;0;1006,4;1006,4;1005,8;0;25,2;24,1;25,2;25,1;24,1;24;94;93;93;137;4,1;,5;
2024/01/01;0800 UTC;0;1005,8;1006,4;1005,5;0;25,1;23,9;25,5;25,1;24,3;23,9;93;93;93;30;4,1;,4;
2024/01/01;0900 UTC;0;1006,4;1006,4;1005,8;0;25;23,7;25,1;25;24;23,7;93;93;93;166;2,5;,3;
2024/01/01;1000 UTC;0;1006,8;1006,8;1006,3;0;24,9;23,8;25;24,8;23,8;23,7;93;92;93;169;1,9;,4;
2024/01/01;1100 UTC;0;1007,5;1007,5;1006,8;202,4;25,4;24;25,4;24,8;24;23,6;93;92;92;159;1,9;,9;
2024/01/01;1200 UTC;0;1008,7;1008,7;1007,5;1033,8;26,7;23,7;26,8;25,4;24,5;23,6;92;84;84;106;2,3;,7;
