REGIAO:;N
UF:;AP
ESTACAO:;PORTO GRANDE
CODIGO (WMO):;A244
LATITUDE:;,69416666
LONGITUDE:;-51,40388888
ALTITUDE:;84,8
DATA DE FUNDACAO:;17/09/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;5,4;1002,9;1002,9;1001,9;;24,7;21,1;25,9;24,7;21,1;20,7;80;74;80;99;6;2,9;
2024/01/01;0100 UTC;20;1003,7;1003,7;1002,9;;24,8;22,2;24,8;24,6;22,2;21;85;80;85;261;4,9;1,7;
2024/01/01;0200 UTC;0;1003,2;1003,7;1003,2;;25,1;21,5;25,2;24,8;22,3;21,5;86;80;80;47;3,8;1;
2024/01/01;0300 UTC;0;1003,5;1003,7;1003,1;;25,2;21,7;25,4;25,1;21,8;21,5;81;80;81;262;1,7;,4;
2024/01/01;0400 UTC;0;1003;1003,5;1003;;25,4;21,8;25,5;25,2;21,9;21,7;81;80;81;292;2,1;,9;
2024/01/01;0500 UTC;0;1002,4;1003;1002,4;1,1;25,3;21,5;25,4;25,2;21,8;21,5;81;79;79;16;3,6;1,7;
2024/01/01;0600 UTC;0;1002,1;1002,4;1002,1;,1;25,2;21,5;25,4;25,2;21,6;21,4;80;79;80;356;3,6;1,1;
2024/01/01;0700 UTC;0;1001,6;1002,1;1001,6;,2;25,2;21,4;25,2;25,1;21,5;21,4;80;80;80;4;2,9;1,5;
2024/01/01;0800 UTC;0;1001,3;1001,6;1001,2;,3;25;21,3;25,2;25;21,4;21,2;80;80;80;340;3,3;1,4;
2024/01/01;0900 UTC;0;1002;1002;1001,3;;24,9;21,3;25,1;24,9;21,4;21,3;81;80;81;335;2,7;1,2;
