REGIAO:;N
UF:;PA
ESTACAO:;BELEM
CODIGO (WMO):;A201
LATITUDE:;-1,411228
LONGITUDE:;-48,439512
ALTITUDE:;21,17
DATA DE FUNDACAO:;20/01/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1009,8;1009,8;1009,2;0;27,4;24,1;28,2;27,4;25,5;23,8;86;80;82;193;4,7;1,3;
2024/01/01;0100 UTC;0;1010,8;1010,8;1009,8;0;27,2;24,2;27,4;27,1;24,3;24;84;82;84;242;4,2;,4;
2024/01/01;0200 UTC;0;1010,7;1010,8;1010,3;0;26,4;24,7;27,2;26,4;24,8;24,3;91;84;90;242;1,6;0;
2024/01/01;0300 UTC;0;1010,2;1010,8;1010,2;0;26,9;24,8;26,9;26,2;24,9;24,7;91;88;88;248;1,8;,3;
2024/01/01;0400 UTC;0;1009,7;1010,2;1009,7;0;26,9;24,8;27,1;26,8;24,9;24,7;89;88;89;236;3;0;
2024/01/01;0500 UTC;0;1009,2;1009,7;1009,2;0;26,4;25;26,9;26,4;25;24,8;92;89;92;236;1,9;,9;
2024/01/01;0600 UTC;0;1008,6;1009,2;1008,6;0;26;24,9;26,4;26;25,1;24,9;94;92;94;236;1,8;,2;
2024/01/01;0700 UTC;0;1008,3;1008,6;1008,3;0;26,2;24,9;26,2;25,9;25,1;24,9;95;93;93;236;1,9;,3;
2024/01/01;0800 UTC;0;1008,5;1008,8;1008,3;0;26;25,1;26,2;25,9;25,1;24,9;95;93;95;236;2,7;1;
2024/01/01;0900 UTC;0;1008,9;1008,9;1008,4;0;25,7;24,9;26;25,6;25,1;24,8;96;94;95;248;2,7;,6;
2024/01/01;1000 UTC;0;1009,7;1009,7;1008,9;20;25,8;24,8;25,8;25,5;24,9;24,7;96;94;94;248;1,8;,6;
2024/01/01;1100 UTC;0;1010,4;1010,5;1009,7;213;26;24,6;26,1;25,6;24,9;24,4;95;91;92;284;3,4;1,7;
2024/01/01;1200 UTC;0;1011,3;1011,3;1010,4;163,2;26,1;24,7;26,2;25,8;24,7;24,5;93;91;92;295;3,4;1;
2024/01/01;1300 UTC;0;1011,8;1011,8;1011,3;388,6;26,7;25,1;26,8;26,1;25,3;24,7;93;90;90;313;2,7;,9;
