REGIAO:;N
UF:;PA
ESTACAO:;SALINOPOLIS
CODIGO (WMO):;A215
LATITUDE:;-,61888888
LONGITUDE:;-47,35666666
ALTITUDE:;23,18
DATA DE FUNDACAO:;14/06/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;1011,9;1012;1011,3;;27;23,7;27,1;26,9;23,9;23,1;83;79;82;35;6,2;2,5;
2024/01/01;0100 UTC;0;1012,5;1012,6;1011,8;;27;23,3;27,1;26,9;23,8;23,1;83;80;80;46;6,3;3,3;
2024/01/01;0200 UTC;0;1012,3;1012,9;1012,3;;27;23,3;27;26,9;23,5;23;81;79;80;48;6,3;3,2;
2024/01/01;0300 UTC;0;1012,4;1012,5;1012;;26,8;23,5;27,1;26,8;23,9;23;83;79;82;46;6,2;3;
2024/01/01;0400 UTC;0;1011,8;1012,4;1011,6;;26,8;23,2;26,9;26,7;23,7;22,9;83;79;81;47;6,5;3,4;
2024/01/01;0500 UTC;0;1011,1;1011,8;1010,8;;26,8;23,5;26,9;26,6;23,8;23;83;80;82;44;6,5;3,1;
2024/01/01;0600 UTC;0;1010,6;1011,1;1010,6;;25,9;21,9;26,8;25,8;23,6;21,9;84;79;79;37;8,5;3,2;
2024/01/01;0700 UTC;0;1010,1;1010,7;1009,7;;26,5;23,3;26,6;25,9;23,8;21,8;86;78;82;39;6,4;2,8;
2024/01/01;0800 UTC;0;1010,3;1010,4;1009,9;;25,3;22,8;26,6;25,3;23,3;21,8;86;79;86;64;7,3;3,4;
2024/01/01;0900 UTC;3,6;1010,7;1010,7;1009,9;,8;25,7;23,5;25,8;24,8;23,9;22,7;92;86;87;41;7,3;2,1;
