REGIAO:;N
UF:;PA
ESTACAO:;TUCURUI
CODIGO (WMO):;A229
LATITUDE:;-3,82277777
LONGITUDE:;-49,67499999
ALTITUDE:;137,94
DATA DE FUNDACAO:;01/03/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;996;996;995,4;;25,7;23,1;25,7;25,5;23,1;22,4;86;82;86;251;0;0;
2024/01/01;0100 UTC;;996,3;996,3;996;;25,7;25,6;25,9;25,5;25,6;23,2;100;86;99;178;0;0;
2024/01/01;0200 UTC;;996,3;996,4;996,2;;25,4;24;25,9;25,3;25,6;23,8;100;90;92;144;0;0;
2024/01/01;0300 UTC;;996;996,4;996;;25,9;22,9;26,1;25,4;24,5;22,9;94;83;84;185;0;0;
2024/01/01;0400 UTC;;995,8;996,1;995,8;;25,7;25,3;25,9;25,5;25,7;22,9;100;84;98;228;0;0;
2024/01/01;0500 UTC;;995,3;995,9;995,3;;25,3;25,3;25,6;25,1;;;100;98;100;290;0;0;
2024/01/01;0600 UTC;;994,8;995,3;994,8;;24,5;;25,4;24,5;;;;;;309;3,7;0;
2024/01/01;0700 UTC;;995;995;994,7;;24;;24,5;23,9;;;;;;302;0;0;
2024/01/01;0800 UTC;;995,2;995,3;995;;24,1;;24,1;23,9;;;;;;297;0;0;
2024/01/01;0900 UTC;;995;995,3;995;;24;;24,1;24;;;;;;309;1,9;0;
2024/01/01;1000 UTC;;995,9;995,9;995;98,1;24,4;;24,5;24;;;;;;350;0;0;
2024/01/01;1100 UTC;;996,7;996,7;995,9;414,7;25,1;24,3;25,1;24,4;;;;;95;327;3,7;0;
2024/01/01;1200 UTC;;997,2;997,2;996,6;932,4;26,4;23,2;26,9;25,1;24,2;22,7;95;79;82;30;2,3;0;
2024/01/01;1300 UTC;;997,2;997,3;997,1;1016,5;27;23,6;27,1;26,4;23,8;23,3;84;80;82;310;1,6;0;
2024/01/01;1400 UTC;;996,9;997,3;996,9;1361,5;28,8;24,1;28,9;27;24,2;22,6;83;71;76;48;2,6;,1;
