REGIAO:;N
UF:;PA
ESTACAO:;SANTANA DO ARAGUAIA
CODIGO (WMO):;A233
LATITUDE:;-9,34055555
LONGITUDE:;-50,35027777
ALTITUDE:;154
DATA DE FUNDACAO:;30/05/08
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;,2;992,5;992,5;991,8;,4;26,1;23,7;26,3;25,9;23,9;23,4;88;85;87;15;2,5;1,3;
2024/01/01;0100 UTC;,2;992,8;992,8;992,5;,8;25,6;23,5;26,1;25,6;23,8;23,5;89;87;88;6;3;2;
2024/01/01;0200 UTC;0;993,3;993,3;992,8;,3;25,6;23,6;25,7;25,5;23,7;23,4;89;88;89;36;3,5;1,2;
2024/01/01;0300 UTC;0;993,6;993,7;993,3;0;25,4;23,8;25,7;25,4;23,8;23,6;91;89;91;20;2,4;1,5;
2024/01/01;0400 UTC;0;993;993,6;993;,1;25,2;23,7;25,5;25,2;24;23,7;92;91;91;360;4;2,5;
2024/01/01;0500 UTC;,2;992,6;993;992,6;,7;24,9;23,3;25,3;24,9;23,7;23,1;91;89;90;352;3,8;2;
2024/01/01;0600 UTC;0;992,1;992,6;992,1;,1;24,7;23,1;24,9;24,7;23,3;23,1;91;90;91;14;3,5;1,9;
2024/01/01;0700 UTC;0;991,3;992,1;991,3;0;24,6;23,1;24,8;24,6;23,2;23;91;91;91;14;3;1,3;
2024/01/01;0800 UTC;0;991,2;991,3;991,1;0;24,6;23,1;24,8;24,6;23,2;23;91;91;91;15;2,2;1,3;
2024/01/01;0900 UTC;0;991,6;991,6;991,2;,4;24,5;23;24,7;24,5;23,1;22,9;92;91;91;31;2,4;1,5;
2024/01/01;1000 UTC;0;992,1;992,1;991,6;104,6;24,7;23,1;24,7;24,4;23,2;22,9;92;91;91;7;2,6;1,5;
2024/01/01;1100 UTC;0;992,5;992,5;992,1;821,7;25,9;22,9;26;24,7;23,4;22,7;91;83;84;358;3,8;2,4;
2024/01/01;1200 UTC;0;993,1;993,1;992,5;1082,5;27,3;23,7;27,3;25,9;24;22,8;85;80;81;346;3,9;1,6;
2024/01/01;1300 UTC;0;993,6;993,6;993,1;1259,9;27,8;23,5;27,9;27,2;23,8;23;81;76;78;346;4,3;2,6;
2024/01/01;1400 UTC;0;993,3;993,7;993,3;2260,5;29,4;23,7;29,8;27,7;24,6;23,3;78;70;71;345;5;2,7;
2024/01/01;1500 UTC;0;992,4;993,3;992,4;3046,6;32,2;24,4;32,2;29,3;24,8;22,8;72;62;64;317;4,9;1,6;
2024/01/01;1600 UTC;0;990,8;992,4;990,8;3262,2;31,6;22,5;33,9;31,2;25,7;22,2;64;54;59;340;5,6;2,2;
2024/01/01;1700 UTC;0;989,7;990,8;989,6;2496;31,7;23,3;34,2;31,3;24,7;21,5;64;50;61;280;6,6;1,9;
2024/01/01;1800 UTC;0;988,6;989,7;988,6;1580,9;33,6;22,2;34,5;31;25,3;22,2;68;51;51;296;5;1,2;
2024/01/01;1900 UTC;0;988,3;988,6;988,2;1754,2;31,2;23;34,7;31,2;23,8;21,5;62;49;62;270;5,4;1,7;
2024/01/01;2000 UTC;0;988,1;988,3;987,9;492,3;29,1;24,1;31,2;28,3;24,1;22,7;76;62;74;261;4,9;1,8;
2024/01/01;2100 UTC;0;989,3;989,3;988;622,4;29,5;24,1;30,2;29,1;24,4;23,1;75;67;73;285;4,9;,8;
2024/01/01;2200 UTC;0;989,9;989,9;989,3;66,5;27,9;24,4;29,5;27,8;24,5;23,8;82;72;81;221;2,3;,6;
