REGIAO:;N
UF:;TO
ESTACAO:;PALMAS
CODIGO (WMO):;A009
LATITUDE:;-10,14777777
LONGITUDE:;-48,31444444
ALTITUDE:;267
DATA DE FUNDACAO:;17/12/04
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;982;982;981,5;,6;24,7;20,9;25,3;24,7;20,9;20,2;79;74;79;223;3,8;,6;
2024/01/01;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0400 UTC;0;982,3;982,5;982,2;;23,8;21,8;23,8;23,5;21,9;21,5;90;88;89;223;2;,4;
2024/01/01;0500 UTC;0;982;982,3;982;;23,8;21,9;23,8;23,5;21,9;21,5;89;88;89;238;2,1;,2;
2024/01/01;0600 UTC;0;981,3;982;981,3;;23,9;22,9;24,3;23,8;22,9;21,9;94;89;94;226;3,4;0;
2024/01/01;0700 UTC;0;980,6;981,3;980,6;;23,7;21,6;23,9;23,7;22,8;21,6;94;88;88;226;1,5;,2;
2024/01/01;0800 UTC;0;980,7;980,7;980,6;;23,7;21,9;23,7;23,5;22,2;21,7;92;88;90;220;1,7;0;
2024/01/01;0900 UTC;0;981;981;980,7;,9;23,5;22,9;23,8;23,4;22,9;21,9;96;90;96;196;1,8;,4;
2024/01/01;1000 UTC;0;981,5;981,5;981;209,7;24,9;21,3;24,9;23,5;23;21,3;97;81;81;209;2;0;
2024/01/01;1100 UTC;0;982,3;982,3;981,5;737,2;26,2;21,8;26,2;24,9;22;21,3;81;75;77;245;1,3;0;
2024/01/01;1200 UTC;0;982,5;982,5;982,3;1254,3;27,9;21,9;27,9;26,2;22;21,4;77;70;70;215;1,6;0;
2024/01/01;1300 UTC;,2;982,6;982,6;982,5;2079,7;29;21,2;29,1;27,9;22,4;21,1;71;63;63;247;4,8;1,7;
2024/01/01;1400 UTC;0;982,4;982,6;982,4;3194,8;30,3;20,8;30,3;29;21,6;20;64;55;57;249;5,8;1,1;
2024/01/01;1500 UTC;0;981,2;982,4;981,2;3597,6;30,9;20,6;30,9;30,1;22;20,2;61;54;54;243;7;2,4;
2024/01/01;1600 UTC;0;980,1;981,2;980,1;3129,5;32,7;21,3;32,7;30,8;21,3;19,5;56;47;51;240;5,2;,9;
2024/01/01;1700 UTC;0;978,5;980,1;978,5;2120;32,3;21;32,9;31,6;21,5;19,9;53;48;51;217;3,7;1,8;
2024/01/01;1800 UTC;0;978,6;978,7;978,3;940,7;26,5;20,7;32,3;26,3;21;19,5;71;49;70;234;8,7;1,7;
2024/01/01;1900 UTC;0;978,9;979,2;978,6;1336,5;26,5;21,1;26,6;26,2;21,6;20,3;75;68;72;236;9,9;3,9;
2024/01/01;2000 UTC;0;978,3;978,9;978,3;946,1;26,5;20,9;26,5;25,5;21,3;20,4;77;71;71;233;9,9;1,8;
2024/01/01;2100 UTC;0;979;979;978,1;288,1;27,1;20,2;27,2;26,3;20,9;20,2;71;66;66;233;3,5;,1;
2024/01/01;2200 UTC;0;979,5;979,5;979;18,5;26,1;21,3;27,2;26,1;21,3;20,2;75;65;75;210;2,4;1,2;
2024/01/01;2300 UTC;0;980,5;980,5;979,5;;26,5;21,3;26,5;25,9;21,8;21,2;78;73;73;190;2,4;,5;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0200 UTC;0;982,1;982,4;982;;25,4;20,9;25,8;25,4;21,1;20,8;76;75;76;231;5,7;2,5;
2024/01/02;0300 UTC;0;981,8;982,2;981,8;;25,1;21;25,4;25,1;21;20,9;78;76;78;211;5;,4;
2024/01/02;0400 UTC;0;981,1;981,8;981,1;;25;21,3;25,2;24,9;21,3;21;80;78;80;221;2,1;,2;
2024/01/02;0500 UTC;0;980,5;981,1;980,5;;25,3;21,3;25,3;25;21,3;21,2;80;78;79;209;2,3;0;
2024/01/02;0600 UTC;0;980,2;980,5;980,2;;24,8;21,9;25,3;24,7;21,9;21,2;84;78;84;230;1,6;,3;
2024/01/02;0700 UTC;0;980,2;980,3;980,2;;24,8;22,1;24,9;24,7;22,2;21,9;85;84;85;216;1,5;0;
2024/01/02;0800 UTC;0;980,3;980,3;980,1;;24,5;23;24,8;24,4;23;22;92;85;92;173;1,1;0;
2024/01/02;0900 UTC;0;980,9;980,9;980,3;;24,3;23,7;24,6;24,2;23,7;22,6;96;90;96;229;,8;0;
2024/01/02;1000 UTC;0;981,5;981,5;980,9;48;25;21,5;25;24,3;24;21,4;97;81;81;264;3,1;,9;
2024/01/02;1100 UTC;0;982,1;982,1;981,5;278,9;25,6;21,1;25,6;25;21,5;21,1;81;76;76;244;4;2,2;
2024/01/02;1200 UTC;0;982,5;982,5;982,1;883;26,4;21,1;26,5;25,6;21,4;20,9;76;72;73;237;4,4;1,7;
2024/01/02;1300 UTC;0;982,5;982,6;982,5;1393;27,1;21,3;27,1;25,9;21,5;20,7;74;70;71;252;4,7;1,2;
2024/01/02;1400 UTC;0;982,2;982,5;982,2;1504,1;27,5;21,1;27,6;27,1;21,5;20,6;71;66;68;236;3,3;,6;
2024/01/02;1500 UTC;0;981,2;982,1;981,2;1517,8;28,3;21;28,5;27,5;21,9;20,4;69;62;64;220;2,9;1,3;
2024/01/02;1600 UTC;0;980,4;981,2;980,4;1495,2;29,3;20,6;29,4;28,4;21,1;20,3;65;58;59;225;3,1;,2;
2024/01/02;1700 UTC;0;979,2;980,4;979,2;2128,3;30,1;20,6;31;29,2;21,7;20,4;61;54;57;246;4;1,6;
2024/01/02;1800 UTC;0;977,9;979,2;977,9;1865,3;30,7;20,5;30,7;30,1;21,1;20,1;58;54;55;236;6,1;2,7;
2024/01/02;1900 UTC;0;977,5;977,9;977,5;1518,5;30,2;20,7;31,1;30,2;21,1;20,1;57;53;57;237;7;4,2;
2024/01/02;2000 UTC;0;977,6;977,7;977,4;570,4;27,3;21,6;30,6;27,3;21,8;19,9;71;53;71;236;7,9;4,6;
2024/01/02;2100 UTC;0;978,5;978,5;977,6;318,5;26,3;22,4;27,5;26,3;22,7;21,5;79;71;79;240;7,9;2,5;
2024/01/02;2200 UTC;25,8;980,3;980,3;978,5;1,8;23,7;23,5;26,3;23,7;23,5;20,9;99;78;99;229;8,8;1,1;
2024/01/02;2300 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/03;0200 UTC;2;981,9;982;981,8;;23,4;23,5;23,5;23,2;23,6;23,2;;100;;226;2,6;,1;
2024/01/03;0300 UTC;2,4;981,8;981,9;981,8;;23,4;23,6;23,4;23,3;23,6;23,5;;;;218;1,5;0;
2024/01/03;0400 UTC;1,8;981,3;981,8;981,3;;23,4;23,6;23,5;23,4;23,7;23,6;;;;230;1,4;,3;
2024/01/03;0500 UTC;,6;980,9;981,3;980,9;;23,5;23,7;23,5;23,4;23,7;23,6;;;;226;1,4;0;
2024/01/03;0600 UTC;,6;980,6;980,9;980,6;;23,7;23,9;23,7;23,5;23,9;23,7;;;;237;,9;0;
2024/01/03;0700 UTC;,8;980,4;980,6;980,3;;23,8;24;23,8;23,7;24;23,9;;;;245;1,7;0;
2024/01/03;0800 UTC;0;980,2;980,4;980,1;;23,4;23,8;23,8;23,4;24;23,8;;;;239;1,3;0;
2024/01/03;0900 UTC;0;980,7;980,7;980,3;;23,5;23,9;23,6;23,4;23,9;23,8;;;;219;1,5;,1;
2024/01/03;1000 UTC;,2;981,4;981,4;980,7;295;24,7;25;24,8;23,4;25,2;23,7;;;;223;1,9;0;
2024/01/03;1100 UTC;0;982,1;982,1;981,4;758;25,9;21,3;26;24,6;24,9;21,2;;76;76;246;3,1;1;
2024/01/03;1200 UTC;0;982,9;982,9;982,1;979,1;26,7;21,4;26,7;25,9;21,9;21,2;77;73;73;247;4;1,9;
2024/01/03;1300 UTC;0;983,2;983,2;982,9;1596,6;27,8;21,2;27,8;26,6;21,9;21;74;66;67;238;6;3;
2024/01/03;1400 UTC;0;982,9;983,2;982,9;1275,7;27,9;20,6;28;27,5;21,5;20,1;68;63;65;246;6;2,7;
2024/01/03;1500 UTC;0;982;982,9;982;1630,9;28,4;21;28,6;27,8;21,4;20,3;68;63;64;246;4,6;2,3;
2024/01/03;1600 UTC;0;980,8;982;980,8;1974,8;30;20,6;30;28,1;21,5;20,2;66;57;57;242;5,7;2,4;
