REGIAO:;N
UF:;TO
ESTACAO:;SANTA FE DO ARAGUAIA
CODIGO (WMO):;A048
LATITUDE:;-7,124191
LONGITUDE:;-48,781267
ALTITUDE:;171
DATA DE FUNDACAO:;30/07/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;990,5;990,5;989,5;;25,7;25,7;25,8;25,4;25,8;25,4;100;100;100;299;3,2;1;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;2,4;991;991,2;991;;24,5;24,5;24,5;24,3;24,5;24,3;100;100;100;312;5,5;1,5;
2024/01/01;0400 UTC;5,2;990,5;991;990,5;;24,4;24,4;24,8;24,3;24,8;24,3;100;100;100;315;4,9;1,4;
2024/01/01;0500 UTC;,2;989,8;990,5;989,8;;24,2;24,2;24,4;24,2;24,4;24,2;100;100;100;241;2,6;,7;
2024/01/01;0600 UTC;,4;988,9;989,8;988,9;;24,2;24,2;24,4;24,1;24,4;24,1;100;100;100;125;2,5;1,1;
2024/01/01;0700 UTC;1,2;988,8;989,4;988,6;;23,9;23,9;24,2;23,9;24,2;23,9;100;100;100;176;4,5;2,8;
2024/01/01;0800 UTC;0;988,5;988,8;988,3;;23,7;23,7;24;23,7;24;23,7;100;100;100;6;5;1,1;
2024/01/01;0900 UTC;0;988,9;989;988,5;;23,6;23,6;23,8;23,6;23,8;23,6;100;100;100;66;2,5;,6;
2024/01/01;1000 UTC;0;989,2;989,2;988,9;148,1;24;24;24;23,6;24;23,6;100;100;100;321;1,1;,5;
2024/01/01;1100 UTC;0;989,6;989,6;989,2;896;26;26;26,4;24;26,3;24,1;100;98;100;332;1,1;,5;
2024/01/01;1200 UTC;0;990,2;990,2;989,6;1479,1;28,1;26,3;28,1;25,7;26,7;25,3;100;90;90;267;1,9;,6;
2024/01/01;1300 UTC;0;990,5;990,6;990,2;2553,8;28,8;26,2;29;27,5;27;25,2;91;84;86;312;4,7;2,1;
2024/01/01;1400 UTC;0;990,3;990,5;990,3;3170,5;30;25,8;30;28,2;26,7;24,7;87;77;78;15;4,7;2,3;
2024/01/01;1500 UTC;0;989,6;990,3;989,6;3428,4;30,8;23,5;31;29,5;26,3;23,4;78;65;65;351;4,3;1,8;
2024/01/01;1600 UTC;0;988,7;989,6;988,7;3304,4;31;24,4;31,5;30,3;25,9;24;74;65;68;340;5;3;
2024/01/01;1700 UTC;0;987;988,7;987;2369;30,9;24,7;31,8;30,4;25,6;24,1;73;66;70;355;5,4;3;
2024/01/01;1800 UTC;0;985,7;987;985,7;2759,6;32;25;32,1;30,9;25,7;24,4;72;66;67;357;;2,3;
2024/01/01;1900 UTC;0;985,2;985,7;985,2;2242,9;31,7;25,4;32,3;31,4;25,9;24,5;71;65;69;334;6;2,4;
2024/01/01;2000 UTC;0;985;985,2;984,9;1781;31,7;24,2;32,2;31,7;26,1;24;71;63;64;23;4,4;2,7;
2024/01/01;2100 UTC;0;985,5;985,5;985;459;30,5;24,5;31,7;30,4;24,9;23,7;71;63;71;7;3,9;1,7;
2024/01/01;2200 UTC;0;986;986;985,3;61,8;28,6;24,7;30,5;28,6;25,8;24,5;81;71;79;21;3;2,1;
2024/01/01;2300 UTC;0;987,3;987,3;986;;27,3;24,8;28,6;27,3;25,2;24,7;87;80;86;96;3;1,2;
2024/01/02;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0100 UTC;0;988,5;988,5;988,1;;26,2;25,3;26,6;26,1;25,4;24,9;95;91;95;106;1,4;,5;
2024/01/02;0200 UTC;0;989;989;988,5;;25,6;25,6;26,3;25,5;25,9;25,1;100;95;100;172;1,1;,4;
2024/01/02;0300 UTC;0;988,6;989,1;988,6;;25,6;25,6;25,8;25,5;25,8;25,5;100;100;100;251;1;,6;
2024/01/02;0400 UTC;0;988,1;988,6;988,1;;25,7;25,7;25,9;25,6;25,9;25,6;100;100;100;159;4;2,9;
2024/01/02;0500 UTC;6,4;987,9;988,2;987,7;;24,8;24,8;25,7;24,8;25,7;24,8;100;100;100;234;7,8;2,9;
2024/01/02;0600 UTC;62,6;988,4;988,6;987,8;1,3;23;23;24,8;23;24,8;23;100;100;100;289;8;1;
2024/01/02;0700 UTC;7,8;988,1;988,4;988;;23,4;23,4;23,4;23;23,4;23;100;100;100;349;4,1;1,3;
2024/01/02;0800 UTC;5,8;988,1;988,3;987,9;;23,4;23,4;23,5;23,4;23,5;23,4;100;100;100;280;2,5;1,7;
2024/01/02;0900 UTC;3;988,5;988,5;988,1;;23,3;23,3;23,4;23,3;23,4;23,3;100;100;100;252;2,4;,9;
