REGIAO:;N
UF:;TO
ESTACAO:;COLINAS DO TOCANTINS
CODIGO (WMO):;A049
LATITUDE:;-8,092708
LONGITUDE:;-48,478605
ALTITUDE:;200
DATA DE FUNDACAO:;11/11/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0100 UTC;0;988,1;988,1;987,7;;;;;;;;100;100;100;48;1,9;,2;
2024/01/01;0200 UTC;;;;;;;;;;;;;;;;;;
2024/01/01;0300 UTC;0;988,8;988,9;988,7;;;;;;;;100;100;100;287;1,4;,6;
2024/01/01;0400 UTC;0;988,2;988,8;988,2;;;;;;;;100;100;100;305;1,2;,6;
2024/01/01;0500 UTC;0;987,7;988,2;987,7;;;;;;;;100;100;100;;,9;,1;
2024/01/01;0600 UTC;0;987,5;987,7;987,5;;;;;;;;100;100;100;71;1,9;1,3;
2024/01/01;0700 UTC;0;986,7;987,5;986,7;;;;;;;;100;100;100;60;2,6;,8;
2024/01/01;0800 UTC;0;986,4;986,7;986,3;;;;;;;;100;100;100;308;2;1,1;
2024/01/01;0900 UTC;0;986,5;986,5;986,3;;;;;;;;100;100;100;97;2,1;,4;
2024/01/01;1000 UTC;,2;987,1;987,3;986,5;46,4;;;;;;;100;100;100;327;3,2;1,1;
2024/01/01;1100 UTC;0;987,5;987,5;987,1;355,6;;;;;;;100;97;97;11;2,1;1;
2024/01/01;1200 UTC;0;988,1;988,2;987,5;972,4;;;;;;;99;91;92;19;2,5;1,2;
2024/01/01;1300 UTC;,6;988,5;988,5;988,1;1845,2;;;;;;;93;83;89;284;3,4;1,6;
2024/01/01;1400 UTC;2,4;988,2;988,5;988,2;2121,4;;;;;;;100;80;89;237;3,4;1,4;
2024/01/01;1500 UTC;0;987,4;988,2;987,4;3435;;;;;;;95;71;77;336;4,9;2,2;
2024/01/01;1600 UTC;0;986;987,4;986;3387,4;;;;;;;81;66;70;303;5,2;2,5;
2024/01/01;1700 UTC;0;984,4;986;984,4;2600,7;;;;;;;73;62;65;63;6,5;3,8;
2024/01/01;1800 UTC;0;983,1;984,4;983,1;3099,9;;;;;;;67;59;61;25;6,5;2,1;
2024/01/01;1900 UTC;0;983;983,1;983;1285;;;;;;;71;61;69;28;6;3,1;
2024/01/01;2000 UTC;,8;983,3;983,3;983;405,9;;;;;;;96;69;95;89;6,5;1,2;
2024/01/01;2100 UTC;,4;984;984;983,3;97,7;;;;;;;100;95;100;253;3;1,7;
2024/01/01;2200 UTC;,2;985,2;985,2;983,9;,1;;;;;;;100;99;100;211;5,3;1,7;
2024/01/01;2300 UTC;,2;985,9;986;985,2;;;;;;;;100;100;100;212;5;1,5;
2024/01/02;0000 UTC;2,4;986,8;986,8;985,9;;;;;;;;100;100;100;223;3;1,3;
2024/01/02;0100 UTC;;;;;;;;;;;;;;;;;;
2024/01/02;0200 UTC;,4;987,5;987,5;987;;;;;;;;100;100;100;272;2,8;1,1;
2024/01/02;0300 UTC;,6;987,1;987,5;987,1;;;;;;;;100;100;100;324;2,5;1,5;
