REGIAO:;SE
UF:;ES
ESTACAO:;ECOPORANGA
CODIGO (WMO):;A631
LATITUDE:;-18,29138888
LONGITUDE:;-40,73638888
ALTITUDE:;224
DATA DE FUNDACAO:;17/03/17
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;988;988;987,2;;24,7;21;25,2;24,7;21,6;21;81;79;80;116;8;3,2;
2024/01/01;0100 UTC;0;988,4;988,4;988;;24,2;20,8;24,7;24,2;21,1;20,8;82;80;81;113;5,6;3,1;
2024/01/01;0200 UTC;0;988,4;988,5;988,3;;24;20,7;24,3;23,9;20,9;20,6;82;81;82;134;5,9;3;
2024/01/01;0300 UTC;0;988,1;988,4;988,1;;23,8;20,8;24;23,7;20,9;20,6;84;82;83;115;4,6;1,8;
2024/01/01;0400 UTC;0;987,8;988,1;987,8;;23,8;20,7;23,9;23,8;20,9;20,6;84;82;83;111;4,2;1,9;
2024/01/01;0500 UTC;0;987,6;987,9;987,6;;23,8;20,6;23,9;23,8;20,7;20,4;83;81;82;130;3,9;2,2;
2024/01/01;0600 UTC;0;987,2;987,6;987,2;;23,7;20,5;23,8;23,6;20,7;20,3;84;81;83;104;4,1;1;
2024/01/01;0700 UTC;0;987;987,2;987;;23,5;20,6;23,7;23,5;20,6;20,4;84;82;84;71;2,1;,8;
2024/01/01;0800 UTC;0;987,5;987,5;987;;23,5;20,6;23,6;23,4;20,8;20,4;85;83;84;73;1,6;,4;
2024/01/01;0900 UTC;0;987,4;987,6;987,4;31,5;23,5;20,7;23,6;23,4;20,9;20,5;85;83;84;129;3,9;2,2;
2024/01/01;1000 UTC;0;987,9;987,9;987,4;517,1;24,6;20,6;24,8;23,5;21,1;20,6;85;78;79;118;4;2;
2024/01/01;1100 UTC;0;988,5;988,5;988;682,5;24,8;20,6;25,2;24,6;21,1;20,3;79;76;77;101;4;2;
2024/01/01;1200 UTC;0;988,7;988,7;988,5;374,1;24,8;20,6;24,9;24,6;20,9;20,3;79;76;78;56;3,1;1,1;
2024/01/01;1300 UTC;0;988,6;988,8;988,5;527,7;25,4;20,8;25,5;24,8;21,4;20,4;78;75;75;70;2,3;1;
2024/01/01;1400 UTC;0;988,1;988,6;988,1;1727,1;26,4;21,2;26,9;25,3;21,6;20,5;77;70;73;141;4,4;2,4;
2024/01/01;1500 UTC;0;987,5;988,1;987,5;2501,6;27,1;21,2;28,4;26,4;22,4;21;74;66;70;137;5;2,4;
2024/01/01;1600 UTC;0;986,7;987,5;986,7;792,3;27,1;21,1;27,5;26,7;21,8;21;72;69;70;171;4,2;1,9;
2024/01/01;1700 UTC;0;985,8;986,7;985,8;1034,6;27,6;21,8;27,7;27,1;21,8;21,1;72;68;71;149;5;3,1;
2024/01/01;1800 UTC;0;985,2;985,8;985,2;868,1;27,1;21,7;27,8;27;22;21,3;72;68;72;145;5,9;3,8;
2024/01/01;1900 UTC;0;985,2;985,2;985;949,4;27,1;22,2;27,5;26,8;22,7;21,4;76;71;74;158;6,8;3,3;
2024/01/01;2000 UTC;0;985;985,4;984,9;674;26,4;22;27,2;26,2;22,4;21,9;79;74;77;145;6,8;2,9;
2024/01/01;2100 UTC;0;985,6;985,6;985;227,8;25,9;21,5;26,4;25,9;21,9;21,5;77;75;77;138;8,1;4,1;
2024/01/01;2200 UTC;0;986,6;986,6;985,5;7,4;25,2;21,4;25,9;25,2;21,7;21,4;80;77;79;133;8,1;2,7;
