REGIAO:;SE
UF:;MG
ESTACAO:;MONTES CLAROS
CODIGO (WMO):;A506
LATITUDE:;-16,68638888
LONGITUDE:;-43,84388888
ALTITUDE:;645,87
DATA DE FUNDACAO:;19/12/02
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;0;939,7;939,7;939;;23,1;18,5;23,7;22,8;18,6;18,2;77;72;76;256;2,4;,7;
2024/01/01;0100 UTC;0;940,1;940,1;939,7;;22,8;18,5;23,5;22,8;18,6;18,2;77;73;77;294;1,6;0;
2024/01/01;0200 UTC;0;940,7;940,7;940,1;;22,3;18,8;23,1;22,2;19,1;18,4;81;76;81;275;1,5;1,1;
2024/01/01;0300 UTC;0;940,8;940,9;940,7;;21,8;18,6;22,6;21,8;18,9;18,4;82;79;82;259;1,7;0;
2024/01/01;0400 UTC;0;940,3;940,8;940,3;;21,8;18,5;22,3;21,8;19,2;18,5;83;80;82;335;,8;0;
2024/01/01;0500 UTC;0;940;940,3;939,9;;21,4;18,4;21,9;21,4;18,9;18,4;84;82;84;304;1,9;1,2;
2024/01/01;0600 UTC;0;939,4;940;939,4;;21,9;18,5;22;21,3;18,6;18,3;84;80;81;289;1,9;,6;
2024/01/01;0700 UTC;0;939,3;939,5;939,1;;21,2;18,1;21,9;21,2;18,5;18;83;80;83;295;1,5;,2;
2024/01/01;0800 UTC;0;939,3;939,3;939,2;;21,2;17,9;21,5;21,2;18,5;17,9;84;81;82;286;1,2;,4;
2024/01/01;0900 UTC;0;939,9;939,9;939,3;25,3;20,9;18,2;21,2;20,7;18,2;17,9;85;82;85;356;1;0;
2024/01/01;1000 UTC;0;940,6;940,6;939,9;411,6;22,7;18,8;22,9;20,9;19;18,3;85;77;79;297;2,1;,6;
2024/01/01;1100 UTC;0;940,8;940,9;940,6;998,9;25,8;19,1;25,8;22,7;19,3;18,4;79;66;67;68;2,6;1,1;
2024/01/01;1200 UTC;0;941;941;940,8;1826,4;26,7;19;26,8;25,7;19,4;18,4;67;62;63;59;5,8;2,5;
2024/01/01;1300 UTC;0;940,8;941,1;940,8;2032,9;27,6;18,1;28,3;26,4;19,5;18,1;63;55;56;55;6,4;3,3;
2024/01/01;1400 UTC;0;940,2;940,8;940,2;3225,5;28,9;18,1;29,7;27,4;19,5;17,8;60;51;52;49;6,5;3,6;
2024/01/01;1500 UTC;0;939,2;940,2;939,2;2219;29,1;18,1;30,5;28,5;18,7;16,9;56;46;52;54;6,9;3;
2024/01/01;1600 UTC;0;938,6;939,2;938,6;1188,9;27,5;18,5;29,2;27,5;19,1;17,7;58;50;58;292;5,5;2,2;
2024/01/01;1700 UTC;0;937,8;938,6;937,8;1031,6;27,1;19,2;27,5;26,7;19,5;18,5;64;58;62;269;4,8;1,9;
2024/01/01;1800 UTC;0;938;938,1;937,8;492,7;24,4;18,7;27,7;24,4;19,5;17,6;71;59;70;64;7,1;2,3;
2024/01/01;1900 UTC;1;937,7;938;937,6;489,1;24,1;20;24,4;23,1;20;17,9;81;67;78;177;4;,7;
2024/01/01;2000 UTC;0;937,8;937,8;937,5;884,4;26,7;19,4;26,7;24,1;20,3;18,7;79;65;65;123;3,3;,1;
2024/01/01;2100 UTC;0;938;938,1;937,8;669,9;25,8;19,1;27,8;25,8;20,3;18,6;68;61;67;118;3;1,8;
2024/01/01;2200 UTC;0;938,6;938,6;938;39,2;24,4;18,6;25,8;24,4;19,5;18,5;70;67;70;119;4,7;2,5;
2024/01/01;2300 UTC;,6;939;939;938,6;;23,3;19,1;24,4;23,3;19,1;18,1;77;69;77;143;4;1,3;
2024/01/02;0000 UTC;,6;939,6;939,6;939;;22,7;19,9;23,3;22,6;19,9;19;85;77;84;60;3;,8;
2024/01/02;0100 UTC;0;940,2;940,2;939,6;;22,6;20,2;22,7;22,6;20,2;19,8;86;84;86;56;1,6;1,1;
2024/01/02;0200 UTC;0;940,4;940,6;940,2;;22,6;20,1;22,7;22,5;20,3;20,1;86;86;86;279;1,6;0;
2024/01/02;0300 UTC;0;939,9;940,4;939,9;;22,6;20,2;22,7;22,6;20,3;20,2;86;85;86;64;1,2;,7;
2024/01/02;0400 UTC;0;939,3;939,9;939,3;;22,1;20;22,6;22;20,2;19,9;88;86;88;355;1,1;,3;
2024/01/02;0500 UTC;0;938,8;939,3;938,7;;22;20,1;22,1;21,9;20,1;19,9;89;88;89;291;2;0;
2024/01/02;0600 UTC;0;938,5;938,8;938,4;;22,2;20,3;22,2;22;20,3;20,1;89;89;89;206;1,4;,8;
2024/01/02;0700 UTC;0;938,4;938,6;938,3;;21,9;19,9;22,3;21,9;20,4;19,9;89;88;88;328;1,5;1,1;
2024/01/02;0800 UTC;0;938,7;938,7;938,3;;21,5;19,6;21,9;21,5;19,8;19,5;89;88;89;243;1,9;0;
