REGIAO:;SE
UF:;MG
ESTACAO:;VARGINHA
CODIGO (WMO):;A515
LATITUDE:;-21,56638888
LONGITUDE:;-45,40416666
ALTITUDE:;949,78
DATA DE FUNDACAO:;13/07/06
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/01;0000 UTC;;908,4;908,8;908;;20,3;16,6;20,6;20,3;16,9;16,6;80;79;79;65;8,8;4,6;
2024/01/01;0100 UTC;;909,2;909,2;908,4;;20;16,5;20,3;20;16,7;16,5;80;79;80;84;8,6;2,9;
2024/01/01;0200 UTC;;909,4;909,6;909,2;;19,9;16,4;20;19,8;16,5;16,4;81;80;80;111;6,5;1,7;
2024/01/01;0300 UTC;;909;909,4;909;;19,5;16,6;19,9;19,4;16,6;16,4;84;80;83;61;4,6;1,2;
2024/01/01;0400 UTC;;908,7;909;908,7;;18,6;17,1;19,6;18,5;17,2;16,5;91;83;91;151;5;,8;
2024/01/01;0500 UTC;;908,3;908,7;908,3;;18,3;17,1;18,6;18,3;17,3;17,1;93;91;93;136;2,9;1,9;
2024/01/01;0600 UTC;;907,9;908,3;907,9;;18,2;17,2;18,3;18,2;17,3;17,1;94;93;94;125;2,9;,3;
2024/01/01;0700 UTC;;907,8;908;907,8;;18,2;16,7;18,4;18,2;17,3;16,7;94;90;91;99;4,7;1,5;
2024/01/01;0800 UTC;;908,1;908,1;907,8;;18,1;16,4;18,3;18,1;16,7;16,4;91;90;90;108;4,4;1,3;
2024/01/01;0900 UTC;;908,4;908,5;908;44,7;18,1;16,6;18,1;17,9;16,6;16,4;91;90;91;90;3,6;1,4;
2024/01/01;1000 UTC;;908,6;908,6;908,4;429,9;19,4;16,9;19,4;18,1;16,9;16,5;91;85;85;48;5,6;2,1;
2024/01/01;1100 UTC;;909;909,1;908,6;1015;20,6;16,8;20,8;19,4;17,3;16,6;85;78;79;60;5,5;2,9;
2024/01/01;1200 UTC;;909,1;909,1;909;1111,4;21,6;17,1;21,6;20,6;17,4;16,8;80;75;76;51;6,4;3,6;
2024/01/01;1300 UTC;;909,1;909,4;908,9;804,9;21,4;17,3;21,6;21,1;17,3;16,6;78;75;77;55;6,3;1,9;
2024/01/01;1400 UTC;;909;909,4;909;817,3;22,2;17,7;22,2;21,1;17,7;16,5;79;73;76;39;4,5;2,3;
2024/01/01;1500 UTC;;908,9;909;908,9;1191,6;22,6;18,1;23,3;22;18,4;16,8;76;70;76;105;4,9;1;
2024/01/01;1600 UTC;;907,9;909;907,9;787,7;22,2;17,9;22,7;22,1;18;17;77;72;76;95;3,4;2;
2024/01/01;1700 UTC;;907,1;907,9;907,1;1305,8;23,7;17,9;23,9;22;18,6;17,5;78;69;70;126;4,4;1,5;
2024/01/01;1800 UTC;;906,8;907,2;906,8;674,9;22,3;18,1;23,9;22,2;18,4;17,2;78;68;77;152;4,4;2,4;
2024/01/01;1900 UTC;;906,5;906,9;906,5;384,7;22,4;18,1;22,5;22,3;18,3;17,9;78;76;77;108;3,9;2,2;
2024/01/01;2000 UTC;;906,6;906,7;906,5;395,9;22,8;18,3;22,8;22,4;18,5;17,9;77;75;76;110;3,7;1,5;
2024/01/01;2100 UTC;;906,9;906,9;906,5;183,4;21,4;17,7;22,8;21,4;18,2;17,6;81;75;79;73;6,5;3,3;
2024/01/01;2200 UTC;;907,2;907,3;906,9;11,9;20,5;17,3;21,4;20,5;17,7;17,3;82;79;82;66;6,8;3,4;
2024/01/01;2300 UTC;;907,5;907,5;907,2;;19,9;16,9;20,5;19,9;17,4;16,9;83;82;83;81;7,8;2,5;
2024/01/02;0000 UTC;;908,5;908,5;907,5;;19,3;16,9;19,9;19,2;16,9;16,8;86;83;86;123;6,2;2;
2024/01/02;0100 UTC;;908,8;908,8;908,5;;19,4;16,7;19,6;19,3;17;16,7;86;84;84;100;5,3;2,2;
2024/01/02;0200 UTC;;908,4;908,8;908,4;;18,2;16,3;19,4;18,2;16,7;16,3;89;84;89;140;3,7;,7;
2024/01/02;0300 UTC;;908,2;908,4;908,2;;18,5;16,7;18,5;17,9;16,8;16,2;91;89;89;116;2,9;1,5;
2024/01/02;0400 UTC;;907,8;908,2;907,8;;18,7;16,5;18,8;18,5;16,7;16,5;89;87;87;70;4,6;2,1;
2024/01/02;0500 UTC;;907,2;907,8;907,2;;18,7;16,5;18,8;18,7;16,5;16,4;87;86;87;73;5,6;,5;
2024/01/02;0600 UTC;;907,1;907,2;906,9;;18,7;16,6;18,7;18,6;16,6;16,5;88;87;88;85;2,7;,3;
2024/01/02;0700 UTC;;907,2;907,2;907;;18,6;16,4;18,7;18,6;16,6;16,4;88;87;87;90;3,3;1,6;
2024/01/02;0800 UTC;;907,3;907,3;907;;18,3;16,6;18,6;18,1;16,6;16,3;90;87;90;113;3,1;1,5;
2024/01/02;0900 UTC;;908;908;907,3;49,1;18,7;16,9;18,7;18,3;17;16,6;90;89;89;110;2,6;,7;
2024/01/02;1000 UTC;;908,2;908,2;907,9;491,1;20;17,2;20;18,7;17,4;16,9;89;84;84;139;2,7;1,4;
2024/01/02;1100 UTC;;908,1;908,3;908;1184,1;22;17,5;22;19,9;17,9;16,9;84;75;76;94;3,3;,5;
2024/01/02;1200 UTC;;908,3;908,3;908,1;884,8;22,1;17,9;22,2;21,6;18,1;17,2;78;74;77;27;2,9;,7;
2024/01/02;1300 UTC;;908;908,3;908;1285;22,6;18,5;23;20,9;19,5;17,5;87;75;77;19;4,2;1,3;
2024/01/02;1400 UTC;;907,4;908;907,4;2041,8;24,5;18,5;24,6;22,6;19,4;17,9;79;69;69;359;4,7;1,9;
2024/01/02;1500 UTC;;906,8;907,4;906,8;1574,9;25,3;19,1;25,3;24,2;19,7;18,1;73;68;69;13;4,4;1,4;
2024/01/02;1600 UTC;;905,9;906,8;905,9;2954,6;26,3;18,1;27,8;25,1;20,1;17,6;70;59;61;314;4,6;1,1;
2024/01/02;1700 UTC;;905,2;905,9;905,2;1861,5;26,1;17,4;28,1;25,6;19,6;17,4;64;56;59;166;4,3;,9;
2024/01/02;1800 UTC;;904,5;905,2;904,5;559,3;22;19,9;26,4;21,9;19,9;17,4;88;59;88;99;6,2;2,4;
2024/01/02;1900 UTC;;904,6;904,7;904,4;344,2;22,5;20,4;23;22;21;20,1;89;85;88;99;3,6;,5;
2024/01/02;2000 UTC;;904,4;904,6;904,2;533,2;23;20,6;23,4;22,4;21;20,2;88;85;86;66;4,2;2;
2024/01/02;2100 UTC;;904,7;904,8;904,3;186,2;22;19,8;23,1;22;20,7;19,8;88;86;87;41;4,2;2,6;
2024/01/02;2200 UTC;;905,3;905,3;904,7;8,7;21,6;19,4;22;21,4;19,8;19;88;85;87;51;7,6;3,8;
2024/01/02;2300 UTC;;906,3;906,3;905,3;;21;18,7;21,6;21;19,4;18,7;88;87;87;192;7,5;,8;
2024/01/03;0000 UTC;;906,8;906,8;906,3;;20,8;18,4;21;20,7;19;18,3;89;86;86;233;3;,3;
2024/01/03;0100 UTC;;906,7;906,9;906,7;;21;18,6;21,1;20,8;18,8;18,5;88;86;86;55;7;3,8;
2024/01/03;0200 UTC;;906,8;906,9;906,7;;20,5;18,5;21;20,4;18,6;18,3;88;85;88;127;7;1,2;
2024/01/03;0300 UTC;;906,4;906,8;906,4;;20,5;18,3;20,6;20,4;18,5;18,3;89;87;88;65;5,6;2,4;
2024/01/03;0400 UTC;;906,1;906,4;906;;20,4;18,5;20,5;20,3;18,5;18,3;89;88;89;36;5,2;,8;
2024/01/03;0500 UTC;;905,9;906,2;905,9;;19,9;18,5;20,5;19,9;18,6;18,4;91;88;91;67;4,6;,3;
2024/01/03;0600 UTC;;905,7;905,9;905,6;;19,6;18,6;19,9;19,6;18,6;18,5;94;91;94;119;1,9;1,5;
2024/01/03;0700 UTC;;905,8;905,9;905,7;;19,6;18,8;19,7;19,6;18,8;18,6;95;94;95;117;2,2;1,5;
2024/01/03;0800 UTC;;905,9;906;905,8;;19,6;18,8;19,7;19,6;18,9;18,8;95;95;95;117;2,2;1;
2024/01/03;0900 UTC;;906,4;906,5;905,9;92,7;20;19,2;20;19,5;19,2;18,8;95;95;95;115;1,4;,5;
2024/01/03;1000 UTC;;906,8;906,8;906,4;422,9;20,9;20;20,9;19,9;20;19,1;95;95;95;63;3,3;2;
